CommonName2023,ScientificName2023,Notes
Purple Gallinule,Porphyrio martinica,Rare/Accidental
Yellow Rail,Coturnicops noveboracensis,
,,
GRUIFORMES: Gruidae,,
Sandhill Crane,Antigone canadensis,
Common Crane,Grus grus,Rare/Accidental
Whooping Crane,Grus americana,Rare/Accidental
,,
CHARADRIIFORMES: Recurvirostridae,,
Black-necked Stilt,Himantopus mexicanus,Rare/Accidental
American Avocet,Recurvirostra americana,Rare/Accidental
,,
CHARADRIIFORMES: Haematopodidae,,
American Oystercatcher,Haematopus palliatus,Rare/Accidental
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
European Golden-Plover,Pluvialis apricaria,Rare/Accidental
American Golden-Plover,Pluvialis dominica,
Pacific Golden-Plover,Pluvialis fulva,Rare/Accidental
Killdeer,Charadrius vociferus,
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental
Semipalmated Plover,Charadrius semipalmatus,
Piping Plover,Charadrius melodus,
Northern Lapwing,Vanellus vanellus,Rare/Accidental
Siberian Sand-Plover,Anarhynchus mongolus,Rare/Accidental
Wilson's Plover,Anarhynchus wilsonia,Rare/Accidental
,,
CHARADRIIFORMES: Scolopacidae,,
Upland Sandpiper,Bartramia longicauda,
Whimbrel,Numenius phaeopus,
Eskimo Curlew,Numenius borealis,Extirpated
Bar-tailed Godwit,Limosa lapponica,Rare/Accidental
Black-tailed Godwit,Limosa limosa,Rare/Accidental
Hudsonian Godwit,Limosa haemastica,
Marbled Godwit,Limosa fedoa,Rare/Accidental
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,
American Woodcock,Scolopax minor,
Eurasian Woodcock,Scolopax rusticola,Introduced species
Wilson's Snipe,Gallinago delicata,
Wilson's Phalarope,Phalaropus tricolor,
Red Phalarope,Phalaropus fulicarius,
Red-necked Phalarope,Phalaropus lobatus,
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,
Lesser Yellowlegs,Tringa flavipes,
Willet,Tringa semipalmata,
Common Greenshank,Tringa nebularia,Rare/Accidental
Greater Yellowlegs,Tringa melanoleuca,
Ruddy Turnstone,Arenaria interpres,
Red Knot,Calidris canutus,
Ruff,Calidris pugnax,Rare/Accidental
Sharp-tailed Sandpiper,Calidris acuminata,Rare/Accidental
Curlew Sandpiper,Calidris ferruginea,Rare/Accidental
Stilt Sandpiper,Calidris himantopus,
Red-necked Stint,Calidris ruficollis,Rare/Accidental
Buff-breasted Sandpiper,Calidris subruficollis,
Sanderling,Calidris alba,
Dunlin,Calidris alpina,
Purple Sandpiper,Calidris maritima,
Baird's Sandpiper,Calidris bairdii,
Little Stint,Calidris minuta,Rare/Accidental
White-rumped Sandpiper,Calidris fuscicollis,
Least Sandpiper,Calidris minutilla,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Semipalmated Sandpiper,Calidris pusilla,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Jaeger,Stercorarius longicaudus,
Parasitic Jaeger,Stercorarius parasiticus,
Pomarine Jaeger,Stercorarius pomarinus,
,,
CHARADRIIFORMES: Alcidae,,
Atlantic Puffin,Fratercula arctica,
Long-billed Murrelet,Brachyramphus perdix,Rare/Accidental
Black Guillemot,Cepphus grylle,
Razorbill,Alca torda,
Great Auk,Pinguinus impennis,Rare/Accidental
Dovekie,Alle alle,
Thick-billed Murre,Uria lomvia,
Common Murre,Uria aalge,
Ancient Murrelet,Synthliboramphus antiquus,Rare/Accidental
,,
CHARADRIIFORMES: Laridae,,
Little Gull,Hydrocoloeus minutus,
Ross's Gull,Rhodostethia rosea,Rare/Accidental
Black-legged Kittiwake,Rissa tridactyla,
Ivory Gull,Pagophila eburnea,Rare/Accidental
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,
Black-headed Gull,Chroicocephalus ridibundus,
Laughing Gull,Leucophaeus atricilla,Rare/Accidental
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental
Black-tailed Gull,Larus crassirostris,Rare/Accidental
Common Gull,Larus canus,Rare/Accidental
Short-billed Gull,Larus brachyrhynchus,Rare/Accidental
Ring-billed Gull,Larus delawarensis,
Herring Gull,Larus argentatus,
Yellow-legged Gull,Larus michahellis,Rare/Accidental
Great Black-backed Gull,Larus marinus,
Glaucous Gull,Larus hyperboreus,
Lesser Black-backed Gull,Larus fuscus,
California Gull,Larus californicus,Rare/Accidental
Slaty-backed Gull,Larus schistisagus,Rare/Accidental
Iceland Gull,Larus glaucoides,
Black Skimmer,Rynchops niger,Rare/Accidental
Sooty Tern,Onychoprion fuscatus,Rare/Accidental
Gull-billed Tern,Gelochelidon nilotica,Rare/Accidental
Caspian Tern,Hydroprogne caspia,
Black Tern,Chlidonias niger,
White-winged Tern,Chlidonias leucopterus,Rare/Accidental
Forster's Tern,Sterna forsteri,Rare/Accidental
Arctic Tern,Sterna paradisaea,
Common Tern,Sterna hirundo,
Roseate Tern,Sterna dougallii,Rare/Accidental
Sandwich Tern,Thalasseus sandvicensis,Rare/Accidental
Royal Tern,Thalasseus maximus,Rare/Accidental
,,
GAVIIFORMES: Gaviidae,,
Red-throated Loon,Gavia stellata,
Pacific Loon,Gavia pacifica,
Common Loon,Gavia immer,
,,
PROCELLARIIFORMES: Diomedeidae,,
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Rare/Accidental
,,
PROCELLARIIFORMES: Oceanitidae,,
Wilson's Storm-Petrel,Oceanites oceanicus,
,,
PROCELLARIIFORMES: Hydrobatidae,,
Leach's Storm-Petrel,Hydrobates leucorhous,
,,
PROCELLARIIFORMES: Procellariidae,,
Northern Fulmar,Fulmarus glacialis,
Cory's Shearwater,Calonectris diomedea,Rare/Accidental
Great Shearwater,Ardenna gravis,
Sooty Shearwater,Ardenna grisea,
Manx Shearwater,Puffinus puffinus,Rare/Accidental
,,
CICONIIFORMES: Ciconiidae,,
Wood Stork,Mycteria americana,Rare/Accidental
,,
SULIFORMES: Fregatidae,,
Magnificent Frigatebird,Fregata magnificens,Rare/Accidental
,,
SULIFORMES: Sulidae,,
Northern Gannet,Morus bassanus,
Brown Booby,Sula leucogaster,Rare/Accidental
,,
SULIFORMES: Phalacrocoracidae,,
Great Cormorant,Phalacrocorax carbo,
Double-crested Cormorant,Nannopterum auritum,
Neotropic Cormorant,Nannopterum brasilianum,Rare/Accidental
,,
PELECANIFORMES: Pelecanidae,,
American White Pelican,Pelecanus erythrorhynchos,Rare/Accidental
Brown Pelican,Pelecanus occidentalis,Rare/Accidental
,,
PELECANIFORMES: Ardeidae,,
American Bittern,Botaurus lentiginosus,
Least Bittern,Ixobrychus exilis,
Yellow-crowned Night Heron,Nyctanassa violacea,Rare/Accidental
Black-crowned Night Heron,Nycticorax nycticorax,
Little Blue Heron,Egretta caerulea,
Tricolored Heron,Egretta tricolor,Rare/Accidental
Snowy Egret,Egretta thula,Rare/Accidental
Little Egret,Egretta garzetta,Rare/Accidental
Green Heron,Butorides virescens,
Western Cattle Egret,Bubulcus ibis,Rare/Accidental
Great Egret,Ardea alba,
Great Blue Heron,Ardea herodias,
,,
PELECANIFORMES: Threskiornithidae,,
White Ibis,Eudocimus albus,Rare/Accidental
Glossy Ibis,Plegadis falcinellus,Rare/Accidental
White-faced Ibis,Plegadis chihi,Rare/Accidental
Roseate Spoonbill,Platalea ajaja,Rare/Accidental
,,
CATHARTIFORMES: Cathartidae,,
Black Vulture,Coragyps atratus,Rare/Accidental
Turkey Vulture,Cathartes aura,
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Swallow-tailed Kite,Elanoides forficatus,Rare/Accidental
Golden Eagle,Aquila chrysaetos,
Mississippi Kite,Ictinia mississippiensis,Rare/Accidental
Northern Harrier,Circus hudsonius,
Sharp-shinned Hawk,Accipiter striatus,
Cooper's Hawk,Accipiter cooperii,
American Goshawk,Accipiter atricapillus,
Steller's Sea-Eagle,Haliaeetus pelagicus,Rare/Accidental
Bald Eagle,Haliaeetus leucocephalus,
Red-shouldered Hawk,Buteo lineatus,
Broad-winged Hawk,Buteo platypterus,
Swainson's Hawk,Buteo swainsoni,Rare/Accidental
Red-tailed Hawk,Buteo jamaicensis,
Rough-legged Hawk,Buteo lagopus,
,,
STRIGIFORMES: Tytonidae,,
Barn Owl,Tyto alba,Rare/Accidental
,,
STRIGIFORMES: Strigidae,,
Eastern Screech-Owl,Megascops asio,
Snowy Owl,Bubo scandiacus,
Great Horned Owl,Bubo virginianus,
Northern Hawk Owl,Surnia ulula,
Burrowing Owl,Athene cunicularia,Rare/Accidental
Barred Owl,Strix varia,
Great Gray Owl,Strix nebulosa,
Long-eared Owl,Asio otus,
Short-eared Owl,Asio flammeus,
Boreal Owl,Aegolius funereus,
Northern Saw-whet Owl,Aegolius acadicus,
,,
CORACIIFORMES: Alcedinidae,,
Belted Kingfisher,Megaceryle alcyon,
,,
PICIFORMES: Picidae,,
Yellow-bellied Sapsucker,Sphyrapicus varius,
Lewis's Woodpecker,Melanerpes lewis,Rare/Accidental
Red-headed Woodpecker,Melanerpes erythrocephalus,Rare/Accidental
Red-bellied Woodpecker,Melanerpes carolinus,
American Three-toed Woodpecker,Picoides dorsalis,
Black-backed Woodpecker,Picoides arcticus,
Downy Woodpecker,Dryobates pubescens,
Hairy Woodpecker,Dryobates villosus,
Pileated Woodpecker,Dryocopus pileatus,
Northern Flicker,Colaptes auratus,
,,
FALCONIFORMES: Falconidae,,
Crested Caracara,Caracara plancus,Rare/Accidental
American Kestrel,Falco sparverius,
Merlin,Falco columbarius,
Gyrfalcon,Falco rusticolus,
Peregrine Falcon,Falco peregrinus,
,,
PASSERIFORMES: Tyrannidae,,
Small-billed Elaenia,Elaenia parvirostris,Rare/Accidental
Olive-sided Flycatcher,Contopus cooperi,
Western Wood-Pewee,Contopus sordidulus,Rare/Accidental
Eastern Wood-Pewee,Contopus virens,
Yellow-bellied Flycatcher,Empidonax flaviventris,
Acadian Flycatcher,Empidonax virescens,Rare/Accidental
Alder Flycatcher,Empidonax alnorum,
Willow Flycatcher,Empidonax traillii,
Least Flycatcher,Empidonax minimus,
Gray Flycatcher,Empidonax wrightii,Rare/Accidental
Eastern Phoebe,Sayornis phoebe,
Say's Phoebe,Sayornis saya,Rare/Accidental
Vermilion Flycatcher,Pyrocephalus rubinus,Rare/Accidental
Ash-throated Flycatcher,Myiarchus cinerascens,Rare/Accidental
Great Crested Flycatcher,Myiarchus crinitus,
Tropical Kingbird,Tyrannus melancholicus,Rare/Accidental
Western Kingbird,Tyrannus verticalis,Rare/Accidental
Eastern Kingbird,Tyrannus tyrannus,
Gray Kingbird,Tyrannus dominicensis,Rare/Accidental
Scissor-tailed Flycatcher,Tyrannus forficatus,Rare/Accidental
Fork-tailed Flycatcher,Tyrannus savana,Rare/Accidental
,,
PASSERIFORMES: Vireonidae,,
Black-capped Vireo,Vireo atricapilla,Rare/Accidental
White-eyed Vireo,Vireo griseus,Rare/Accidental
Yellow-throated Vireo,Vireo flavifrons,
Blue-headed Vireo,Vireo solitarius,
Philadelphia Vireo,Vireo philadelphicus,
Warbling Vireo,Vireo gilvus,
Red-eyed Vireo,Vireo olivaceus,
Yellow-green Vireo,Vireo flavoviridis,Rare/Accidental
,,
PASSERIFORMES: Laniidae,,
Loggerhead Shrike,Lanius ludovicianus,Rare/Accidental
Northern Shrike,Lanius borealis,
,,
PASSERIFORMES: Corvidae,,
Canada Jay,Perisoreus canadensis,
Steller's Jay,Cyanocitta stelleri,Rare/Accidental
Blue Jay,Cyanocitta cristata,
Black-billed Magpie,Pica hudsonia,Rare/Accidental
Eurasian Jackdaw,Corvus monedula,Rare/Accidental
American Crow,Corvus brachyrhynchos,
Fish Crow,Corvus ossifragus,Rare/Accidental
Common Raven,Corvus corax,
,,
PASSERIFORMES: Paridae,,
Black-capped Chickadee,Poecile atricapillus,
Boreal Chickadee,Poecile hudsonicus,
Tufted Titmouse,Baeolophus bicolor,
,,
PASSERIFORMES: Alaudidae,,
Horned Lark,Eremophila alpestris,
Eurasian Skylark,Alauda arvensis,Rare/Accidental
,,
PASSERIFORMES: Hirundinidae,,
Bank Swallow,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Violet-green Swallow,Tachycineta thalassina,Rare/Accidental
Purple Martin,Progne subis,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,
Barn Swallow,Hirundo rustica,
Cliff Swallow,Petrochelidon pyrrhonota,
Cave Swallow,Petrochelidon fulva,Rare/Accidental
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Corthylio calendula,
Golden-crowned Kinglet,Regulus satrapa,
,,
PASSERIFORMES: Sittidae,,
White-breasted Nuthatch,Sitta carolinensis,
Red-breasted Nuthatch,Sitta canadensis,
,,
PASSERIFORMES: Certhiidae,,
Brown Creeper,Certhia americana,
,,
PASSERIFORMES: Polioptilidae,,
Blue-gray Gnatcatcher,Polioptila caerulea,
,,
PASSERIFORMES: Troglodytidae,,
Rock Wren,Salpinctes obsoletus,Rare/Accidental
House Wren,Troglodytes aedon,
Winter Wren,Troglodytes hiemalis,
Sedge Wren,Cistothorus stellaris,
Marsh Wren,Cistothorus palustris,
Carolina Wren,Thryothorus ludovicianus,
,,
PASSERIFORMES: Sturnidae,,
European Starling,Sturnus vulgaris,Introduced species
,,
PASSERIFORMES: Mimidae,,
Gray Catbird,Dumetella carolinensis,
Brown Thrasher,Toxostoma rufum,
Northern Mockingbird,Mimus polyglottos,
,,
PASSERIFORMES: Turdidae,,
Eastern Bluebird,Sialia sialis,
Mountain Bluebird,Sialia currucoides,Rare/Accidental
Townsend's Solitaire,Myadestes townsendi,Rare/Accidental
Varied Thrush,Ixoreus naevius,Rare/Accidental
Veery,Catharus fuscescens,
Gray-cheeked Thrush,Catharus minimus,
Bicknell's Thrush,Catharus bicknelli,
Swainson's Thrush,Catharus ustulatus,
Hermit Thrush,Catharus guttatus,
Wood Thrush,Hylocichla mustelina,
Song Thrush,Turdus philomelos,Rare/Accidental
Redwing,Turdus iliacus,Rare/Accidental
Eurasian Blackbird,Turdus merula,Introduced species
American Robin,Turdus migratorius,
Fieldfare,Turdus pilaris,Rare/Accidental
,,
PASSERIFORMES: Muscicapidae,,
Northern Wheatear,Oenanthe oenanthe,
,,
PASSERIFORMES: Bombycillidae,,
Bohemian Waxwing,Bombycilla garrulus,
Cedar Waxwing,Bombycilla cedrorum,
,,
PASSERIFORMES: Passeridae,,
House Sparrow,Passer domesticus,Introduced species
Eurasian Tree Sparrow,Passer montanus,Rare/Accidental
,,
PASSERIFORMES: Motacillidae,,
White Wagtail,Motacilla alba,Rare/Accidental
American Pipit,Anthus rubescens,
,,
PASSERIFORMES: Fringillidae,,
Brambling,Fringilla montifringilla,Rare/Accidental
Evening Grosbeak,Coccothraustes vespertinus,
Pine Grosbeak,Pinicola enucleator,
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Rare/Accidental
House Finch,Haemorhous mexicanus,Introduced species
Purple Finch,Haemorhous purpureus,
European Greenfinch,Chloris chloris,Introduced species
Common Redpoll,Acanthis flammea,
Hoary Redpoll,Acanthis hornemanni,
Red Crossbill,Loxia curvirostra,
White-winged Crossbill,Loxia leucoptera,
Eurasian Siskin,Spinus spinus,Introduced species
Pine Siskin,Spinus pinus,
American Goldfinch,Spinus tristis,
,,
PASSERIFORMES: Calcariidae,,
Lapland Longspur,Calcarius lapponicus,
Smith's Longspur,Calcarius pictus,Rare/Accidental
Snow Bunting,Plectrophenax nivalis,
,,
PASSERIFORMES: Passerellidae,,
Grasshopper Sparrow,Ammodramus savannarum,
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,
Field Sparrow,Spizella pusilla,
Brewer's Sparrow,Spizella breweri,Rare/Accidental
Black-throated Sparrow,Amphispiza bilineata,Rare/Accidental
Lark Sparrow,Chondestes grammacus,Rare/Accidental
Lark Bunting,Calamospiza melanocorys,Rare/Accidental
American Tree Sparrow,Spizelloides arborea,
Fox Sparrow,Passerella iliaca,
Dark-eyed Junco,Junco hyemalis,
White-crowned Sparrow,Zonotrichia leucophrys,
Golden-crowned Sparrow,Zonotrichia atricapilla,Rare/Accidental
Harris's Sparrow,Zonotrichia querula,Rare/Accidental
White-throated Sparrow,Zonotrichia albicollis,
Vesper Sparrow,Pooecetes gramineus,
LeConte's Sparrow,Ammospiza leconteii,
Seaside Sparrow,Ammospiza maritima,Rare/Accidental
Nelson's Sparrow,Ammospiza nelsoni,
Savannah Sparrow,Passerculus sandwichensis,
Henslow's Sparrow,Centronyx henslowii,Rare/Accidental
Song Sparrow,Melospiza melodia,
Lincoln's Sparrow,Melospiza lincolnii,
Swamp Sparrow,Melospiza georgiana,
Green-tailed Towhee,Pipilo chlorurus,Rare/Accidental
Spotted Towhee,Pipilo maculatus,Rare/Accidental
Eastern Towhee,Pipilo erythrophthalmus,
,,
PASSERIFORMES: Icteriidae,,
Yellow-breasted Chat,Icteria virens,Rare/Accidental
,,
PASSERIFORMES: Icteridae,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare/Accidental
Bobolink,Dolichonyx oryzivorus,
Western Meadowlark,Sturnella neglecta,Rare/Accidental
Eastern Meadowlark,Sturnella magna,
Orchard Oriole,Icterus spurius,Rare/Accidental
Hooded Oriole,Icterus cucullatus,Rare/Accidental
Bullock's Oriole,Icterus bullockii,Rare/Accidental
Baltimore Oriole,Icterus galbula,
Red-winged Blackbird,Agelaius phoeniceus,
Shiny Cowbird,Molothrus bonariensis,Rare/Accidental
Brown-headed Cowbird,Molothrus ater,
Rusty Blackbird,Euphagus carolinus,
Brewer's Blackbird,Euphagus cyanocephalus,Rare/Accidental
Common Grackle,Quiscalus quiscula,
,,
PASSERIFORMES: Parulidae,,
Ovenbird,Seiurus aurocapilla,
Worm-eating Warbler,Helmitheros vermivorum,Rare/Accidental
Louisiana Waterthrush,Parkesia motacilla,Rare/Accidental
Northern Waterthrush,Parkesia noveboracensis,
Golden-winged Warbler,Vermivora chrysoptera,
Blue-winged Warbler,Vermivora cyanoptera,Rare/Accidental
Black-and-white Warbler,Mniotilta varia,
Prothonotary Warbler,Protonotaria citrea,Rare/Accidental
Tennessee Warbler,Leiothlypis peregrina,
Orange-crowned Warbler,Leiothlypis celata,
Nashville Warbler,Leiothlypis ruficapilla,
Connecticut Warbler,Oporornis agilis,
Mourning Warbler,Geothlypis philadelphia,
Kentucky Warbler,Geothlypis formosa,Rare/Accidental
Common Yellowthroat,Geothlypis trichas,
Hooded Warbler,Setophaga citrina,Rare/Accidental
American Redstart,Setophaga ruticilla,
Kirtland's Warbler,Setophaga kirtlandii,Rare/Accidental
Cape May Warbler,Setophaga tigrina,
Cerulean Warbler,Setophaga cerulea,
Northern Parula,Setophaga americana,
Magnolia Warbler,Setophaga magnolia,
Bay-breasted Warbler,Setophaga castanea,
Blackburnian Warbler,Setophaga fusca,
Yellow Warbler,Setophaga petechia,
Chestnut-sided Warbler,Setophaga pensylvanica,
Blackpoll Warbler,Setophaga striata,
Black-throated Blue Warbler,Setophaga caerulescens,
Palm Warbler,Setophaga palmarum,
Pine Warbler,Setophaga pinus,
Yellow-rumped Warbler,Setophaga coronata,
Yellow-throated Warbler,Setophaga dominica,Rare/Accidental
Prairie Warbler,Setophaga discolor,Rare/Accidental
Black-throated Gray Warbler,Setophaga nigrescens,Rare/Accidental
Townsend's Warbler,Setophaga townsendi,Rare/Accidental
Hermit Warbler,Setophaga occidentalis,Rare/Accidental
Black-throated Green Warbler,Setophaga virens,
Canada Warbler,Cardellina canadensis,
Wilson's Warbler,Cardellina pusilla,
Painted Redstart,Myioborus pictus,Rare/Accidental
,,
PASSERIFORMES: Cardinalidae,,
Hepatic Tanager,Piranga flava,Rare/Accidental
Summer Tanager,Piranga rubra,Rare/Accidental
Scarlet Tanager,Piranga olivacea,
Western Tanager,Piranga ludoviciana,Rare/Accidental
Northern Cardinal,Cardinalis cardinalis,
Rose-breasted Grosbeak,Pheucticus ludovicianus,
Black-headed Grosbeak,Pheucticus melanocephalus,Rare/Accidental
Blue Grosbeak,Passerina caerulea,Rare/Accidental
Lazuli Bunting,Passerina amoena,Rare/Accidental
Indigo Bunting,Passerina cyanea,
Painted Bunting,Passerina ciris,Rare/Accidental
Dickcissel,Spiza americana,Rare/Accidental
,,
PASSERIFORMES: Thraupidae,,
Lesson's Seedeater,Sporophila bouvronides,Rare/Accidental
ANSERIFORMES: Anatidae,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Rare/Accidental
Snow Goose,Anser caerulescens,Rare/Accidental
Ross's Goose,Anser rossii,Rare/Accidental
Graylag Goose,Anser anser,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,Rare/Accidental
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental
Brant,Branta bernicla,Rare/Accidental
Barnacle Goose,Branta leucopsis,Rare/Accidental
Cackling Goose,Branta hutchinsii,
Canada Goose,Branta canadensis,
Trumpeter Swan,Cygnus buccinator,Rare/Accidental
Tundra Swan,Cygnus columbianus,Rare/Accidental
Whooper Swan,Cygnus cygnus,Rare/Accidental
Common Shelduck,Tadorna tadorna,Rare/Accidental
Wood Duck,Aix sponsa,
Garganey,Spatula querquedula,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,Rare/Accidental
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
American Black Duck,Anas rubripes,
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,Rare/Accidental
Redhead,Aythya americana,Rare/Accidental
Ring-necked Duck,Aythya collaris,
Tufted Duck,Aythya fuligula,Rare/Accidental
Greater Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
King Eider,Somateria spectabilis,
Common Eider,Somateria mollissima,
Harlequin Duck,Histrionicus histrionicus,
Surf Scoter,Melanitta perspicillata,
White-winged Scoter,Melanitta deglandi,
Black Scoter,Melanitta americana,
Long-tailed Duck,Clangula hyemalis,
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental
Common Merganser,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Phasianidae,,
Ruffed Grouse,Bonasa umbellus,Introduced species
Willow Ptarmigan,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
Spruce Grouse,Canachites canadensis,Introduced species
,,
