ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
,,,Ochthoeca cinnamomeiventris,Chestnut-bellied Chat-Tyrant,Tyrannidae
,,,Ochthoeca nigrita,Blackish Chat-Tyrant,Tyrannidae
,,,Ochthoeca thoracica,Maroon-belted Chat-Tyrant,Tyrannidae
Ochthoeca fumicolor,Brown-backed Chat-Tyrant,Tyrannidae,,,
,,,Ochthoeca fumicolor,Brown-backed Chat-Tyrant,Tyrannidae
,,,Ochthoeca superciliosa,Rufous-browed Chat-Tyrant,Tyrannidae
Tumbezia salvini,Tumbes Tyrant,Tyrannidae,Ochthoeca salvini,Tumbes Chat-Tyrant,Tyrannidae
Sirystes subcanescens,Todd's Sirystes,Tyrannidae,Sirystes subcanescens,Todd's Sirystes,Tyrannidae
,,,Myiodynastes hemichrysus,Golden-bellied Flycatcher,Tyrannidae
Myiodynastes hemichrysus,Golden-bellied Flycatcher,Tyrannidae,,,
Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Tyrannidae,,,
,,,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Tyrannidae
Pitangus lictor,Lesser Kiskadee,Tyrannidae,Philohydor lictor,Lesser Kiskadee,Tyrannidae
Pachyramphus albogriseus,Black-and-white Becard,Tityridae,,,
,,,Pachyramphus albogriseus,Black-and-white Becard,Tityridae
,,,Pachyramphus salvini,Cryptic Becard,Tityridae
Laniisoma elegans,Shrike-like Cotinga,Tityridae,,,
,,,Laniisoma elegans,Brazilian Laniisoma,Tityridae
,,,Laniisoma buckleyi,Andean Laniisoma,Tityridae
Cryptopipo holochlora,Green Manakin,Pipridae,,,
,,,Cryptopipo holochlora,Green Manakin,Pipridae
,,,Cryptopipo litae,Choco Manakin,Pipridae
Lepidothrix coronata,Blue-crowned Manakin,Pipridae,,,
,,,Lepidothrix coronata,Blue-capped Manakin,Pipridae
,,,Lepidothrix velutina,Velvety Manakin,Pipridae
Sakesphorus cristatus,Silvery-cheeked Antshrike,Thamnophilidae,Sakesphoroides cristatus,Silvery-cheeked Antshrike,Thamnophilidae
Herpsilochmus sellowi,Caatinga Antwren,Thamnophilidae,Radinopsyche sellowi,Caatinga Antwren,Thamnophilidae
Formicivora grisea,White-fringed Antwren,Thamnophilidae,,,
,,,Formicivora grisea,Southern White-fringed Antwren,Thamnophilidae
,,,Formicivora intermedia,Northern White-fringed Antwren,Thamnophilidae
,,,Formicivora serrana,Serra Antwren,Thamnophilidae
Formicivora serrana,Serra Antwren,Thamnophilidae,,,
Formicivora littoralis,Restinga Antwren,Thamnophilidae,,,
Furnarius leucopus,Pale-legged Hornero,Furnariidae,,,
,,,Furnarius leucopus,Pale-legged Hornero,Furnariidae
,,,Furnarius longirostris,Caribbean Hornero,Furnariidae
,,,Furnarius cinnamomeus,Pacific Hornero,Furnariidae
Synallaxis albilora,White-lored Spinetail,Furnariidae,,,
,,,Synallaxis albilora,White-lored Spinetail,Furnariidae
,,,Synallaxis simoni,Araguaia Spinetail,Furnariidae
Cranioleuca gutturata,Speckled Spinetail,Furnariidae,Thripophaga gutturata,Speckled Spinetail,Furnariidae
,,,Asthenes wyatti,Streak-backed Canastero,Furnariidae
Asthenes wyatti,Streak-backed Canastero,Furnariidae,,,
Asthenes sclateri,Puna Canastero,Furnariidae,,,
Thripophaga berlepschi,Russet-mantled Softtail,Furnariidae,Cranioleuca berlepschi,Russet-mantled Softtail,Furnariidae
Phacellodomus rufifrons,Rufous-fronted Thornbird,Furnariidae,,,
,,,Phacellodomus rufifrons,Rufous-fronted Thornbird,Furnariidae
,,,Phacellodomus inornatus,Plain Thornbird,Furnariidae
Pseudocolaptes lawrencii,Buffy Tuftedcheek,Furnariidae,,,
,,,Pseudocolaptes lawrencii,Buffy Tuftedcheek,Furnariidae
,,,Pseudocolaptes johnsoni,Pacific Tuftedcheek,Furnariidae
Automolus subulatus,Striped Woodhaunter,Furnariidae,,,
,,,Automolus subulatus,Eastern Woodhaunter,Furnariidae
,,,Automolus virgatus,Western Woodhaunter,Furnariidae
Automolus ochrolaemus,Buff-throated Foliage-gleaner,Furnariidae,,,
,,,Automolus ochrolaemus,Ochre-throated Foliage-gleaner,Furnariidae
,,,Automolus cervinigularis,Fawn-throated Foliage-gleaner,Furnariidae
Campylorhamphus procurvoides,Curve-billed Scythebill,Furnariidae,,,
,,,Campylorhamphus procurvoides,Curve-billed Scythebill,Furnariidae
,,,Campylorhamphus probatus,Tapajos Scythebill,Furnariidae
,,,Campylorhamphus multostriatus,Xingu Scythebill,Furnariidae
Grallaria quitensis,Tawny Antpitta,Grallariidae,,,
,,,Grallaria quitensis,Tawny Antpitta,Grallariidae
,,,Grallaria alticola,Boyaca Antpitta,Grallariidae
,,,Grallaria atuensis,Atuen Antpitta,Grallariidae
Conopophaga aurita,Chestnut-belted Gnateater,Conopophagidae,,,
,,,Conopophaga aurita,Chestnut-belted Gnateater,Conopophagidae
,,,Conopophaga snethlageae,Black-breasted Gnateater,Conopophagidae
Ailuroedus stonii,Ochre-breasted Catbird,Ptilonorhynchidae,Ailuroedus stonii,Ochre-breasted Catbird,Ptilonorhynchidae
Amblyornis newtoniana,Golden Bowerbird,Ptilonorhynchidae,Prionodura newtoniana,Golden Bowerbird,Ptilonorhynchidae
Myzomela chloroptera,Sulawesi Myzomela,Meliphagidae,,,
,,,Myzomela chloroptera,Sulawesi Myzomela,Meliphagidae
,,,Myzomela batjanensis,Bacan Myzomela,Meliphagidae
Myzomela rosenbergii,Red-collared Myzomela,Meliphagidae,,,
,,,Myzomela rosenbergii,Red-collared Myzomela,Meliphagidae
,,,Myzomela longirostris,Long-billed Myzomela,Meliphagidae
Lichmera limbata,Indonesian Honeyeater,Meliphagidae,,,
,,,Lichmera indistincta,Brown Honeyeater,Meliphagidae
Lichmera indistincta,Brown Honeyeater,Meliphagidae,,,
Philemon fuscicapillus,Dusky Friarbird,Meliphagidae,Philemon fuscicapillus,Morotai Friarbird,Meliphagidae
Melidectes fuscus,Sooty Melidectes,Meliphagidae,Melionyx fuscus,Sooty Honeyeater,Meliphagidae
Melidectes nouhuysi,Short-bearded Melidectes,Meliphagidae,Melionyx nouhuysi,Short-bearded Honeyeater,Meliphagidae
Melidectes princeps,Long-bearded Melidectes,Meliphagidae,Melionyx princeps,Long-bearded Honeyeater,Meliphagidae
Crateroscelis nigrorufa,Bicolored Mouse-Warbler,Acanthizidae,Aethomyias nigrorufus,Bicolored Mouse-Warbler,Acanthizidae
Sericornis citreogularis,Yellow-throated Scrubwren,Acanthizidae,Neosericornis citreogularis,Yellow-throated Scrubwren,Acanthizidae
Sericornis frontalis,White-browed Scrubwren,Acanthizidae,,,
,,,Sericornis frontalis,White-browed Scrubwren,Acanthizidae
,,,Sericornis maculatus,Spotted Scrubwren,Acanthizidae
Sericornis beccarii,Tropical Scrubwren,Acanthizidae,,,
,,,Sericornis beccarii,Tropical Scrubwren,Acanthizidae
,,,Sericornis nouhuysi,Large Scrubwren,Acanthizidae
Sericornis nouhuysi,Large Scrubwren,Acanthizidae,,,
Sericornis virgatus,Perplexing Scrubwren,Acanthizidae,,,
Sericornis rufescens,Vogelkop Scrubwren,Acanthizidae,Aethomyias rufescens,Vogelkop Scrubwren,Acanthizidae
Sericornis perspicillatus,Buff-faced Scrubwren,Acanthizidae,Aethomyias perspicillatus,Buff-faced Scrubwren,Acanthizidae
Sericornis arfakianus,Gray-green Scrubwren,Acanthizidae,Aethomyias arfakianus,Gray-green Scrubwren,Acanthizidae
Sericornis papuensis,Papuan Scrubwren,Acanthizidae,Aethomyias papuensis,Papuan Scrubwren,Acanthizidae
Sericornis spilodera,Pale-billed Scrubwren,Acanthizidae,Aethomyias spilodera,Pale-billed Scrubwren,Acanthizidae
Gerygone flavolateralis,Fan-tailed Gerygone,Acanthizidae,,,
,,,Gerygone flavolateralis,Fan-tailed Gerygone,Acanthizidae
,,,Gerygone citrina,Rennell Gerygone,Acanthizidae
Monachella muelleriana,Torrent Flycatcher,Petroicidae,Monachella muelleriana,Torrent Flyrobin,Petroicidae
Microeca flavigaster,Lemon-bellied Flycatcher,Petroicidae,Microeca flavigaster,Lemon-bellied Flyrobin,Petroicidae
Microeca griseoceps,Yellow-legged Flycatcher,Petroicidae,Kempiella griseoceps,Yellow-legged Flyrobin,Petroicidae
Microeca flavovirescens,Olive Flyrobin,Petroicidae,Kempiella flavovirescens,Olive Flyrobin,Petroicidae
Microeca papuana,Papuan Flycatcher,Petroicidae,Devioeca papuana,Canary Flyrobin,Petroicidae
Tregellasia leucops,White-faced Robin,Petroicidae,Eopsaltria leucops,White-faced Robin,Petroicidae
Tregellasia capito,Pale-yellow Robin,Petroicidae,Eopsaltria capito,Pale-yellow Robin,Petroicidae
Eopsaltria flaviventris,Yellow-bellied Robin,Petroicidae,Cryptomicroeca flaviventris,Yellow-bellied Flyrobin,Petroicidae
Eopsaltria pulverulenta,Mangrove Robin,Petroicidae,Melanodryas pulverulenta,Mangrove Robin,Petroicidae
Poecilodryas brachyura,Black-chinned Robin,Petroicidae,Heteromyias brachyurus,Black-chinned Robin,Petroicidae
Poecilodryas placens,Olive-yellow Robin,Petroicidae,Eopsaltria placens,Banded Yellow Robin,Petroicidae
Poecilodryas albonotata,Black-throated Robin,Petroicidae,Plesiodryas albonotata,Black-throated Robin,Petroicidae
Peneothello sigillata,White-winged Robin,Petroicidae,Melanodryas sigillata,White-winged Robin,Petroicidae
Peneothello cryptoleuca,Smoky Robin,Petroicidae,Melanodryas cryptoleuca,Smoky Robin,Petroicidae
Peneothello cyanus,Blue-gray Robin,Petroicidae,Melanodryas cyanus,Blue-gray Robin,Petroicidae
Peneothello bimaculata,White-rumped Robin,Petroicidae,Melanodryas bimaculata,White-rumped Robin,Petroicidae
Heteromyias albispecularis,Ashy Robin,Petroicidae,,,
,,,Heteromyias albispecularis,Arfak Robin,Petroicidae
,,,Heteromyias armiti,Black-capped Robin,Petroicidae
Irena puella,Asian Fairy-bluebird,Irenidae,,,
,,,Irena puella,Asian Fairy-bluebird,Irenidae
,,,Irena tweeddalii,Palawan Fairy-bluebird,Irenidae
Chloropsis cochinchinensis,Blue-winged Leafbird,Chloropseidae,,,
,,,Chloropsis cochinchinensis,Javan Leafbird,Chloropseidae
,,,Chloropsis moluccensis,Blue-winged Leafbird,Chloropseidae
Pomatostomus isidorei,Papuan Babbler,Pomatostomidae,Garritornis isidorei,Papuan Babbler,Pomatostomidae
Falcunculus frontatus,Crested Shrike-tit,Falcunculidae,,,
,,,Falcunculus frontatus,Eastern Shrike-tit,Falcunculidae
,,,Falcunculus whitei,Northern Shrike-tit,Falcunculidae
,,,Falcunculus leucogaster,Western Shrike-tit,Falcunculidae
Pachycephala vanikorensis,Temotu Whistler,Pachycephalidae,Pachycephala vanikorensis,Temotu Whistler,Pachycephalidae
Platylophus galericulatus,Crested Shrikejay,Platylophidae,Platylophus galericulatus,Crested Jayshrike,Platylophidae
Corvus enca,Slender-billed Crow,Corvidae,,,
,,,Corvus enca,Slender-billed Crow,Corvidae
,,,Corvus pusillus,Palawan Crow,Corvidae
Corvus palmarum,Palm Crow,Corvidae,,,
,,,Corvus palmarum,Hispaniolan Palm-Crow,Corvidae
,,,Corvus minutus,Cuban Palm-Crow,Corvidae
Melampitta gigantea,Greater Melampitta,Melampittidae,Megalampitta gigantea,Greater Melampitta,Melampittidae
Lycocorax pyrrhopterus,Paradise-crow,Paradisaeidae,,,
,,,Lycocorax pyrrhopterus,Halmahera Paradise-crow,Paradisaeidae
,,,Lycocorax obiensis,Obi Paradise-crow,Paradisaeidae
Parotia lawesii,Lawes's Parotia,Paradisaeidae,,,
,,,Parotia lawesii,Lawes's Parotia,Paradisaeidae
,,,Parotia helenae,Eastern Parotia,Paradisaeidae
Cicinnurus magnificus,Magnificent Bird-of-Paradise,Paradisaeidae,Diphyllodes magnificus,Magnificent Bird-of-Paradise,Paradisaeidae
Cicinnurus respublica,Wilson's Bird-of-Paradise,Paradisaeidae,Diphyllodes respublica,Wilson's Bird-of-Paradise,Paradisaeidae
Paradisaea rudolphi,Blue Bird-of-Paradise,Paradisaeidae,Paradisornis rudolphi,Blue Bird-of-Paradise,Paradisaeidae
Cracticus quoyi,Black Butcherbird,Artamidae,Melloria quoyi,Black Butcherbird,Artamidae
Oriolus melanotis,Timor Oriole,Oriolidae,,,
,,,Oriolus melanotis,Timor Oriole,Oriolidae
,,,Oriolus finschi,Wetar Oriole,Oriolidae
Oriolus xanthonotus,Dark-throated Oriole,Oriolidae,,,
,,,Oriolus xanthonotus,Dark-throated Oriole,Oriolidae
,,,Oriolus consobrinus,Ventriloquial Oriole,Oriolidae
Oriolus cruentus,Black-and-crimson Oriole,Oriolidae,,,
,,,Oriolus cruentus,Javan Oriole,Oriolidae
,,,Oriolus consanguineus,Black-and-crimson Oriole,Oriolidae
Coracina cucullata,Comoros Cuckooshrike,Campephagidae,Coracina cucullata,Comoro Cuckooshrike,Campephagidae
Edolisoma dispar,Kai Cicadabird,Campephagidae,Edolisoma dispar,Kai Cicadabird,Campephagidae
Pericrocotus roseus,Rosy Minivet,Campephagidae,,,
,,,Pericrocotus roseus,Rosy Minivet,Campephagidae
Rhipidura cockerelli,Cockerell's Fantail,Rhipiduridae,,,
,,,Rhipidura cockerelli,White-winged Fantail,Rhipiduridae
,,,Rhipidura coultasi,White-gorgeted Fantail,Rhipiduridae
Rhipidura drownei,Brown Fantail,Rhipiduridae,,,
,,,Rhipidura drownei,Bougainville Fantail,Rhipiduridae
,,,Rhipidura ocularis,Guadalcanal Fantail,Rhipiduridae
Rhipidura verreauxi,Streaked Fantail,Rhipiduridae,,,
,,,Rhipidura verreauxi,New Caledonian Streaked Fantail,Rhipiduridae
,,,Rhipidura layardi,Fiji Streaked Fantail,Rhipiduridae
,,,Rhipidura spilodera,Vanuatu Streaked Fantail,Rhipiduridae
Rhipidura rufifrons,Rufous Fantail,Rhipiduridae,,,
,,,Rhipidura rufifrons,Australian Rufous Fantail,Rhipiduridae
,,,Rhipidura torrida,Gilolo Fantail,Rhipiduridae
,,,Rhipidura louisiadensis,Louisiade Fantail,Rhipiduridae
,,,Rhipidura versicolor,Micronesian Rufous Fantail,Rhipiduridae
,,,Rhipidura rufofronta,Solomons Rufous Fantail,Rhipiduridae
,,,Rhipidura melaenolaema,Santa Cruz Fantail,Rhipiduridae
Rhipidura dryas,Arafura Fantail,Rhipiduridae,,,
,,,Rhipidura dryas,Arafura Fantail,Rhipiduridae
,,,Rhipidura semicollaris,Supertramp Fantail,Rhipiduridae
Dicrurus ludwigii,Common Square-tailed Drongo,Dicruridae,Dicrurus ludwigii,Square-tailed Drongo,Dicruridae
,,,Dicrurus sharpei,Sharpe's Drongo,Dicruridae
Dicrurus sharpei,Sharpe's Drongo,Dicruridae,,,
Dicrurus occidentalis,Western Square-tailed Drongo,Dicruridae,,,
,,,Dicrurus adsimilis,Fork-tailed Drongo,Dicruridae
Dicrurus adsimilis,Fork-tailed Drongo,Dicruridae,,,
Dicrurus divaricatus,Glossy-backed Drongo,Dicruridae,,,
,,,Dicrurus modestus,Velvet-mantled Drongo,Dicruridae
Dicrurus modestus,Velvet-mantled Drongo,Dicruridae,,,
Dicrurus atactus,Fanti Drongo,Dicruridae,,,
Dicrurus hottentottus,Hair-crested Drongo,Dicruridae,,,
,,,Dicrurus hottentottus,Hair-crested Drongo,Dicruridae
,,,Dicrurus palawanensis,Palawan Drongo,Dicruridae
,,,Dicrurus striatus,Short-tailed Drongo,Dicruridae
Dicrurus sumatranus,Sumatran Drongo,Dicruridae,,,
,,,Dicrurus sumatranus,Sumatran Drongo,Dicruridae
Elminia nigromitrata,Dusky Crested-Flycatcher,Stenostiridae,Elminia nigromitrata,Dusky Crested Flycatcher,Stenostiridae
Elminia albiventris,White-bellied Crested-Flycatcher,Stenostiridae,Elminia albiventris,White-bellied Crested Flycatcher,Stenostiridae
Elminia albonotata,White-tailed Crested-Flycatcher,Stenostiridae,Elminia albonotata,White-tailed Crested Flycatcher,Stenostiridae
Trochocercus nitens,Blue-headed Crested-Flycatcher,Monarchidae,Trochocercus nitens,Blue-headed Crested Flycatcher,Monarchidae
Trochocercus cyanomelas,African Crested-Flycatcher,Monarchidae,Trochocercus cyanomelas,African Crested Flycatcher,Monarchidae
Terpsiphone atrocaudata,Japanese Paradise-Flycatcher,Monarchidae,Terpsiphone atrocaudata,Black Paradise-Flycatcher,Monarchidae
Symposiachrus leucurus,White-tailed Monarch,Monarchidae,Symposiachrus leucurus,White-tailed Monarch,Monarchidae
Tchagra minutus,Marsh Tchagra,Malaconotidae,Bocagia minuta,Marsh Tchagra,Malaconotidae
,,,Batis dimorpha,Malawi Batis,Platysteiridae
Batis capensis,Cape Batis,Platysteiridae,,,
,,,Batis capensis,Cape Batis,Platysteiridae
Batis fratrum,Woodward's Batis,Platysteiridae,Batis fratrum,Woodwards' Batis,Platysteiridae
Cyanolanius madagascarinus,Blue Vanga,Vangidae,,,
,,,Cyanolanius madagascarinus,Madagascar Blue Vanga,Vangidae
,,,Cyanolanius comorensis,Comoro Blue Vanga,Vangidae
Neocossyphus finschi,Finsch's Flycatcher-Thrush,Turdidae,Stizorhina finschi,Finsch's Flycatcher-Thrush,Turdidae
Neocossyphus fraseri,Rufous Flycatcher-Thrush,Turdidae,Stizorhina fraseri,Rufous Flycatcher-Thrush,Turdidae
Monticola sharpei,Forest Rock-Thrush,Muscicapidae,,,
,,,Monticola sharpei,Forest Rock-Thrush,Muscicapidae
,,,Monticola erythronotus,Amber Mountain Rock-Thrush,Muscicapidae
Zoothera heinrichi,Geomalia,Turdidae,Zoothera heinrichi,Geomalia,Turdidae
Psophocichla litsitsirupa,Groundscraper Thrush,Turdidae,,,
,,,Turdus litsitsirupa,Groundscraper Thrush,Turdidae
,,,Turdus simensis,Ethiopian Thrush,Turdidae
Otocichla mupinensis,Chinese Thrush,Turdidae,Turdus mupinensis,Chinese Thrush,Turdidae
Brachypteryx stellata,Gould's Shortwing,Muscicapidae,Heteroxenicus stellatus,Gould's Shortwing,Muscicapidae
Brachypteryx montana,White-browed Shortwing,Muscicapidae,,,
,,,Brachypteryx montana,Javan Shortwing,Muscicapidae
,,,Brachypteryx erythrogyna,Bornean Shortwing,Muscicapidae
,,,Brachypteryx saturata,Sumatran Shortwing,Muscicapidae
,,,Brachypteryx floris,Flores Shortwing,Muscicapidae
,,,Brachypteryx poliogyna,Philippine Shortwing,Muscicapidae
Bradornis mariquensis,Mariqua Flycatcher,Muscicapidae,Bradornis mariquensis,Marico Flycatcher,Muscicapidae
Eumyias additus,Buru Jungle-Flycatcher,Muscicapidae,Eumyias additus,Buru Jungle Flycatcher,Muscicapidae
Cyornis oscillans,Flores Jungle-Flycatcher,Muscicapidae,,,
,,,Eumyias oscillans,Flores Jungle Flycatcher,Muscicapidae
,,,Eumyias stresemanni,Sumba Jungle Flycatcher,Muscicapidae
Cyornis brunneatus,Brown-chested Jungle-Flycatcher,Muscicapidae,Cyornis brunneatus,Brown-chested Jungle Flycatcher,Muscicapidae
Cyornis nicobaricus,Nicobar Jungle-Flycatcher,Muscicapidae,Cyornis nicobaricus,Nicobar Jungle Flycatcher,Muscicapidae
Cyornis olivaceus,Fulvous-chested Jungle-Flycatcher,Muscicapidae,Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,Muscicapidae
Cyornis umbratilis,Gray-chested Jungle-Flycatcher,Muscicapidae,Cyornis umbratilis,Gray-chested Jungle Flycatcher,Muscicapidae
Cyornis ruficauda,Chestnut-tailed Jungle-Flycatcher,Muscicapidae,Cyornis ruficauda,Chestnut-tailed Jungle Flycatcher,Muscicapidae
Cyornis colonus,Sula Jungle-Flycatcher,Muscicapidae,Cyornis colonus,Sula Jungle Flycatcher,Muscicapidae
Cyornis pelingensis,Banggai Jungle-Flycatcher,Muscicapidae,Cyornis pelingensis,Banggai Jungle Flycatcher,Muscicapidae
Vauriella gularis,Eyebrowed Jungle-Flycatcher,Muscicapidae,Vauriella gularis,Eyebrowed Jungle Flycatcher,Muscicapidae
Vauriella insignis,Rusty-flanked Jungle-Flycatcher,Muscicapidae,Vauriella insignis,Rusty-flanked Jungle Flycatcher,Muscicapidae
Vauriella albigularis,Negros Jungle-Flycatcher,Muscicapidae,Vauriella albigularis,Negros Jungle Flycatcher,Muscicapidae
Vauriella goodfellowi,Mindanao Jungle-Flycatcher,Muscicapidae,Vauriella goodfellowi,Mindanao Jungle Flycatcher,Muscicapidae
Humblotia flavirostris,Grand Comoro Flycatcher,Muscicapidae,Humblotia flavirostris,Grande Comore Flycatcher,Muscicapidae
Ficedula owstoni,Ryuku Flycatcher,Muscicapidae,Ficedula owstoni,Ryukyu Flycatcher,Muscicapidae
Niltava vivida,Vivid Niltava,Muscicapidae,,,
,,,Niltava vivida,Taiwan Vivid Niltava,Muscicapidae
,,,Niltava oatesi,Chinese Vivid Niltava,Muscicapidae
Cyornis sanfordi,Matinan Flycatcher,Muscicapidae,Eumyias sanfordi,Matinan Flycatcher,Muscicapidae
Cyornis hoevelli,Blue-fronted Flycatcher,Muscicapidae,Eumyias hoevelli,Blue-fronted Flycatcher,Muscicapidae
Cyornis hyacinthinus,Timor Blue Flycatcher,Muscicapidae,Eumyias hyacinthinus,Timor Blue Flycatcher,Muscicapidae
Cyornis concretus,White-tailed Flycatcher,Muscicapidae,Leucoptilon concretum,White-tailed Flycatcher,Muscicapidae
Cyornis herioti,Blue-breasted Flycatcher,Muscicapidae,,,
,,,Cyornis herioti,Blue-breasted Blue Flycatcher,Muscicapidae
,,,Cyornis camarinensis,Rufous-breasted Blue Flycatcher,Muscicapidae
Cyornis poliogenys,Pale-chinned Blue Flycatcher,Muscicapidae,Cyornis poliogenys,Pale-chinned Flycatcher,Muscicapidae
,,,Cyornis kadayangensis,Meratus Blue Flycatcher,Muscicapidae
Cyornis omissus,Sulawesi Blue Flycatcher,Muscicapidae,,,
,,,Cyornis omissus,Sulawesi Blue Flycatcher,Muscicapidae
,,,Cyornis kalaoensis,Kalao Blue Flycatcher,Muscicapidae
Stiphrornis erythrothorax,Forest Robin,Muscicapidae,,,
,,,Stiphrornis erythrothorax,Orange-breasted Forest Robin,Muscicapidae
,,,Stiphrornis mabirae,Yellow-breasted Forest Robin,Muscicapidae
,,,Stiphrornis pyrrholaemus,Olive-backed Forest Robin,Muscicapidae
,,,Sheppardia poensis,Short-tailed Akalat,Muscicapidae
Sheppardia bocagei,Bocage's Akalat,Muscicapidae,,,
,,,Sheppardia bocagei,Bocage's Akalat,Muscicapidae
Larvivora akahige,Japanese Robin,Muscicapidae,,,
,,,Larvivora akahige,Japanese Robin,Muscicapidae
,,,Larvivora tanensis,Izu Robin,Muscicapidae
Larvivora komadori,Ryukyu Robin,Muscicapidae,,,
,,,Larvivora komadori,Ryukyu Robin,Muscicapidae
,,,Larvivora namiyei,Okinawa Robin,Muscicapidae
Cossypha polioptera,Gray-winged Robin-Chat,Muscicapidae,Sheppardia polioptera,Gray-winged Robin-Chat,Muscicapidae
Copsychus malabaricus,White-rumped Shama,Muscicapidae,,,
,,,Copsychus malabaricus,White-rumped Shama,Muscicapidae
,,,Copsychus stricklandii,White-crowned Shama,Muscicapidae
Enicurus leschenaulti,White-crowned Forktail,Muscicapidae,,,
,,,Enicurus leschenaulti,White-crowned Forktail,Muscicapidae
,,,Enicurus borneensis,Bornean Forktail,Muscicapidae
Oenanthe oenanthe,Northern Wheatear,Muscicapidae,,,
,,,Oenanthe oenanthe,Northern Wheatear,Muscicapidae
,,,Oenanthe seebohmi,Atlas Wheatear,Muscicapidae
Oenanthe bottae,Red-breasted Wheatear,Muscicapidae,,,
,,,Oenanthe bottae,Buff-breasted Wheatear,Muscicapidae
,,,Oenanthe frenata,Rusty-breasted Wheatear,Muscicapidae
Oenanthe heuglini,Heuglin's Wheatear,Muscicapidae,Oenanthe heuglinii,Heuglin's Wheatear,Muscicapidae
,,,Myrmecocichla arnotti,Arnot's Chat,Muscicapidae
Myrmecocichla arnotti,Arnot's Chat,Muscicapidae,,,
Myrmecocichla collaris,Ruaha Chat,Muscicapidae,,,
Thamnolaea semirufa,White-winged Cliff-Chat,Muscicapidae,Monticola semirufus,White-winged Cliff-Chat,Muscicapidae
Poeoptera femoralis,Abbott's Starling,Sturnidae,Arizelopsar femoralis,Abbott's Starling,Sturnidae
Gracupica contra,Asian Pied Starling,Sturnidae,,,
,,,Gracupica contra,Indian Pied Starling,Sturnidae
,,,Gracupica floweri,Siamese Pied Starling,Sturnidae
,,,Gracupica jalla,Javan Pied Starling,Sturnidae
Acridotheres burmannicus,Vinous-breasted Starling,Sturnidae,,,
,,,Acridotheres burmannicus,Burmese Myna,Sturnidae
,,,Acridotheres leucocephalus,Vinous-breasted Myna,Sturnidae
Acridotheres melanopterus,Black-winged Starling,Sturnidae,Acridotheres melanopterus,Black-winged Myna,Sturnidae
Gracula religiosa,Common Hill Myna,Sturnidae,,,
,,,Gracula religiosa,Common Hill Myna,Sturnidae
Gracula enganensis,Enggano Myna,Sturnidae,,,
Gracula robusta,Nias Myna,Sturnidae,,,
,,,Gracula venerata,Tenggara Hill Myna,Sturnidae
Sitta europaea,Eurasian Nuthatch,Sittidae,,,
,,,Sitta europaea,Eurasian Nuthatch,Sittidae
,,,Sitta arctica,Siberian Nuthatch,Sittidae
Pholidornis rushiae,Tit-hylia,Macrosphenidae,Pholidornis rushiae,Tit-hylia,Hyliidae
Psaltria exilis,Pygmy Tit,Aegithalidae,Aegithalos exilis,Pygmy Tit,Aegithalidae
Riparia diluta,Pale Sand Martin,Hirundinidae,Riparia diluta,Pale Martin,Hirundinidae
Riparia paludicola,Plain Martin,Hirundinidae,,,
,,,Riparia paludicola,Plain Martin,Hirundinidae
,,,Riparia cowani,Madagascar Martin,Hirundinidae
Phedina brazzae,Brazza's Martin,Hirundinidae,Phedinopsis brazzae,Brazza's Martin,Hirundinidae
Delichon urbicum,Common House-Martin,Hirundinidae,,,
,,,Delichon urbicum,Western House-Martin,Hirundinidae
,,,Delichon lagopodum,Siberian House-Martin,Hirundinidae
Pycnonotus striatus,Striated Bulbul,Pycnonotidae,Alcurus striatus,Striated Bulbul,Pycnonotidae
Pycnonotus leucogrammicus,Cream-striped Bulbul,Pycnonotidae,Ixos leucogrammicus,Cream-striped Bulbul,Pycnonotidae
Brachypodius melanoleucos,Black-and-white Bulbul,Pycnonotidae,Microtarsus melanoleucos,Black-and-white Bulbul,Pycnonotidae
Brachypodius priocephalus,Gray-headed Bulbul,Pycnonotidae,Microtarsus priocephalus,Gray-headed Bulbul,Pycnonotidae
Brachypodius melanocephalos,Black-headed Bulbul,Pycnonotidae,Microtarsus melanocephalos,Black-headed Bulbul,Pycnonotidae
Brachypodius fuscoflavescens,Andaman Bulbul,Pycnonotidae,Microtarsus fuscoflavescens,Andaman Bulbul,Pycnonotidae
Rubigula melanicterus,Black-capped Bulbul,Pycnonotidae,Rubigula melanictera,Black-capped Bulbul,Pycnonotidae
Brachypodius eutilotus,Puff-backed Bulbul,Pycnonotidae,Microtarsus eutilotus,Puff-backed Bulbul,Pycnonotidae
Pycnonotus nieuwenhuisii,Blue-wattled Bulbul,Pycnonotidae,Microtarsus nieuwenhuisii,Blue-wattled Bulbul,Pycnonotidae
Brachypodius urostictus,Yellow-wattled Bulbul,Pycnonotidae,Microtarsus urostictus,Yellow-wattled Bulbul,Pycnonotidae
Pycnonotus finlaysoni,Stripe-throated Bulbul,Pycnonotidae,,,
,,,Pycnonotus finlaysoni,Stripe-throated Bulbul,Pycnonotidae
,,,Pycnonotus davisoni,Pale-eyed Bulbul,Pycnonotidae
Pycnonotus flavescens,Flavescent Bulbul,Pycnonotidae,,,
,,,Pycnonotus flavescens,Flavescent Bulbul,Pycnonotidae
