ScientificName1974,CommonName1974,Alternate name,Family1974,ScientificName2023,CommonName2023,Alternate name,Family2023
,,,,Collocalia sumbawae,Tenggara Swiftlet,Salangane de Sumbawa,Apodidae
,,,,Collocalia neglecta,Drab Swiftlet,Salangane négligée,Apodidae
,,,,Collocalia uropygialis,Satin Swiftlet,Salangane des Nouvelles-Hébrides,Apodidae
,,,,Collocalia affinis,Plume-toed Swiftlet,Salangane de Beavan,Apodidae
,,,,Collocalia natalis,Christmas Island Swiftlet,Salangane de Christmas,Apodidae
,,,,Collocalia marginata,Gray-rumped Swiftlet,Salangane des Philippines,Apodidae
,,,,Collocalia linchi,Cave Swiftlet,Salangane linchi,Apodidae
,,,,Collocalia dodgei,Bornean Swiftlet,Salangane du Kinabalu,Apodidae
,,,,Aerodramus elaphrus,Seychelles Swiftlet,Salangane des Seychelles,Apodidae
,,,,Aerodramus francicus,Mascarene Swiftlet,Salangane des Mascareignes,Apodidae
,,,,Aerodramus infuscatus,Halmahera Swiftlet,Salangane des Moluques,Apodidae
,,,,Aerodramus sororum,Sulawesi Swiftlet,Salangane des Célèbes,Apodidae
,,,,Aerodramus ceramensis,Seram Swiftlet,Salangane de Céram,Apodidae
Aerodramus spodiopygius,White-rumped Swiftlet,,Apodidae,,,,
,,,,Aerodramus spodiopygius,White-rumped Swiftlet,Salangane à croupion blanc,Apodidae
,,,,Aerodramus terraereginae,Australian Swiftlet,Salangane d'Australie,Apodidae
Aerodramus brevirostris,Himalayan Swiftlet,,Apodidae,,,,
,,,,Aerodramus brevirostris,Himalayan Swiftlet,Salangane de l'Himalaya,Apodidae
,,,,Aerodramus vulcanorum,Volcano Swiftlet,Salangane des volcans,Apodidae
Aerodramus whiteheadi,Whitehead's Swiftlet,,Apodidae,,,,
,,,,Aerodramus whiteheadi,Whitehead's Swiftlet,Salangane de Whitehead,Apodidae
,,,,Aerodramus nuditarsus,Bare-legged Swiftlet,Salangane de Salomonsen,Apodidae
,,,,Aerodramus orientalis,Mayr's Swiftlet,Salangane de Mayr,Apodidae
,,,,Aerodramus salangana,Mossy-nest Swiftlet,Salangane de la Sonde,Apodidae
Aerodramus vanikorensis,Mossy-nest Swiftlet,,Apodidae,,,,
,,,,Aerodramus vanikorensis,Uniform Swiftlet,Salangane de Vanikoro,Apodidae
,,,,Aerodramus mearnsi,Philippine Swiftlet,Salangane de Mearns,Apodidae
,,,,Aerodramus pelewensis,Palau Swiftlet,Salangane des Palau,Apodidae
,,,,Aerodramus bartschi,Mariana Swiftlet,Salangane de Guam,Apodidae
Aerodramus inquieta,Carolines Swiftlet,,Apodidae,,,,
,,,,Aerodramus inquietus,Caroline Islands Swiftlet,Salangane des Carolines,Apodidae
,,,,Aerodramus sawtelli,Atiu Swiftlet,Salangane de Cook,Apodidae
Aerodramus leucophaeus,Polynesian Swiftlet,,Apodidae,,,,
,,,,Aerodramus leucophaeus,Tahiti Swiftlet,Salangane de la Société,Apodidae
,,,,Aerodramus ocistus,Marquesan Swiftlet,Salangane des Marquises,Apodidae
Aerodramus maxima,Black-nest Swiftlet,,Apodidae,Aerodramus maximus,Black-nest Swiftlet,Salangane à nid noir,Apodidae
Aerodramus fuciphaga,Edible-nest Swiftlet,,Apodidae,,,,
,,,,Aerodramus fuciphagus,White-nest Swiftlet,Salangane à nid blanc,Apodidae
,,,,Aerodramus germani,Germain's Swiftlet,Salangane de Germain,Apodidae
,,,,Aerodramus amelis,Ameline Swiftlet,Salangane grise,Apodidae
,,,,Aerodramus papuensis,Three-toed Swiftlet,Salangane papoue,Apodidae
,,,,Schoutedenapus myoptilus,Scarce Swift,Martinet de Shoa,Apodidae
Schoutedenapus myoptilus,Scarce Swift,,Apodidae,,,,
Schoutedenapus schoutedeni,Congo Swift,,Apodidae,,,,
Mearnsia novaeguineae,New Guinea Spinetail,,Apodidae,Mearnsia novaeguineae,Papuan Spinetail,Martinet papou,Apodidae
Zoonavena thomensis,São Thomé Spinetail,,Apodidae,Zoonavena thomensis,Sao Tome Spinetail,Martinet de Sao Tomé,Apodidae
Telacanthura ussheri,Mottled-throated Needletail,,Apodidae,Telacanthura ussheri,Mottled Spinetail,Martinet d'Ussher,Apodidae
Telacanthura melanopygia,Chapin's Spinetail,,Apodidae,Telacanthura melanopygia,Black Spinetail,Martinet de Chapin,Apodidae
Rhaphidura leucopygialis,Silver-rumped Swift,,Apodidae,Rhaphidura leucopygialis,Silver-rumped Spinetail,Martinet leucopyge,Apodidae
Neafrapus boehmi,Boehm's Spinetail,,Apodidae,Neafrapus boehmi,Bat-like Spinetail,Martinet de Böhm,Apodidae
Hirundapus cochinchinensis,White-vented Needletail,,Apodidae,Hirundapus cochinchinensis,Silver-backed Needletail,Martinet de Cochinchine,Apodidae
Hirundapus giganteus,Brown Needletail,,Apodidae,,,,
,,,,Hirundapus giganteus,Brown-backed Needletail,Martinet géant,Apodidae
,,,,Hirundapus celebensis,Purple Needletail,Martinet des Célèbes,Apodidae
Chaetura spinicauda,Band-rumped Swift,,Apodidae,,,,
,,,,Chaetura spinicaudus,Band-rumped Swift,Martinet spinicaude,Apodidae
,,,,Chaetura fumosa,Costa Rican Swift,Martinet du Costa Rica,Apodidae
Chaetura andrei,Ashy-tailed Swift,,Apodidae,,,,
,,,,Chaetura andrei,Ashy-tailed Swift,Martinet d'André,Apodidae
,,,,Chaetura meridionalis,Sick's Swift,Martinet de Sick,Apodidae
Tachornis furcata,Pygmy Swift,,Apodidae,Tachornis furcata,Pygmy Palm Swift,Martinet pygmée,Apodidae
Panyptila sanctihieronymi,Greater Swallow-tailed Swift,,Apodidae,Panyptila sanctihieronymi,Great Swallow-tailed Swift,Martinet de San Geronimo,Apodidae
Cypsiurus parvus,African Palm Swift,,Apodidae,,,,
,,,,Cypsiurus parvus,African Palm Swift,Martinet des palmes,Apodidae
,,,,Cypsiurus gracilis,Malagasy Palm Swift,Martinet de Madagascar,Apodidae
Apus melba,Alpine Swift,,Apodidae,Tachymarptis melba,Alpine Swift,Martinet à ventre blanc,Apodidae
Apus aequatorialis,Mottled Swift,,Apodidae,Tachymarptis aequatorialis,Mottled Swift,Martinet marbré,Apodidae
,,,,Apus alexandri,Cape Verde Swift,Martinet du Cap-Vert,Apodidae
Apus apus,Common Swift,,Apodidae,,,,
,,,,Apus apus,Common Swift,Martinet noir,Apodidae
Apus unicolor,Plain-colored Swift,,Apodidae,Apus unicolor,Plain Swift,Martinet unicolore,Apodidae
,,,,Apus barbatus,African Swift,Martinet du Cap,Apodidae
Apus sladeniae,Fernando Po Swift,,Apodidae,,,,
,,,,Apus berliozi,Forbes-Watson's Swift,Martinet de Berlioz,Apodidae
,,,,Apus balstoni,Malagasy Swift,Martinet malgache,Apodidae
Apus pacificus,Fork-tailed Swift,,Apodidae,,,,
,,,,Apus pacificus,Pacific Swift,Martinet de Sibérie,Apodidae
,,,,Apus salimalii,Salim Ali's Swift,Martinet de Salim Ali,Apodidae
,,,,Apus leuconyx,Blyth's Swift,Martinet de Blyth,Apodidae
,,,,Apus cooki,Cook's Swift,Martinet de Cook,Apodidae
Apus acuticaudus,Dark-backed Swift,,Apodidae,Apus acuticauda,Dark-rumped Swift,Martinet d'Assam,Apodidae
Apus affinis,House Swift,,Apodidae,,,,
,,,,Apus affinis,Little Swift,Martinet des maisons,Apodidae
,,,,Apus nipalensis,House Swift,Martinet malais,Apodidae
,,,,Apus horus,Horus Swift,Martinet horus,Apodidae
Apus horus,Horus Swift,,Apodidae,,,,
Apus toulsoni,Loanda Swift,,Apodidae,,,,
Apus batesi,Bates' Swift,,Apodidae,Apus batesi,Bates's Swift,Martinet de Bates,Apodidae
Glaucis aenea,Bronzy Hermit,,Trochilidae,Glaucis aeneus,Bronzy Hermit,Ermite bronzé,Trochilidae
Glaucis hirsuta,Rufous-breasted Hermit,,Trochilidae,Glaucis hirsutus,Rufous-breasted Hermit,Ermite hirsute,Trochilidae
Phaethornis superciliosus,Long-tailed Hermit,,Trochilidae,,,,
,,,,Phaethornis superciliosus,Long-tailed Hermit,Ermite à brins blancs,Trochilidae
,,,,Phaethornis longirostris,Long-billed Hermit,Ermite à longue queue,Trochilidae
,,,,Phaethornis mexicanus,Mexican Hermit,Ermite de Hartert,Trochilidae
,,,,Phaethornis koepckeae,Koepcke's Hermit,Ermite de Koepcke,Trochilidae
Phaethornis squalidus,Dusky-throated Hermit,,Trochilidae,,,,
,,,,Phaethornis squalidus,Dusky-throated Hermit,Ermite terne,Trochilidae
,,,,Phaethornis rupurumii,Streak-throated Hermit,Ermite balafré,Trochilidae
Phaethornis gounellei,Broad-tipped Hermit,,Trochilidae,Anopetia gounellei,Broad-tipped Hermit,Ermite de Gounelle,Trochilidae
Phaethornis longuemareus,Little Hermit,,Trochilidae,,,,
,,,,Phaethornis atrimentalis,Black-throated Hermit,Ermite à gorge noire,Trochilidae
,,,,Phaethornis longuemareus,Little Hermit,Ermite nain,Trochilidae
,,,,Phaethornis striigularis,Stripe-throated Hermit,Ermite à gorge rayée,Trochilidae
,,,,Phaethornis aethopygus,Tapajos Hermit,Ermite du Tapajos,Trochilidae
Campylopterus curvipennis,Wedge-tailed Sabrewing,,Trochilidae,Pampa curvipennis,Wedge-tailed Sabrewing,Campyloptère pampa,Trochilidae
Campylopterus largipennis,Gray-breasted Sabrewing,,Trochilidae,,,,
,,,,Campylopterus largipennis,Gray-breasted Sabrewing,Campyloptère à ventre gris,Trochilidae
,,,,Campylopterus diamantinensis,Diamantina Sabrewing,Campyloptère de Diamantina,Trochilidae
,,,,Campylopterus calcirupicola,Outcrop Sabrewing,Campyloptère calcicole,Trochilidae
Campylopterus rufus,Rufous Sabrewing,,Trochilidae,Pampa rufa,Rufous Sabrewing,Campyloptère roux,Trochilidae
Melanotrochilus fuscus,Black Jacobin,,Trochilidae,Florisuga fusca,Black Jacobin,Colibri demi-deuil,Trochilidae
Colibri thalassinus,Green Violetear,,Trochilidae,,,,
,,,,Colibri thalassinus,Mexican Violetear,Colibri thalassin,Trochilidae
,,,,Colibri cyanotus,Lesser Violetear,Colibri cyanote,Trochilidae
Anthracothorax prevostii,Green-breasted Mango,,Trochilidae,,,,
,,,,Anthracothorax prevostii,Green-breasted Mango,Mango de Prévost,Trochilidae
,,,,Anthracothorax nigricollis,Black-throated Mango,Mango à cravate noire,Trochilidae
Anthracothorax nigricollis,Black-throated Mango,,Trochilidae,,,,
Anthracothorax dominicus,Antillean Mango,,Trochilidae,,,,
,,,,Anthracothorax dominicus,Hispaniolan Mango,Mango doré,Trochilidae
,,,,Anthracothorax aurulentus,Puerto Rican Mango,Mango de Porto Rico,Trochilidae
Sericotes holosericeus,Green-throated Carib,,Trochilidae,Eulampis holosericeus,Green-throated Carib,Colibri falle-vert,Trochilidae
Stephanoxis lalandi,Black-breasted Plovercrest,,Trochilidae,,,,
,,,,Stephanoxis lalandi,Green-crowned Plovercrest,Colibri de Delalande,Trochilidae
,,,,Stephanoxis loddigesii,Purple-crowned Plovercrest,Colibri à huppe bleue,Trochilidae
Lophornis ornata,Tufted Coquette,,Trochilidae,Lophornis ornatus,Tufted Coquette,Coquette huppe-col,Trochilidae
Lophornis magnifica,Frilled Coquette,,Trochilidae,Lophornis magnificus,Frilled Coquette,Coquette magnifique,Trochilidae
Lophornis delattrei,Rufous-crested Coquette,,Trochilidae,,,,
,,,,Lophornis delattrei,Rufous-crested Coquette,Coquette de Delattre,Trochilidae
,,,,Lophornis brachylophus,Short-crested Coquette,Coquette du Guerrero,Trochilidae
Lophornis stictolopha,Spangled Coquette,,Trochilidae,Lophornis stictolophus,Spangled Coquette,Coquette pailletée,Trochilidae
Lophornis melaniae,Dusky Coquette,,Trochilidae,,,,
Lophornis chalybea,Festive Coquette,,Trochilidae,,,,
,,,,Lophornis chalybeus,Festive Coquette,Coquette chalybée,Trochilidae
,,,,Lophornis verreauxii,Butterfly Coquette,Coquette de Verreaux,Trochilidae
Lophornis pavonina,Peacock Coquette,,Trochilidae,Lophornis pavoninus,Peacock Coquette,Coquette paon,Trochilidae
Lophornis insignibarbis,Bearded Coquette,,Trochilidae,,,,
Paphosia helenae,Black-crested Coquette,,Trochilidae,Lophornis helenae,Black-crested Coquette,Coquette d'Hélène,Trochilidae
Paphosia adorabilis,Adorable Coquette,,Trochilidae,Lophornis adorabilis,White-crested Coquette,Coquette adorable,Trochilidae
Popelairia popelairii,Wire-crested Thorntail,,Trochilidae,Discosura popelairii,Wire-crested Thorntail,Coquette de Popelaire,Trochilidae
Popelairia langsdorffi,Black-bellied Thorntail,,Trochilidae,Discosura langsdorffi,Black-bellied Thorntail,Coquette de Langsdorff,Trochilidae
Popelairia letitiae,Coppery Thorntail,,Trochilidae,Discosura letitiae,Coppery Thorntail,Coquette de Letizia,Trochilidae
Popelairia conversii,Green Thorntail,,Trochilidae,Discosura conversii,Green Thorntail,Coquette à queue fine,Trochilidae
Discosura longicauda,Racket-tailed Coquette,,Trochilidae,Discosura longicaudus,Racket-tipped Thorntail,Coquette à raquettes,Trochilidae
Chlorestes notatus,Blue-chinned Sapphire,,Trochilidae,Chlorestes notata,Blue-chinned Sapphire,Colibri à menton bleu,Trochilidae
Chlorostilbon canivetii,Fork-tailed Emerald,,Trochilidae,,,,
,,,,Cynanthus canivetii,Canivet's Emerald,Émeraude de Canivet,Trochilidae
,,,,Cynanthus auriceps,Golden-crowned Emerald,Émeraude couronnée,Trochilidae
,,,,Cynanthus forficatus,Cozumel Emerald,Émeraude de Cozumel,Trochilidae
,,,,Chlorostilbon assimilis,Garden Emerald,Émeraude du Panama,Trochilidae
Chlorostilbon aureoventris,Glittering-bellied Emerald,,Trochilidae,Chlorostilbon lucidus,Glittering-bellied Emerald,Émeraude splendide,Trochilidae
Chlorostilbon ricordii,Cuban Emerald,,Trochilidae,,,,
,,,,Riccordia ricordii,Cuban Emerald,Émeraude de Ricord,Trochilidae
,,,,Riccordia bracei,Brace's Emerald,Émeraude de New Providence,Trochilidae
Chlorostilbon swainsonii,Hispaniolian Emerald,,Trochilidae,Riccordia swainsonii,Hispaniolan Emerald,Émeraude d'Hispaniola,Trochilidae
Chlorostilbon maugaeus,Puerto Rican Emerald,,Trochilidae,Riccordia maugaeus,Puerto Rican Emerald,Émeraude de Porto Rico,Trochilidae
Chlorostilbon gibsoni,Red-billed Emerald,,Trochilidae,,,,
,,,,Chlorostilbon gibsoni,Red-billed Emerald,Émeraude de Gibson,Trochilidae
,,,,Chlorostilbon melanorhynchus,Western Emerald,Émeraude à bec noir,Trochilidae
Chlorostilbon stenura,Narrow-tailed Emerald,,Trochilidae,Chlorostilbon stenurus,Narrow-tailed Emerald,Émeraude à queue étroite,Trochilidae
,,,,Chlorostilbon olivaresi,Chiribiquete Emerald,Émeraude d'Olivares,Trochilidae
Chlorostilbon inexpectatus,Berlepsch's Emerald,,Trochilidae,,,,
Chlorostilbon auratus,Cabanis' Emerald,,Trochilidae,,,,
Cynanthus sordidus,Dusky Hummingbird,,Trochilidae,Phaeoptila sordida,Dusky Hummingbird,Colibri sombre,Trochilidae
Cynanthus latirostris,Broad-billed Hummingbird,,Trochilidae,,,,
,,,,Cynanthus latirostris,Broad-billed Hummingbird,Colibri circé,Trochilidae
,,,,Cynanthus lawrencei,Tres Marias Hummingbird,Colibri des Marias,Trochilidae
,,,,Cynanthus doubledayi,Turquoise-crowned Hummingbird,Colibri de Doubleday,Trochilidae
Ptochoptera iolaima,Natterer's Emerald,,Trochilidae,,,,
Cyanophaia bicolor,Blue-headed Hummingbird,,Trochilidae,Riccordia bicolor,Blue-headed Hummingbird,Colibri à tête bleue,Trochilidae
,,,,Eupherusa ridgwayi,Mexican Woodnymph,Dryade du Mexique,Trochilidae
,,,,Thalurania colombica,Crowned Woodnymph,Dryade couronnée,Trochilidae
Thalurania furcata,Common Woodnymph,,Trochilidae,,,,
,,,,Thalurania furcata,Fork-tailed Woodnymph,Dryade à queue fourchue,Trochilidae
Thalurania lerchi,Lerch's Woodnymph,,Trochilidae,,,,
Augasma cyaneoberyllina,Berlioz's Woodnymph,,Trochilidae,,,,
Augasma smaragdinea,Emerald Woodnymph,,Trochilidae,,,,
Damophila julie,Violet-bellied Hummingbird,,Trochilidae,Chlorestes julie,Violet-bellied Hummingbird,Colibri de Julie,Trochilidae
Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,,Trochilidae,Chrysuronia coeruleogularis,Sapphire-throated Hummingbird,Colibri faux-saphir,Trochilidae
Lepidopyga lilliae,Sapphire-bellied Hummingbird,,Trochilidae,Chrysuronia lilliae,Sapphire-bellied Hummingbird,Colibri de Lillie,Trochilidae
Lepidopyga goudoti,Shining-green Hummingbird,,Trochilidae,Chrysuronia goudoti,Shining-green Hummingbird,Colibri de Goudot,Trochilidae
Hylocharis xantusii,Xantus' Hummingbird,,Trochilidae,Basilinna xantusii,Xantus's Hummingbird,Colibri de Xantus,Trochilidae
Hylocharis leucotis,White-eared Hummingbird,,Trochilidae,Basilinna leucotis,White-eared Hummingbird,Colibri à oreilles blanches,Trochilidae
Hylocharis eliciae,Blue-throated Goldentail,,Trochilidae,Chlorestes eliciae,Blue-throated Goldentail,Colibri d'Élicia,Trochilidae
Hylocharis cyanus,White-chinned Sapphire,,Trochilidae,Chlorestes cyanus,White-chinned Sapphire,Colibri azuré,Trochilidae
Hylocharis pyropygia,Flame-rumped Sapphire,,Trochilidae,,,,
Hylocharis chrysura,Gilded Sapphire,,Trochilidae,Hylocharis chrysura,Gilded Hummingbird,Saphir à queue d'or,Trochilidae
Hylocharis grayi,Blue-headed Sapphire,,Trochilidae,,,,
,,,,Chrysuronia grayi,Blue-headed Sapphire,Ariane ulysse,Trochilidae
,,,,Chrysuronia humboldtii,Humboldt's Sapphire,Ariane de Humboldt,Trochilidae
Goethalsia bella,Rufous-cheeked Hummingbird,,Trochilidae,Goldmania bella,Pirre Hummingbird,Colibri du Pirré,Trochilidae
Trochilus polytmus,Streamertail,,Trochilidae,,,,
,,,,Trochilus polytmus,Red-billed Streamertail,Colibri à tête noire,Trochilidae
,,,,Trochilus scitulus,Black-billed Streamertail,Colibri à bec noir,Trochilidae
Leucippus baeri,Tumbes Hummingbird,,Trochilidae,Thaumasius baeri,Tumbes Hummingbird,Colibri de Tumbes,Trochilidae
Leucippus taczanowskii,Spot-throated Hummingbird,,Trochilidae,Thaumasius taczanowskii,Spot-throated Hummingbird,Colibri de Taczanowski,Trochilidae
Leucippus chlorocercus,Olive-spotted Hummingbird,,Trochilidae,Talaphorus chlorocercus,Olive-spotted Hummingbird,Colibri à queue verte,Trochilidae
Amazilia viridicauda,Green-and-white Hummingbird,,Trochilidae,Elliotomyia viridicauda,Green-and-white Hummingbird,Ariane du Pérou,Trochilidae
Amazilia chionogaster,White-bellied Hummingbird,,Trochilidae,Elliotomyia chionogaster,White-bellied Hummingbird,Ariane à ventre blanc,Trochilidae
Amazilia candida,White-bellied Emerald,,Trochilidae,Chlorestes candida,White-bellied Emerald,Ariane candide,Trochilidae
Amazilia chionopectus,White-chested Emerald,,Trochilidae,Chrysuronia brevirostris,White-chested Emerald,Ariane à poitrine blanche,Trochilidae
Amazilia versicolor,Versicolored Emerald,,Trochilidae,Chrysuronia versicolor,Versicolored Emerald,Ariane versicolore,Trochilidae
Amazilia luciae,Honduras Emerald,,Trochilidae,Amazilia luciae,Honduran Emerald,Ariane de Lucy,Trochilidae
Amazilia fimbriata,Glittering-throated Emerald,,Trochilidae,Chionomesa fimbriata,Glittering-throated Emerald,Ariane de Linné,Trochilidae
Amazilia cyaneotincta,Blue-spotted Hummingbird,,Trochilidae,,,,
Amazilia distans,Tachira Emerald,,Trochilidae,,,,
Amazilia lactea,Sapphire-spangled Emerald,,Trochilidae,Chionomesa lactea,Sapphire-spangled Emerald,Ariane saphirine,Trochilidae
Amazilia amabilis,Blue-chested Hummingbird,,Trochilidae,,,,
,,,,Polyerata amabilis,Blue-chested Hummingbird,Ariane aimable,Trochilidae
,,,,Polyerata decora,Charming Hummingbird,Ariane charmante,Trochilidae
Amazilia rosenbergi,Purple-chested Hummingbird,,Trochilidae,Polyerata rosenbergi,Purple-chested Hummingbird,Ariane de Rosenberg,Trochilidae
Amazilia franciae,Andean Emerald,,Trochilidae,Uranomitra franciae,Andean Emerald,Ariane de Francia,Trochilidae
Amazilia leucogaster,Plain-bellied Emerald,,Trochilidae,Chrysuronia leucogaster,Plain-bellied Emerald,Ariane vert-doré,Trochilidae
Amazilia cyanocephala,Red-billed Azurecrown,,Trochilidae,Saucerottia cyanocephala,Azure-crowned Hummingbird,Ariane à couronne azur,Trochilidae
Amazilia microrhyncha,Small-billed Azurecrown,,Trochilidae,,,,
Amazilia cyanifrons,Indigo-capped Hummingbird,,Trochilidae,,,,
,,,,Saucerottia cyanifrons,Indigo-capped Hummingbird,Ariane à front bleu,Trochilidae
Amazilia beryllina,Berylline Hummingbird,,Trochilidae,Saucerottia beryllina,Berylline Hummingbird,Ariane béryl,Trochilidae
Amazilia cyanura,Blue-tailed Hummingbird,,Trochilidae,Saucerottia cyanura,Blue-tailed Hummingbird,Ariane à queue bleue,Trochilidae
Amazilia saucerrottei,Blue-vented Hummingbird,,Trochilidae,,,,
,,,,Saucerottia saucerottei,Steely-vented Hummingbird,Ariane de Sophie,Trochilidae
,,,,Saucerottia hoffmanni,Blue-vented Hummingbird,Ariane de Hoffmann,Trochilidae
Amazilia tobaci,Copper-rumped Hummingbird,,Trochilidae,Saucerottia tobaci,Copper-rumped Hummingbird,Ariane de Félicie,Trochilidae
Amazilia viridigaster,Green-bellied Hummingbird,,Trochilidae,,,,
,,,,Saucerottia viridigaster,Green-bellied Hummingbird,Ariane à ventre vert,Trochilidae
,,,,Saucerottia cupreicauda,Copper-tailed Hummingbird,Ariane à queue cuivrée,Trochilidae
Amazilia edward,Snowy-bellied Hummingbird,,Trochilidae,Saucerottia edward,Snowy-bellied Hummingbird,Ariane d'Edward,Trochilidae
Amazilia castaneiventris,Chestnut-bellied Hummingbird,,Trochilidae,Saucerottia castaneiventris,Chestnut-bellied Hummingbird,Ariane à ventre roux,Trochilidae
Amazilia amazilia,Amazilia Hummingbird,,Trochilidae,Amazilis amazilia,Amazilia Hummingbird,Ariane de Lesson,Trochilidae
Amazilia viridifrons,Green-fronted Hummingbird,,Trochilidae,Ramosomyia viridifrons,Green-fronted Hummingbird,Ariane à front vert,Trochilidae
Amazilia violiceps,Violet-crowned Hummingbird,,Trochilidae,Ramosomyia violiceps,Violet-crowned Hummingbird,Ariane à couronne violette,Trochilidae
,,,,Eupherusa poliocerca,White-tailed Hummingbird,Colibri du Guerrero,Trochilidae
,,,,Eupherusa cyanophrys,Blue-capped Hummingbird,Colibri d'Oaxaca,Trochilidae
Elvira chionura,White-tailed Emerald,,Trochilidae,Microchera chionura,White-tailed Emerald,Colibri elvire,Trochilidae
Elvira cupreiceps,Coppery-headed Emerald,,Trochilidae,Microchera cupreiceps,Coppery-headed Emerald,Colibri à tête cuivrée,Trochilidae
,,,,Chalybura buffonii,White-vented Plumeleteer,Colibri de Buffon,Trochilidae
Chalybura buffonii,White-vented Plumeleteer,,Trochilidae,,,,
Chalybura urochrysia,Bronze-tailed Plumeleteer,,Trochilidae,,,,
,,,,Chalybura urochrysia,Bronze-tailed Plumeleteer,Colibri à queue bronzée,Trochilidae
Aphantochroa cirrochloris,Sombre Hummingbird,,Trochilidae,Eupetomena cirrochloris,Sombre Hummingbird,Colibri vert et gris,Trochilidae
Lampornis clemenciae,Blue-throated Hummingbird,,Trochilidae,Lampornis clemenciae,Blue-throated Mountain-gem,Colibri à gorge bleue,Trochilidae
Lampornis amethystinus,Amethyst-throated Hummingbird,,Trochilidae,Lampornis amethystinus,Amethyst-throated Mountain-gem,Colibri à gorge améthyste,Trochilidae
Lampornis viridipallens,Green-throated Mountain Gem,,Trochilidae,,,,
,,,,Lampornis viridipallens,Green-throated Mountain-gem,Colibri vert-d'eau,Trochilidae
,,,,Lampornis sybillae,Green-breasted Mountain-gem,Colibri de Sybil,Trochilidae
Lampornis hemileucus,White-bellied Mountain Gem,,Trochilidae,Lampornis hemileucus,White-bellied Mountain-gem,Colibri à gorge lilas,Trochilidae
,,,,Lampornis castaneoventris,White-throated Mountain-gem,Colibri à ventre châtain,Trochilidae
Lampornis castaneoventris,White-throated Mountain Gem,,Trochilidae,,,,
,,,,Lampornis calolaemus,Purple-throated Mountain-gem,Colibri à gorge pourprée,Trochilidae
Lampornis cinereicauda,Gray-tailed Mountain Gem,,Trochilidae,,,,
Anthocephala floriceps,Blossomcrown,,Trochilidae,,,,
,,,,Anthocephala floriceps,Santa Marta Blossomcrown,Colibri à tête rose,Trochilidae
,,,,Anthocephala berlepschi,Tolima Blossomcrown,Colibri du Tolima,Trochilidae
Clytolaema rubricauda,Brazilian Ruby,,Trochilidae,Heliodoxa rubricauda,Brazilian Ruby,Colibri rubis-émeraude,Trochilidae
Ployplancta aurescens,Gould's Jewelfront,,Trochilidae,Heliodoxa aurescens,Gould's Jewelfront,Brillant à bandeau bleu,Trochilidae
Eugenes fulgens,Rivoli's Hummingbird,,Trochilidae,,,,
,,,,Eugenes fulgens,Rivoli's Hummingbird,Colibri de Rivoli,Trochilidae
,,,,Eugenes spectabilis,Talamanca Hummingbird,Colibri de la Talamanca,Trochilidae
,,,,Oreotrochilus chimborazo,Ecuadorian Hillstar,Colibri du Chimborazo,Trochilidae
Oreotrochilus estella,Andean Hillstar,,Trochilidae,,,,
,,,,Oreotrochilus estella,Andean Hillstar,Colibri d'Estelle,Trochilidae
,,,,Oreotrochilus stolzmanni,Green-headed Hillstar,Colibri de Stolzmann,Trochilidae
,,,,Oreotrochilus cyanolaemus,Blue-throated Hillstar,Colibri d'El Oro,Trochilidae
Urochroa bougueri,White-tailed Hillstar,,Trochilidae,,,,
,,,,Urochroa bougueri,Rufous-gaped Hillstar,Colibri de Bouguer,Trochilidae
,,,,Urochroa leucura,Green-backed Hillstar,Colibri à queue blanche,Trochilidae
Coeligena iris,Rainbow Star-frontlet,,Trochilidae,Coeligena iris,Rainbow Starfrontlet,Inca iris,Trochilidae
Coeligena torquata,Collared Inca,,Trochilidae,,,,
,,,,Coeligena torquata,Collared Inca,Inca à collier,Trochilidae
,,,,Coeligena conradii,Green Inca,Inca de Conrad,Trochilidae
,,,,Coeligena inca,Gould's Inca,Inca de Gould,Trochilidae
Coeligena traviesi,Lilac-spotted Star-frontlet,,Trochilidae,,,,
Coeligena phalerata,White-tailed Star-frontlet,,Trochilidae,Coeligena phalerata,White-tailed Starfrontlet,Inca à queue blanche,Trochilidae
Coeligena orina,Dusky Star-frontlet,,Trochilidae,Coeligena orina,Dusky Starfrontlet,Inca de Wetmore,Trochilidae
Coeligena bonapartei,Golden-bellied Star-frontlet,,Trochilidae,,,,
,,,,Coeligena bonapartei,Golden-bellied Starfrontlet,Inca de Bonaparte,Trochilidae
,,,,Coeligena consita,Perija Starfrontlet,Inca de la Perija,Trochilidae
,,,,Coeligena eos,Merida Starfrontlet,Inca doré,Trochilidae
Coeligena helianthea,Blue-throated Star-frontlet,,Trochilidae,Coeligena helianthea,Blue-throated Starfrontlet,Inca porphyre,Trochilidae
Coeligena lutetiae,Buff-winged Star-frontlet,,Trochilidae,Coeligena lutetiae,Buff-winged Starfrontlet,Inca à gemme bleue,Trochilidae
Coeligena violifer,Violet-throated Star-frontlet,,Trochilidae,Coeligena violifer,Violet-throated Starfrontlet,Inca violifère,Trochilidae
Heliangelus amethysticollis,Amethyst-throated Sunangel,,Trochilidae,,,,
,,,,Heliangelus amethysticollis,Amethyst-throated Sunangel,Héliange à gorge améthyste,Trochilidae
,,,,Heliangelus clarisse,Longuemare's Sunangel,Héliange de Clarisse,Trochilidae
Heliangelus exortis,Tourmaline Sunangel,,Trochilidae,,,,
