CommonName,ScientificName2023,Notes
Madagascar Cuckoo,Cuculus rochii,
Common Cuckoo,Cuculus canorus,
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Pennant-winged Nightjar,Caprimulgus vexillarius,
Eurasian Nightjar,Caprimulgus europaeus,
Sombre Nightjar,Caprimulgus fraenatus,
Donaldson Smith's Nightjar,Caprimulgus donaldsoni,
Fiery-necked Nightjar,Caprimulgus pectoralis,
Montane Nightjar,Caprimulgus poliocephalus,
Swamp Nightjar,Caprimulgus natalensis,
Plain Nightjar,Caprimulgus inornatus,
Freckled Nightjar,Caprimulgus tristigma,
Slender-tailed Nightjar,Caprimulgus clarus,Introduced species
Square-tailed Nightjar,Caprimulgus fossii,
,,
CAPRIMULGIFORMES: Apodidae,,
Mottled Spinetail,Telacanthura ussheri,
Bat-like Spinetail,Neafrapus boehmi,
Alpine Swift,Tachymarptis melba,
Mottled Swift,Tachymarptis aequatorialis,
Common Swift,Apus apus,
Little Swift,Apus affinis,
White-rumped Swift,Apus caffer,
African Palm Swift,Cypsiurus parvus,
,,
GRUIFORMES: Sarothruridae,,
Buff-spotted Flufftail,Sarothrura elegans,
,,
GRUIFORMES: Rallidae,,
African Rail,Rallus caerulescens,
Corn Crake,Crex crex,
African Crake,Crex egregia,
Spotted Crake,Porzana porzana,
Lesser Moorhen,Paragallinula angulata,
Eurasian Moorhen,Gallinula chloropus,
Red-knobbed Coot,Fulica cristata,
Allen's Gallinule,Porphyrio alleni,
African Swamphen,Porphyrio madagascariensis,
Striped Crake,Amaurornis marginalis,
Black Crake,Zapornia flavirostra,
Baillon's Crake,Zapornia pusilla,
,,
GRUIFORMES: Heliornithidae,,
African Finfoot,Podica senegalensis,
,,
GRUIFORMES: Gruidae,,
Gray Crowned-Crane,Balearica regulorum,
,,
CHARADRIIFORMES: Burhinidae,,
Spotted Thick-knee,Burhinus capensis,
Water Thick-knee,Burhinus vermiculatus,
,,
CHARADRIIFORMES: Recurvirostridae,,
Black-winged Stilt,Himantopus himantopus,
Pied Avocet,Recurvirostra avosetta,
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
Common Ringed Plover,Charadrius hiaticula,
Three-banded Plover,Charadrius tricollaris,
Little Ringed Plover,Charadrius dubius,
Long-toed Lapwing,Vanellus crassirostris,
Blacksmith Lapwing,Vanellus armatus,
Spur-winged Lapwing,Vanellus spinosus,
White-crowned Lapwing,Vanellus albiceps,
Senegal Lapwing,Vanellus lugubris,
Black-winged Lapwing,Vanellus melanopterus,
Crowned Lapwing,Vanellus coronatus,
Wattled Lapwing,Vanellus senegallus,
Caspian Plover,Anarhynchus asiaticus,
Kittlitz's Plover,Anarhynchus pecuarius,
Chestnut-banded Plover,Anarhynchus pallidus,
,,
CHARADRIIFORMES: Rostratulidae,,
Greater Painted-Snipe,Rostratula benghalensis,
,,
CHARADRIIFORMES: Jacanidae,,
Lesser Jacana,Microparra capensis,
African Jacana,Actophilornis africanus,
,,
CHARADRIIFORMES: Scolopacidae,,
Eurasian Curlew,Numenius arquata,
Black-tailed Godwit,Limosa limosa,
Great Snipe,Gallinago media,
African Snipe,Gallinago nigripennis,
Common Snipe,Gallinago gallinago,
Common Sandpiper,Actitis hypoleucos,
Green Sandpiper,Tringa ochropus,
Marsh Sandpiper,Tringa stagnatilis,
Wood Sandpiper,Tringa glareola,
Spotted Redshank,Tringa erythropus,
Common Greenshank,Tringa nebularia,
Ruff,Calidris pugnax,
Curlew Sandpiper,Calidris ferruginea,
Little Stint,Calidris minuta,
,,
CHARADRIIFORMES: Turnicidae,,
Small Buttonquail,Turnix sylvaticus,
Black-rumped Buttonquail,Turnix nanus,
,,
CHARADRIIFORMES: Glareolidae,,
Bronze-winged Courser,Rhinoptilus chalcopterus,
Three-banded Courser,Rhinoptilus cinctus,
Double-banded Courser,Smutsornis africanus,
Temminck's Courser,Cursorius temminckii,
Rock Pratincole,Glareola nuchalis,
Collared Pratincole,Glareola pratincola,
Madagascar Pratincole,Glareola ocularis,
,,
CHARADRIIFORMES: Laridae,,
Gray-hooded Gull,Chroicocephalus cirrocephalus,
African Skimmer,Rynchops flavirostris,
Gull-billed Tern,Gelochelidon nilotica,
Caspian Tern,Hydroprogne caspia,
Whiskered Tern,Chlidonias hybrida,
White-winged Tern,Chlidonias leucopterus,
Common Tern,Sterna hirundo,
,,
CICONIIFORMES: Ciconiidae,,
African Openbill,Anastomus lamelligerus,
Black Stork,Ciconia nigra,
Abdim's Stork,Ciconia abdimii,
African Woolly-necked Stork,Ciconia microscelis,
White Stork,Ciconia ciconia,
Saddle-billed Stork,Ephippiorhynchus senegalensis,
Marabou Stork,Leptoptilos crumenifer,
Yellow-billed Stork,Mycteria ibis,
,,
SULIFORMES: Anhingidae,,
African Darter,Anhinga rufa,
,,
SULIFORMES: Phalacrocoracidae,,
Long-tailed Cormorant,Microcarbo africanus,
Great Cormorant,Phalacrocorax carbo,
,,
PELECANIFORMES: Pelecanidae,,
Great White Pelican,Pelecanus onocrotalus,
Pink-backed Pelican,Pelecanus rufescens,
,,
PELECANIFORMES: Scopidae,,
Hamerkop,Scopus umbretta,
,,
PELECANIFORMES: Ardeidae,,
Dwarf Bittern,Ixobrychus sturmii,
Little Bittern,Ixobrychus minutus,
Black-crowned Night Heron,Nycticorax nycticorax,
Black Heron,Egretta ardesiaca,
Little Egret,Egretta garzetta,
White-backed Night Heron,Calherodius leuconotus,
Striated Heron,Butorides striata,
Rufous-bellied Heron,Ardeola rufiventris,
Squacco Heron,Ardeola ralloides,
Malagasy Pond-Heron,Ardeola idae,
Western Cattle Egret,Bubulcus ibis,
Great Egret,Ardea alba,
Yellow-billed Egret,Ardea brachyrhyncha,
Gray Heron,Ardea cinerea,
Purple Heron,Ardea purpurea,
Black-headed Heron,Ardea melanocephala,
Goliath Heron,Ardea goliath,
,,
PELECANIFORMES: Threskiornithidae,,
Glossy Ibis,Plegadis falcinellus,
African Sacred Ibis,Threskiornis aethiopicus,
Hadada Ibis,Bostrychia hagedash,
African Spoonbill,Platalea alba,
,,
ACCIPITRIFORMES: Sagittariidae,,
Secretarybird,Sagittarius serpentarius,
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Black-winged Kite,Elanus caeruleus,
African Harrier-Hawk,Polyboroides typus,
Palm-nut Vulture,Gypohierax angolensis,
Bearded Vulture,Gypaetus barbatus,
Egyptian Vulture,Neophron percnopterus,
European Honey-buzzard,Pernis apivorus,
African Cuckoo-Hawk,Aviceda cuculoides,
White-headed Vulture,Trigonoceps occipitalis,
Lappet-faced Vulture,Torgos tracheliotos,
Hooded Vulture,Necrosyrtes monachus,
White-backed Vulture,Gyps africanus,
Rüppell's Griffon,Gyps rueppelli,
Bateleur,Terathopius ecaudatus,
Black-chested Snake-Eagle,Circaetus pectoralis,
Brown Snake-Eagle,Circaetus cinereus,
Banded Snake-Eagle,Circaetus cinerascens,
Bat Hawk,Macheiramphus alcinus,
Crowned Eagle,Stephanoaetus coronatus,
Martial Eagle,Polemaetus bellicosus,
Long-crested Eagle,Lophaetus occipitalis,
Lesser Spotted Eagle,Clanga pomarina,
Wahlberg's Eagle,Hieraaetus wahlbergi,
Booted Eagle,Hieraaetus pennatus,
Ayres's Hawk-Eagle,Hieraaetus ayresii,
Tawny Eagle,Aquila rapax,
Steppe Eagle,Aquila nipalensis,
Verreaux's Eagle,Aquila verreauxii,
African Hawk-Eagle,Aquila spilogaster,
Lizard Buzzard,Kaupifalco monogrammicus,
Dark Chanting-Goshawk,Melierax metabates,
Eastern Chanting-Goshawk,Melierax poliopterus,
Gabar Goshawk,Micronisus gabar,
Grasshopper Buzzard,Butastur rufipennis,
Western Marsh Harrier,Circus aeruginosus,
African Marsh Harrier,Circus ranivorus,
Pallid Harrier,Circus macrourus,
Montagu's Harrier,Circus pygargus,
African Goshawk,Accipiter tachiro,
Shikra,Accipiter badius,
Little Sparrowhawk,Accipiter minullus,
Ovambo Sparrowhawk,Accipiter ovampensis,
Eurasian Sparrowhawk,Accipiter nisus,Rare/Accidental
Rufous-breasted Sparrowhawk,Accipiter rufiventris,
Black Goshawk,Accipiter melanoleucus,
Black Kite,Milvus migrans,
African Fish-Eagle,Icthyophaga vocifer,
Common Buzzard,Buteo buteo,
Mountain Buzzard,Buteo oreophilus,
Augur Buzzard,Buteo augur,
,,
STRIGIFORMES: Tytonidae,,
Barn Owl,Tyto alba,
,,
STRIGIFORMES: Strigidae,,
African Scops-Owl,Otus senegalensis,
Southern White-faced Owl,Ptilopsis granti,
Spotted Eagle-Owl,Bubo africanus,
Cape Eagle-Owl,Bubo capensis,
Verreaux's Eagle-Owl,Ketupa lactea,
Pearl-spotted Owlet,Glaucidium perlatum,
African Barred Owlet,Glaucidium capense,
African Wood-Owl,Strix woodfordii,
Marsh Owl,Asio capensis,
,,
COLIIFORMES: Coliidae,,
Speckled Mousebird,Colius striatus,
Blue-naped Mousebird,Urocolius macrourus,
,,
TROGONIFORMES: Trogonidae,,
Narina Trogon,Apaloderma narina,
Bar-tailed Trogon,Apaloderma vittatum,
,,
BUCEROTIFORMES: Upupidae,,
Eurasian Hoopoe,Upupa epops,
,,
BUCEROTIFORMES: Phoeniculidae,,
Green Woodhoopoe,Phoeniculus purpureus,
Common Scimitarbill,Rhinopomastus cyanomelas,
Abyssinian Scimitarbill,Rhinopomastus minor,
,,
BUCEROTIFORMES: Bucorvidae,,
Southern Ground-Hornbill,Bucorvus leadbeateri,
,,
BUCEROTIFORMES: Bucerotidae,,
Crowned Hornbill,Lophoceros alboterminatus,
African Gray Hornbill,Lophoceros nasutus,
Pale-billed Hornbill,Lophoceros pallidirostris,
Eastern Yellow-billed Hornbill,Tockus flavirostris,
Von der Decken's Hornbill,Tockus deckeni,
Tanzanian Red-billed Hornbill,Tockus ruahae,Endemic (country/region)
Northern Red-billed Hornbill,Tockus erythrorhynchus,
Silvery-cheeked Hornbill,Bycanistes brevis,
Trumpeter Hornbill,Bycanistes bucinator,
,,
CORACIIFORMES: Alcedinidae,,
Half-collared Kingfisher,Alcedo semitorquata,
Malachite Kingfisher,Corythornis cristatus,
African Pygmy Kingfisher,Ispidina picta,
Gray-headed Kingfisher,Halcyon leucocephala,
Woodland Kingfisher,Halcyon senegalensis,
Brown-hooded Kingfisher,Halcyon albiventris,
Striped Kingfisher,Halcyon chelicuti,
Giant Kingfisher,Megaceryle maxima,
Pied Kingfisher,Ceryle rudis,
,,
CORACIIFORMES: Meropidae,,
Little Bee-eater,Merops pusillus,
Cinnamon-chested Bee-eater,Merops oreobates,
Swallow-tailed Bee-eater,Merops hirundineus,
Böhm's Bee-eater,Merops boehmi,
Blue-cheeked Bee-eater,Merops persicus,
Madagascar Bee-eater,Merops superciliosus,
European Bee-eater,Merops apiaster,
Northern Carmine Bee-eater,Merops nubicus,
,,
CORACIIFORMES: Coraciidae,,
European Roller,Coracias garrulus,
Lilac-breasted Roller,Coracias caudatus,
Racket-tailed Roller,Coracias spatulatus,
Rufous-crowned Roller,Coracias naevius,
Broad-billed Roller,Eurystomus glaucurus,
,,
PICIFORMES: Lybiidae,,
Crested Barbet,Trachyphonus vaillantii,
Red-and-yellow Barbet,Trachyphonus erythrocephalus,
D'Arnaud's Barbet,Trachyphonus darnaudii,
Green Barbet,Cryptolybia olivacea,
White-eared Barbet,Stactolaema leucotis,
Green Tinkerbird,Pogoniulus simplex,
Moustached Tinkerbird,Pogoniulus leucomystax,
Yellow-rumped Tinkerbird,Pogoniulus bilineatus,
Red-fronted Tinkerbird,Pogoniulus pusillus,
Red-fronted Barbet,Tricholaema diademata,
Spot-flanked Barbet,Tricholaema lacrymosa,
Black-throated Barbet,Tricholaema melanocephala,
White-headed Barbet,Lybius leucocephalus,
Black-collared Barbet,Lybius torquatus,
Brown-breasted Barbet,Pogonornis melanopterus,
,,
PICIFORMES: Indicatoridae,,
Green-backed Honeyguide,Prodotiscus zambesiae,
Wahlberg's Honeyguide,Prodotiscus regulus,
Pallid Honeyguide,Indicator meliphilus,
Lesser Honeyguide,Indicator minor,
Scaly-throated Honeyguide,Indicator variegatus,
Greater Honeyguide,Indicator indicator,
,,
PICIFORMES: Picidae,,
Bearded Woodpecker,Chloropicus namaquus,
Cardinal Woodpecker,Dendropicos fuscescens,
Stierling's Woodpecker,Dendropicos stierlingi,Introduced species
Brown-backed Woodpecker,Dendropicos obsoletus,
African Gray Woodpecker,Dendropicos goertae,
Mountain Gray Woodpecker,Dendropicos spodocephalus,
Olive Woodpecker,Dendropicos griseocephalus,
Green-backed Woodpecker,Campethera maculosa,
Nubian Woodpecker,Campethera nubica,
Reichenow's Woodpecker,Campethera scriptoricauda,
Golden-tailed Woodpecker,Campethera abingoni,
,,
FALCONIFORMES: Falconidae,,
Pygmy Falcon,Polihierax semitorquatus,
Lesser Kestrel,Falco naumanni,
Eurasian Kestrel,Falco tinnunculus,
Rock Kestrel,Falco rupicolus,
Greater Kestrel,Falco rupicoloides,
Gray Kestrel,Falco ardosiaceus,
Dickinson's Kestrel,Falco dickinsoni,
Red-necked Falcon,Falco chicquera,
Red-footed Falcon,Falco vespertinus,
Amur Falcon,Falco amurensis,
Eleonora's Falcon,Falco eleonorae,
Eurasian Hobby,Falco subbuteo,
African Hobby,Falco cuvierii,
Lanner Falcon,Falco biarmicus,
Peregrine Falcon,Falco peregrinus,
Taita Falcon,Falco fasciinucha,Introduced species
,,
PSITTACIFORMES: Psittaculidae,,
Fischer's Lovebird,Agapornis fischeri,
Yellow-collared Lovebird,Agapornis personatus,Endemic (country/region)
,,
PSITTACIFORMES: Psittacidae,,
Brown-necked Parrot,Poicephalus fuscicollis,
Red-fronted Parrot,Poicephalus gulielmi,
Meyer's Parrot,Poicephalus meyeri,
Brown-headed Parrot,Poicephalus cryptoxanthus,
Red-bellied Parrot,Poicephalus rufiventris,
,,
PASSERIFORMES: Calyptomenidae,,
African Broadbill,Smithornis capensis,
,,
PASSERIFORMES: Pittidae,,
African Pitta,Pitta angolensis,
,,
PASSERIFORMES: Campephagidae,,
Black Cuckooshrike,Campephaga flava,
Purple-throated Cuckooshrike,Campephaga quiscalina,
,,
PASSERIFORMES: Oriolidae,,
Eurasian Golden Oriole,Oriolus oriolus,
African Golden Oriole,Oriolus auratus,
African Black-headed Oriole,Oriolus larvatus,
,,
PASSERIFORMES: Platysteiridae,,
Black-throated Wattle-eye,Platysteira peltata,
Short-tailed Batis,Batis mixta,
Dark Batis,Batis crypta,Endemic (country/region)
Chinspot Batis,Batis molitor,
Eastern Black-headed Batis,Batis minor,
,,
PASSERIFORMES: Vangidae,,
White Helmetshrike,Prionops plumatus,
Retz's Helmetshrike,Prionops retzii,
Chestnut-fronted Helmetshrike,Prionops scopifrons,
Black-and-white Shrike-flycatcher,Bias musicus,
,,
PASSERIFORMES: Malaconotidae,,
Brubru,Nilaus afer,
Pringle's Puffback,Dryoscopus pringlii,
Black-backed Puffback,Dryoscopus cubla,
Marsh Tchagra,Bocagia minuta,
Black-crowned Tchagra,Tchagra senegalus,
Brown-crowned Tchagra,Tchagra australis,
Tropical Boubou,Laniarius major,
Black-headed Gonolek,Laniarius erythrogaster,
Slate-colored Boubou,Laniarius funebris,
Fülleborn's Boubou,Laniarius fuelleborni,
Rosy-patched Bushshrike,Rhodophoneus cruentus,
Sulphur-breasted Bushshrike,Telophorus sulfureopectus,
Black-fronted Bushshrike,Telophorus nigrifrons,
Gray-headed Bushshrike,Malaconotus blanchoti,
,,
PASSERIFORMES: Dicruridae,,
Square-tailed Drongo,Dicrurus ludwigii,
Fork-tailed Drongo,Dicrurus adsimilis,
,,
PASSERIFORMES: Monarchidae,,
African Paradise-Flycatcher,Terpsiphone viridis,
,,
PASSERIFORMES: Laniidae,,
Red-backed Shrike,Lanius collurio,
Red-tailed Shrike,Lanius phoenicuroides,
Isabelline Shrike,Lanius isabellinus,
Lesser Gray Shrike,Lanius minor,
Gray-backed Fiscal,Lanius excubitoroides,
Long-tailed Fiscal,Lanius cabanisi,
Magpie Shrike,Lanius melanoleucus,
Taita Fiscal,Lanius dorsalis,
Northern Fiscal,Lanius humeralis,
Southern Fiscal,Lanius collaris,
White-rumped Shrike,Eurocephalus ruppelli,
,,
PASSERIFORMES: Corvidae,,
House Crow,Corvus splendens,Introduced species
Cape Crow,Corvus capensis,
Pied Crow,Corvus albus,
White-necked Raven,Corvus albicollis,
,,
PASSERIFORMES: Hyliotidae,,
Yellow-bellied Hyliota,Hyliota flavigaster,
,,
PASSERIFORMES: Stenostiridae,,
White-tailed Crested Flycatcher,Elminia albonotata,
,,
PASSERIFORMES: Paridae,,
Rufous-bellied Tit,Melaniparus rufiventris,
White-bellied Tit,Melaniparus albiventris,
Somali Tit,Melaniparus thruppi,
Red-throated Tit,Melaniparus fringillinus,
,,
PASSERIFORMES: Remizidae,,
African Penduline-Tit,Anthoscopus caroli,
,,
PASSERIFORMES: Alaudidae,,
Chestnut-backed Sparrow-Lark,Eremopterix leucotis,
Fischer's Sparrow-Lark,Eremopterix leucopareia,
Fawn-colored Lark,Calendulauda africanoides,
Rufous-naped Lark,Mirafra africana,
Flappet Lark,Mirafra rufocinnamomea,
White-tailed Lark,Mirafra albicauda,
,,
PASSERIFORMES: Nicatoridae,,
Western Nicator,Nicator chloris,
Eastern Nicator,Nicator gularis,
,,
PASSERIFORMES: Macrosphenidae,,
Red-faced Crombec,Sylvietta whytii,
Cape Crombec,Sylvietta rufescens,
Moustached Grass-Warbler,Melocichla mentalis,
,,
PASSERIFORMES: Cisticolidae,,
Yellow-bellied Eremomela,Eremomela icteropygialis,
Greencap Eremomela,Eremomela scotops,
African Tailorbird,Artisornis metopias,
Miombo Wren-Warbler,Calamonastes undosus,
Gray Wren-Warbler,Calamonastes simplex,
Green-backed Camaroptera,Camaroptera brachyura,
Buff-bellied Warbler,Phyllolais pulchella,
Bar-throated Apalis,Apalis thoracica,
Yellow-breasted Apalis,Apalis flavida,
Chestnut-throated Apalis,Apalis porphyrolaema,
Chapin's Apalis,Apalis chapini,
Brown-headed Apalis,Apalis alticola,
Tawny-flanked Prinia,Prinia subflava,
Red-winged Prinia,Prinia erythroptera,
Mrs. Moreau's Warbler,Scepomycter winifredae,
Gray-capped Warbler,Eminia lepida,
Red-faced Cisticola,Cisticola erythrops,
Singing Cisticola,Cisticola cantans,
Trilling Cisticola,Cisticola woosnami,
Hunter's Cisticola,Cisticola hunteri,Introduced species
Black-lored Cisticola,Cisticola nigriloris,
Rock-loving Cisticola,Cisticola aberrans,
Rattling Cisticola,Cisticola chiniana,
Churring Cisticola,Cisticola njombe,
Winding Cisticola,Cisticola marginatus,
Croaking Cisticola,Cisticola natalensis,
Piping Cisticola,Cisticola fulvicapilla,
Tabora Cisticola,Cisticola angusticauda,
Siffling Cisticola,Cisticola brachypterus,
Tiny Cisticola,Cisticola nana,
Zitting Cisticola,Cisticola juncidis,
Desert Cisticola,Cisticola aridulus,
Pectoral-patch Cisticola,Cisticola brunnescens,
,,
PASSERIFORMES: Acrocephalidae,,
Eastern Olivaceous Warbler,Iduna pallida,
African Yellow-Warbler,Iduna natalensis,
Mountain Yellow-Warbler,Iduna similis,
Upcher's Warbler,Hippolais languida,
Olive-tree Warbler,Hippolais olivetorum,
Icterine Warbler,Hippolais icterina,
Sedge Warbler,Acrocephalus schoenobaenus,
Marsh Warbler,Acrocephalus palustris,
Common Reed Warbler,Acrocephalus scirpaceus,
Basra Reed Warbler,Acrocephalus griseldis,
Lesser Swamp Warbler,Acrocephalus gracilirostris,
Great Reed Warbler,Acrocephalus arundinaceus,
,,
PASSERIFORMES: Locustellidae,,
River Warbler,Locustella fluviatilis,
Fan-tailed Grassbird,Catriscus brevirostris,
Evergreen-forest Warbler,Bradypterus lopezi,
Cinnamon Bracken-Warbler,Bradypterus cinnamomeus,
Little Rush Warbler,Bradypterus baboecala,
,,
PASSERIFORMES: Hirundinidae,,
White-headed Sawwing,Psalidoprocne albiceps,
Black Sawwing,Psalidoprocne pristoptera,
Gray-rumped Swallow,Pseudhirundo griseopyga,
Banded Martin,Neophedina cincta,
Plain Martin,Riparia paludicola,
Bank Swallow,Riparia riparia,
Rock Martin,Ptyonoprogne fuligula,
Barn Swallow,Hirundo rustica,
Angola Swallow,Hirundo angolensis,
Wire-tailed Swallow,Hirundo smithii,
Western House-Martin,Delichon urbicum,
Greater Striped Swallow,Cecropis cucullata,Rare/Accidental
Red-rumped Swallow,Cecropis daurica,
Lesser Striped Swallow,Cecropis abyssinica,
Mosque Swallow,Cecropis senegalensis,
,,
PASSERIFORMES: Pycnonotidae,,
Yellow-throated Greenbul,Atimastillas flavicollis,
Yellow-bellied Greenbul,Chlorocichla flaviventris,
Shelley's Greenbul,Arizelocichla masukuensis,
Eastern Mountain Greenbul,Arizelocichla nigriceps,
Stripe-cheeked Greenbul,Arizelocichla milanjensis,
Yellow-throated Mountain Greenbul,Arizelocichla chlorigula,Endemic (country/region)
Little Greenbul,Eurillas virens,
Yellow-streaked Greenbul,Phyllastrephus flavostriatus,
Terrestrial Brownbul,Phyllastrephus terrestris,
Northern Brownbul,Phyllastrephus strepitans,
Gray-olive Greenbul,Phyllastrephus cerviniventris,
Fischer's Greenbul,Phyllastrephus fischeri,
Cabanis's Greenbul,Phyllastrephus cabanisi,
Common Bulbul,Pycnonotus barbatus,
,,
PASSERIFORMES: Phylloscopidae,,
Willow Warbler,Phylloscopus trochilus,
Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla,
,,
PASSERIFORMES: Scotocercidae,,
Yellow Flycatcher,Erythrocercus holochlorus,
Livingstone's Flycatcher,Erythrocercus livingstonei,
,,
PASSERIFORMES: Sylviidae,,
Eurasian Blackcap,Sylvia atricapilla,
Garden Warbler,Sylvia borin,
African Hill Babbler,Sylvia abyssinica,
Barred Warbler,Curruca nisoria,
Banded Parisoma,Curruca boehmi,
Brown Parisoma,Curruca lugens,
Greater Whitethroat,Curruca communis,
,,
PASSERIFORMES: Zosteropidae,,
Pale White-eye,Zosterops flavilateralis,
Northern Yellow White-eye,Zosterops senegalensis,
Southern Yellow White-eye,Zosterops anderssoni,
,,
PASSERIFORMES: Pellorneidae,,
Tanzanian Illadopsis,Illadopsis distans,
,,
PASSERIFORMES: Leiothrichidae,,
Rufous Chatterer,Argya rubiginosa,
Scaly Chatterer,Argya aylmeri,
Arrow-marked Babbler,Turdoides jardineii,
Northern Pied-Babbler,Turdoides hypoleuca,
,,
PASSERIFORMES: Buphagidae,,
Red-billed Oxpecker,Buphagus erythrorynchus,
Yellow-billed Oxpecker,Buphagus africanus,
,,
PASSERIFORMES: Sturnidae,,
Wattled Starling,Creatophora cinerea,
Violet-backed Starling,Cinnyricinclus leucogaster,
Slender-billed Starling,Onychognathus tenuirostris,
Red-winged Starling,Onychognathus morio,
Waller's Starling,Onychognathus walleri,
Babbling Starling,Neocichla gutturalis,
Kenrick's Starling,Poeoptera kenricki,
Hildebrandt's Starling,Lamprotornis hildebrandti,
Rüppell's Starling,Lamprotornis purpuroptera,
Ashy Starling,Lamprotornis unicolor,
Golden-breasted Starling,Lamprotornis regius,
Superb Starling,Lamprotornis superbus,
Lesser Blue-eared Starling,Lamprotornis chloropterus,
Greater Blue-eared Starling,Lamprotornis chalybaeus,
,,
PASSERIFORMES: Turdidae,,
Orange Ground-Thrush,Geokichla gurneyi,
Groundscraper Thrush,Turdus litsitsirupa,
Abyssinian Thrush,Turdus abyssinicus,
Usambara Thrush,Turdus roehli,
African Bare-eyed Thrush,Turdus tephronotus,
Kurrichane Thrush,Turdus libonyana,
,,
PASSERIFORMES: Muscicapidae,,
African Dusky Flycatcher,Muscicapa adusta,
Spotted Flycatcher,Muscicapa striata,
Swamp Flycatcher,Muscicapa aquatica,
