ScientificNameBT,CommonNameBT
Chelidorhynx hypoxantha,Yellow-bellied Fantail
Aegotheles crinifrons,Long-whiskered Owlet-nightjar
Cormobates placens,Papuan Treecreeper
Phaethon rubricauda,Red-tailed Tropicbird
Phaethon lepturus,White-tailed Tropicbird
Macrocephalon maleo,Maleo
Strigops habroptila,Kakapo
Nyctibius maculosus,Andean Potoo
Nyctibius leucopterus,White-winged Potoo
Colius castanotus,Red-backed Mousebird
Notiomystis cincta,Stitchbird
Pluvianellus socialis,Magellanic Plover
Aegotheles albertisi,Mountain Owlet-nightjar
Syrrhaptes tibetanus,Tibetan Sandgrouse
Syrrhaptes paradoxus,Pallas's Sandgrouse
Eutriorchis astur,Madagascar Serpent-eagle
Rhea americana,Greater Rhea
Rhea pennata,Lesser Rhea
Corythaixoides leucogaster,White-bellied Go-away-bird
Macheiramphus alcinus,Bat Hawk
Crotophaga major,Greater Ani
Atrichornis rufescens,Rufous Scrub-bird
Atrichornis clamosus,Noisy Scrub-bird
Tauraco macrorhynchus,Yellow-billed Turaco
Menura alberti,Albert's Lyrebird
Menura novaehollandiae,Superb Lyrebird
Gypohierax angolensis,Palm-nut Vulture
Dromococcyx phasianellus,Pheasant Cuckoo
Dromococcyx pavoninus,Pavonine Cuckoo
Lymnocryptes minimus,Jack Snipe
Jacamaralcyon tridactyla,Three-toed Jacamar
Stenostira scita,Fairy Warbler
Chauna chavaria,Northern Screamer
Chauna torquata,Southern Screamer
Gavia arctica,Arctic Loon
Eudynamys taitensis,Long-tailed Koel
Phodilus prigoginei,Congo Bay-owl
Phodilus badius,Oriental Bay-owl
Leipoa ocellata,Malleefowl
Oxyruncus cristatus,Sharpbill
Aramus guarauna,Limpkin
Fulica cristata,Red-knobbed Coot
Peucedramus taeniatus,Olive Warbler
Musophaga rossae,Ross's Turaco
Rhamphomantis megarhynchus,Long-billed Cuckoo
Cathartes aura,Turkey Vulture
Dromaius novaehollandiae,Emu
Phoeniconaias minor,Lesser Flamingo
Auriparus flaviceps,Verdin
Mesitornis variegatus,White-breasted Mesite
Mesitornis unicolor,Brown Mesite
Scenopoeetes dentirostris,Tooth-billed Bowerbird
Brachypteracias leptosomus,Short-legged Ground-roller
Phainoptila melanoxantha,Black-and-yellow Silky-flycatcher
Hypocolius ampelinus,Grey Hypocolius
Pelecanoides garnotii,Peruvian Diving-petrel
Cochlearius cochlearius,Boat-billed Heron
Hemiprocne coronata,Crested Treeswift
Hylocitrea bonensis,Olive-flanked Whistler
Metopidius indicus,Bronze-winged Jacana
Oreoscopus gutturalis,Fernwren
Aegotheles cristatus,Australian Owlet-nightjar
Aegotheles bennettii,Barred Owlet-nightjar
Eupetes macrocerus,Rail-babbler
Eulacestoma nigropectus,Wattled Ploughbill
Podica senegalensis,African Finfoot
Modulatrix stictigula,Spot-throat
Modulatrix orostruthus,Dapple-throat
Jacamerops aureus,Great Jacamar
Nyctibius jamaicensis,Northern Potoo
Nyctibius griseus,Grey Potoo
Gypaetus barbatus,Lammergeier
Neophron percnopterus,Egyptian Vulture
Bartramia longicauda,Upland Sandpiper
Tachybaptus dominicus,Least Grebe
Otidiphaps nobilis,Pheasant Pigeon
Nothocercus bonapartei,Highland Tinamou
Elanoides forficatus,American Swallow-tailed Kite
Kaupifalco monogrammicus,Lizard Buzzard
Hemiprocne mystacea,Moustached Treeswift
Hemiprocne longipennis,Grey-rumped Treeswift
Platalea ajaja,Roseate Spoonbill
Trugon terrestris,Thick-billed Ground-pigeon
Falcunculus frontatus,Crested Shrike-tit
Nothocercus julius,Tawny-breasted Tinamou
Pachycare flavogriseum,Goldenface
Nothocercus nigrocapillus,Hooded Tinamou
Tigriornis leucolopha,White-crested Tiger-heron
Zonerodius heliosylus,Forest Bittern
Pelecanus conspicillatus,Australian Pelican
Eudromias morinellus,Eurasian Dotterel
Fregetta tropica,Black-bellied Storm-petrel
Fregetta grallaria,White-bellied Storm-petrel
Pomatostomus isidorei,New Guinea Babbler
Todus angustirostris,Narrow-billed Tody
Ptilopachus petrosus,Stone Partridge
Orthonyx novaeguineae,New Guinea Logrunner
Aegotheles archboldi,Archbold's Owlet-nightjar
Piaya melanogaster,Black-bellied Cuckoo
Rostratula benghalensis,Greater Painted-snipe
Rostratula australis,Australian Painted Snipe
Nyctyornis amictus,Red-bearded Bee-eater
Nyctyornis athertoni,Blue-bearded Bee-eater
Aegotheles wallacii,Wallace's Owlet-nightjar
Coccycua minuta,Little Cuckoo
Batrachostomus auritus,Large Frogmouth
Esacus recurvirostris,Great Thick-knee
Esacus giganteus,Beach Thick-knee
Phimosus infuscatus,Bare-faced Ibis
Panurus biarmicus,Bearded Parrotbill
Erythrogonys cinctus,Red-kneed Dotterel
Crinifer piscator,Western Grey Plantain-eater
Crinifer zonurus,Eastern Grey Plantain-eater
Crotophaga ani,Smooth-billed Ani
Crotophaga sulcirostris,Groove-billed Ani
Harpyopsis novaeguineae,New Guinea Eagle
Xenus cinereus,Terek Sandpiper
Todus mexicanus,Puerto Rican Tody
Todus subulatus,Broad-billed Tody
Orthonyx spaldingii,Chowchilla
Taoniscus nanus,Dwarf Tinamou
Caloenas nicobarica,Nicobar Pigeon
Tigrisoma lineatum,Rufescent Tiger-heron
Orthonyx temminckii,Australian Logrunner
Tachuris rubrigastra,Many-coloured Rush-tyrant
Didunculus strigirostris,Tooth-billed Pigeon
Eupodotis rueppellii,Rueppell's Bustard
Tigrisoma fasciatum,Fasciated Tiger-heron
Francolinus nahani,Nahan's Francolin
Nyctanassa violacea,Yellow-crowned Night-heron
Phaenicophaeus calyorhynchus,Yellow-billed Malkoha
Spiziapteryx circumcincta,Spot-winged Falconet
Pseudobulweria rostrata,Tahiti Petrel
Cathartes melambrotus,Greater Yellow-headed Vulture
Anhinga rufa,African Darter
Cathartes burrovianus,Lesser Yellow-headed Vulture
Corythaixoides concolor,Grey Go-away-bird
Corythaixoides personatus,Bare-faced Go-away-bird
Garrodia nereis,Grey-backed Storm-petrel
Rhagologus leucostigma,Mottled Whistler
Pelagodroma marina,White-faced Storm-petrel
Herpetotheres cachinnans,Laughing Falcon
Calorhamphus fuliginosus,Brown Barbet
Ifrita kowaldi,Ifrit
Ixobrychus involucris,Stripe-backed Bittern
Nipponia nippon,Asian Crested Ibis
Pityriasis gymnocephala,Bornean Bristlehead
Sylviparus modestus,Yellow-browed Tit
Irediparra gallinacea,Comb-crested Jacana
Microparra capensis,Lesser Jacana
Phainopepla nitens,Phainopepla
Batrachostomus cornutus,Sunda Frogmouth
Podargus ocellatus,Marbled Frogmouth
Pseudopodoces humilis,Tibetan Ground-tit
Oceanodroma furcata,Fork-tailed Storm-petrel
Surnia ulula,Northern Hawk Owl
Hydrophasianus chirurgus,Pheasant-tailed Jacana
Oreoica gutturalis,Crested Bellbird
Gavia pacifica,Pacific Loon
Batrachostomus septimus,Philippine Frogmouth
Chelidoptera tenebrosa,Swallow-wing
Brachypteracias squamiger,Scaly Ground-roller
Musophaga violacea,Violet Turaco
Caprimulgus enarratus,Collared Nightjar
Tauraco persa,Guinea Turaco
Houbaropsis bengalensis,Bengal Florican
Sypheotides indicus,Lesser Florican
Gymnoglaux lawrencii,Bare-legged Owl
Hydrobates pelagicus,European Storm-petrel
Ciconia nigra,Black Stork
Heteroglaux blewitti,Forest Owlet
Burhinus grallarius,Bush Thick-knee
Crypturellus soui,Little Tinamou
Psophia crepitans,Grey-winged Trumpeter
Cercibis oxycerca,Sharp-tailed Ibis
Amalocichla sclateriana,Greater Ground-robin
Amalocichla incerta,Lesser Ground-robin
Phegornis mitchellii,Diademed Sandpiper-plover
Tigrisoma mexicanum,Bare-throated Tiger-heron
Gampsonyx swainsonii,Pearl Kite
Callaeas cinereus,Kokako
Philesturnus carunculatus,Saddleback
Charadrius modestus,Rufous-chested Plover
Pithecophaga jefferyi,Philippine Eagle
Todus multicolor,Cuban Tody
Todus todus,Jamaican Tody
Pelecanus onocrotalus,Great White Pelican
Tinamus solitarius,Solitary Tinamou
Geococcyx californianus,Greater Roadrunner
Geococcyx velox,Lesser Roadrunner
Fregata minor,Greater Frigatebird
Tinamus osgoodi,Black Tinamou
Tinamus tao,Grey Tinamou
Ixobrychus minutus,Little Bittern
Eurostopodus macrotis,Great Eared-nightjar
Heliornis fulica,Sungrebe
Pelecanus crispus,Dalmatian Pelican
Jabiru mycteria,Jabiru
Tinamus guttatus,White-throated Tinamou
Heliopais personatus,Masked Finfoot
Morphnus guianensis,Crested Eagle
Harpia harpyja,Harpy Eagle
Syrigma sibilatrix,Whistling Heron
Nilaus afer,Brubru
Tinamus major,Great Tinamou
Batrachostomus poliolophus,Short-tailed Frogmouth
Eulipoa wallacei,Moluccan Megapode
Dromas ardeola,Crab Plover
Batrachostomus affinis,Blyth's Frogmouth
Batrachostomus moniliger,Sri Lanka Frogmouth
Crypturellus strigulosus,Brazilian Tinamou
Ixobrychus flavicollis,Black Bittern
Batrachostomus stellatus,Gould's Frogmouth
Uratelornis chimaera,Long-tailed Ground-roller
Regulus ignicapilla,Firecrest
Regulus madeirensis,Madeira Kinglet
Pelecanus thagus,Peruvian Pelican
Pelecanus erythrorhynchos,American White Pelican
Batrachostomus harterti,Dulit Frogmouth
Pelecanus occidentalis,Brown Pelican
Pelecanus philippensis,Spot-billed Pelican
Thalassornis leuconotus,White-backed Duck
Crypturellus undulatus,Undulated Tinamou
Otis tarda,Great Bustard
Chlamydotis undulata,Houbara Bustard
Regulus goodfellowi,Flamecrest
Clamator glandarius,Great Spotted Cuckoo
Batrachostomus hodgsoni,Hodgson's Frogmouth
Fregata andrewsi,Christmas Island Frigatebird
Pelecanus rufescens,Pink-backed Pelican
Neopipo cinnamomea,Cinnamon Manakin-tyrant
Crypturellus parvirostris,Small-billed Tinamou
Batrachostomus javensis,Javan Frogmouth
Batrachostomus mixtus,Bornean Frogmouth
Tropicranus albocristatus,White-crested Hornbill
Microdynamis parva,Dwarf Koel
Lacedo pulchella,Banded Kingfisher
Crypturellus obsoletus,Brown Tinamou
Rhynchotus rufescens,Red-winged Tinamou
Rhynchotus maculicollis,Huayco Tinamou
Ptilonorhynchus violaceus,Satin Bowerbird
Fregata ariel,Lesser Frigatebird
Coua ruficeps,Red-capped Coua
Chelictinia riocourii,African Swallow-tailed Kite
Pseudocalyptomena graueri,African Green Broadbill
Chionis albus,Snowy Sheathbill
Chionis minor,Black-faced Sheathbill
Crypturellus tataupa,Tataupa Tinamou
Tachybaptus ruficollis,Little Grebe
Tachybaptus novaehollandiae,Australasian Grebe
Eudynamys scolopaceus,Asian Koel
Pygoscelis adeliae,Adelie Penguin
Ceryle rudis,Pied Kingfisher
Steganopus tricolor,Wilson's Phalarope
Clamator coromandus,Chestnut-winged Cuckoo
Certhionyx niger,Black Honeyeater
Pelecanoides urinatrix,Common Diving-petrel
Ephippiorhynchus asiaticus,Black-necked Stork
Ephippiorhynchus senegalensis,Saddle-billed Stork
Megabyas flammulatus,African Shrike-flycatcher
Bradypterus victorini,Victorin's Scrub-warbler
Baryphthengus martii,Rufous Motmot
Leptoptilos crumeniferus,Marabou Stork
Chaetops frenatus,Cape Rock-jumper
Chaetops aurantius,Drakensberg Rockjumper
Heteromyias albispecularis,Grey-headed Robin
Leptoptilos javanicus,Lesser Adjutant
Crypturellus variegatus,Variegated Tinamou
Tauraco schuetti,Black-billed Turaco
Tauraco bannermani,Bannerman's Turaco
Actitis hypoleucos,Common Sandpiper
Actitis macularius,Spotted Sandpiper
Hylomanes momotula,Tody Motmot
Eumomota superciliosa,Turquoise-browed Motmot
Bias musicus,Black-and-white Shrike-flycatcher
Podargus strigoides,Tawny Frogmouth
Podargus papuensis,Papuan Frogmouth
Streptoprocne zonaris,White-collared Swift
Ailuroedus crassirostris,Green Catbird
Oceanodroma melania,Black Storm-petrel
Theristicus melanopis,Black-faced Ibis
Carpococcyx renauldi,Coral-billed Ground-cuckoo
Rhinopomastus cyanomelas,Common Scimitarbill
Carpococcyx radiatus,Bornean Ground-cuckoo
Rhinopomastus minor,Abyssinian Scimitarbill
Pterocles namaqua,Namaqua Sandgrouse
Plegadis ridgwayi,Puna Ibis
Rhinopomastus aterrimus,Black Scimitarbill
Pterocles coronatus,Crowned Sandgrouse
Tauraco ruspolii,Prince Ruspoli's Turaco
Carpococcyx viridis,Sumatran Ground-cuckoo
Tachybaptus pelzelnii,Madagascar Grebe
Ailuroedus melanotis,Spotted Catbird
Phaenicophaeus cumingi,Scale-feathered Malkoha
Phaenicophaeus superciliosus,Red-crested Malkoha
Tricholestes criniger,Hairy-backed Bulbul
Aleadryas rufinucha,Rufous-naped Whistler
Pitohui cristatus,Crested Pitohui
Athene cunicularia,Burrowing Owl
Terathopius ecaudatus,Bateleur
Neolestes torquatus,Black-collared Bulbul
Gavia immer,Common Loon
Gavia adamsii,Yellow-billed Loon
Ixobrychus exilis,Least Bittern
Oceanodroma leucorhoa,Leach's Storm-petrel
Oceanodroma homochroa,Ashy Storm-petrel
Anarhynchus frontalis,Wrybill
Tauraco erythrolophus,Red-crested Turaco
Prionodura newtoniana,Golden Bowerbird
Platylophus galericulatus,Crested Jay
Plegadis falcinellus,Glossy Ibis
Picathartes gymnocephalus,White-necked Picathartes
Picathartes oreas,Grey-necked Picathartes
Pterocles bicinctus,Double-banded Sandgrouse
Podager nacunda,Nacunda Nighthawk
Loboparadisea sericea,Yellow-breasted Bird-of-paradise
Cephalopyrus flammiceps,Fire-capped Tit
Poliocephalus poliocephalus,Hoary-headed Grebe
Poliocephalus rufopectus,New Zealand Grebe
Irena puella,Asian Fairy-bluebird
Irena cyanogastra,Philippine Fairy-bluebird
Nesofregetta fuliginosa,White-throated Storm-petrel
Pachycephalopsis hattamensis,Green-backed Robin
Pachycephalopsis poliosoma,White-eyed Robin
Tauraco leucolophus,White-crested Turaco
Anhinga melanogaster,Oriental Darter
Nothura chacoensis,Chaco Nothura
Corcorax melanorhamphos,White-winged Chough
Struthidea cinerea,Apostlebird
Plegadis chihi,White-faced Ibis
Nothura boraquira,White-bellied Nothura
Nothura minor,Lesser Nothura
Pitohui nigrescens,Black Pitohui
Aceros comatus,White-crowned Hornbill
Psittrichas fulgidus,Pesquet's Parrot
Halobaena caerulea,Blue Petrel
Pomatostomus halli,Hall's Babbler
Athene brama,Spotted Owlet
Phaenicophaeus javanicus,Red-billed Malkoha
Phaenicophaeus leschenaultii,Sirkeer Malkoha
Nycticorax nycticorax,Black-crowned Night-heron
Nycticorax caledonicus,Rufous Night-heron
Melanochlora sultanea,Sultan Tit
Psophia leucoptera,Pale-winged Trumpeter
Psophia viridis,Dark-winged Trumpeter
Leucosarcia melanoleuca,Wonga Pigeon
Ixobrychus cinnamomeus,Cinnamon Bittern
Atelornis pittoides,Pitta-like Ground-roller
Atelornis crossleyi,Rufous-headed Ground-roller
Actophilornis africanus,African Jacana
Actophilornis albinucha,Madagascar Jacana
Eurostopodus papuensis,Papuan Eared-nightjar
Oceanodroma tristrami,Tristram's Storm-petrel
Centropus unirufus,Rufous Coucal
Phylidonyris melanops,Tawny-crowned Honeyeater
Nothura darwinii,Darwin's Nothura
Phoenicopterus chilensis,Chilean Flamingo
Crypturellus cinnamomeus,Thicket Tinamou
Nymphicus hollandicus,Cockatiel
Crypturellus casiquiare,Barred Tinamou
Certhionyx variegatus,Pied Honeyeater
Athene noctua,Little Owl
Casuarius unappendiculatus,Northern Cassowary
Phoenicopterus roseus,Greater Flamingo
Cuculus pallidus,Pallid Cuckoo
Attagis gayi,Rufous-bellied Seedsnipe
Attagis malouinus,White-bellied Seedsnipe
Androdon aequatorialis,Tooth-billed Hummingbird
Euptilotis neoxenus,Eared Quetzal
Crypturellus erythropus,Red-legged Tinamou
Crypturellus boucardi,Slaty-breasted Tinamou
Pterocles gutturalis,Yellow-throated Sandgrouse
Regulus calendula,Ruby-crowned Kinglet
Androphobus viridis,Papuan Whipbird
Crypturellus duidae,Grey-legged Tinamou
Regulus regulus,Goldcrest
Neotis nuba,Nubian Bustard
Crypturellus berlepschi,Berlepsch's Tinamou
Pomatostomus temporalis,Grey-crowned Babbler
Crypturellus brevirostris,Rusty Tinamou
Promerops gurneyi,Gurney's Sugarbird
Promerops cafer,Cape Sugarbird
Nothura maculosa,Spotted Nothura
Crypturellus atrocapillus,Black-capped Tinamou
Crypturellus bartletti,Bartlett's Tinamou
Crypturellus ptaritepui,Tepui Tinamou
Crypturellus transfasciatus,Pale-browed Tinamou
Crypturellus noctivagus,Yellow-legged Tinamou
Crypturellus kerriae,Choco Tinamou
Siphonorhis brewsteri,Least Pauraque
Amytornis barbatus,Grey Grasswren
Eurynorhynchus pygmeus,Spoon-billed Sandpiper
Nothoprocta cinerascens,Brushland Tinamou
Crypturellus cinereus,Cinereous Tinamou
Polyboroides typus,African Harrier-hawk
Polyboroides radiatus,Madagascar Harrier-hawk
Pterocles burchelli,Burchell's Sandgrouse
Prionochilus olivaceus,Olive-backed Flowerpecker
Nothoprocta perdicaria,Chilean Tinamou
Harpactes oreskios,Orange-breasted Trogon
Piprites chloris,Wing-barred Piprites
Pterocles exustus,Chestnut-bellied Sandgrouse
Centropus chlororhynchus,Green-billed Coucal
Urotriorchis macrourus,Long-tailed Hawk
Chaetorhynchus papuensis,Pygmy Drongo
Lamprolia victoriae,Silktail
Drymodes superciliaris,Northern Scrub-robin
Drymodes brunneopygia,Southern Scrub-robin
Anhinga anhinga,Anhinga
Ailuroedus buccoides,White-eared Catbird
Pterocles orientalis,Black-bellied Sandgrouse
Geronticus calvus,Southern Bald Ibis
Geronticus eremita,Northern Bald Ibis
Pterocles decoratus,Black-faced Sandgrouse
Rhinoplax vigil,Helmeted Hornbill
Pterocles personatus,Madagascar Sandgrouse
Pterocles lichtensteinii,Lichtenstein's Sandgrouse
Uropelia campestris,Long-tailed Ground-dove
Lanioturdus torquatus,Chatshrike
Fregata aquila,Ascension Frigatebird
Melilestes megarhynchus,Long-billed Honeyeater
Fregata magnificens,Magnificent Frigatebird
Nestor notabilis,Kea
Nestor meridionalis,Kaka
Pterocles alchata,Pin-tailed Sandgrouse
Pterocles quadricinctus,Four-banded Sandgrouse
Pterocles senegallus,Spotted Sandgrouse
Pterocles indicus,Painted Sandgrouse
Smithornis sharpei,Grey-headed Broadbill
Anhinga novaehollandiae,Australian Darter
Burhinus bistriatus,Double-striped Thick-knee
Burhinus superciliaris,Peruvian Thick-knee
Bucorvus abyssinicus,Abyssinian Ground-hornbill
Bucorvus cafer,Southern Ground-hornbill
Eutoxeres aquila,White-tipped Sicklebill
Eutoxeres condamini,Buff-tailed Sicklebill
Ciconia maguari,Maguari Stork
Eudynamys melanorhynchus,Black-billed Koel
Chordeiles pusillus,Least Nighthawk
Pholidornis rushiae,Tit-hylia
Hylia prasina,Green Hylia
Daphoenositta chrysoptera,Varied Sittella
Daphoenositta miranda,Black Sittella
Melanopareia elegans,Elegant Crescentchest
Pomatostomus ruficeps,Chestnut-crowned Babbler
Pomatostomus superciliosus,White-browed Babbler
Priotelus temnurus,Cuban Trogon
Priotelus roseigaster,Hispaniolan Trogon
Piprites pileata,Black-capped Piprites
Tauraco corythaix,Knysna Turaco
Halocyptena microsoma,Least Storm-petrel
Tringa ochropus,Green Sandpiper
Coua caerulea,Blue Coua
Smicrornis brevirostris,Weebill
Oceanodroma tethys,Wedge-rumped Storm-petrel
Microeca griseoceps,Yellow-legged Flyrobin
Tringa solitaria,Solitary Sandpiper
Casuarius casuarius,Southern Cassowary
Pelecanoides magellani,Magellanic Diving-petrel
Pelecanoides georgicus,South Georgia Diving-petrel
Pittasoma michleri,Black-crowned Antpitta
Pittasoma rufopileatum,Rufous-crowned Antpitta
Bulweria bulwerii,Bulwer's Petrel
Bulweria fallax,Jouanin's Petrel
Casuarius bennetti,Dwarf Cassowary
Eudynamys orientalis,Eastern Koel
Setornis criniger,Hook-billed Bulbul
Plectorhyncha lanceolata,Striped Honeyeater
Grantiella picta,Painted Honeyeater
Papasula abbotti,Abbott's Booby
Anastomus oscitans,Asian Openbill
Anastomus lamelligerus,African Openbill
Bernieria madagascariensis,Common Tetraka
Theristicus caerulescens,Plumbeous Ibis
Theristicus caudatus,Buff-necked Ibis
Platalea flavipes,Yellow-billed Spoonbill
Limosa lapponica,Bar-tailed Godwit
Petronia brachydactyla,Pale Rock Sparrow
Rollandia rolland,White-tufted Grebe
Rollandia microptera,Titicaca Grebe
Muscigralla brevicauda,Short-tailed Field-tyrant
Leptoptilos dubius,Greater Adjutant
Pluvialis squatarola,Grey Plover
Probosciger aterrimus,Palm Cockatoo
Cnemophilus macgregorii,Crested Bird-of-paradise
Cnemophilus loriae,Loria's Bird-of-paradise
Ithaginis cruentus,Blood Pheasant
Prosthemadera novaeseelandiae,Tui
Lophotibis cristata,Madagascar Crested Ibis
Nothoprocta pentlandii,Andean Tinamou
Ixobrychus sinensis,Yellow Bittern
Nothoprocta curvirostris,Curve-billed Tinamou
Ptilogonys cinereus,Grey Silky-flycatcher
Ptilogonys caudatus,Long-tailed Silky-flycatcher
Platalea regia,Royal Spoonbill
Dasyornis broadbenti,Rufous Bristlebird
Glycichaera fallax,Green-backed Honeyeater
Aechmophorus occidentalis,Western Grebe
Aechmophorus clarkii,Clark's Grebe
Dasyornis longirostris,Western Bristlebird
Daption capense,Cape Petrel
Dasyornis brachypterus,Eastern Bristlebird
Thinocorus orbignyianus,Grey-breasted Seedsnipe
Thinocorus rumicivorus,Least Seedsnipe
Charadrius vociferus,Killdeer
Pericrocotus erythropygius,White-bellied Minivet
Platalea alba,African Spoonbill
Centropus celebensis,Bay Coucal
Amblyornis subalaris,Streaked Bowerbird
Electron platyrhynchum,Broad-billed Motmot
Electron carinatum,Keel-billed Motmot
Podiceps grisegena,Red-necked Grebe
Burhinus vermiculatus,Water Thick-knee
Eurostopodus diabolicus,Sulawesi Eared-nightjar
Nothoprocta taczanowskii,Taczanowski's Tinamou
Myrmornis torquata,Wing-banded Antbird
Myiotriccus ornatus,Ornate Flycatcher
Ixobrychus eurhythmus,Schrenck's Bittern
Nothoprocta ornata,Ornate Tinamou
Andropadus importunus,Sombre Greenbul
Nicator chloris,Yellow-spotted Nicator
Nicator vireo,Yellow-throated Nicator
Stephanoaetus coronatus,Crowned Hawk-eagle
Sylvietta denti,Lemon-bellied Crombec
Phoeniculus somaliensis,Black-billed Woodhoopoe
Phoenicopterus ruber,American Flamingo
Aegolius funereus,Boreal Owl
Thinornis rubricollis,Hooded Plover
Thinornis novaeseelandiae,Shore Plover
Xenoperdix udzungwensis,Udzungwa Forest-partridge
Eurostopodus archboldi,Mountain Eared-nightjar
Oena capensis,Namaqua Dove
Macrosphenus flavicans,Yellow Longbill
Arenaria interpres,Ruddy Turnstone
Arenaria melanocephala,Black Turnstone
Bombycilla cedrorum,Cedar Waxwing
Oceanites gracilis,White-vented Storm-petrel
Oceanites maorianus,New Zealand Storm-petrel
Oceanites oceanicus,Wilson's Storm-petrel
Eurostopodus temminckii,Malaysian Eared-nightjar
Podiceps auritus,Horned Grebe
Chalcophaps indica,Emerald Dove
Chalcophaps stephani,Stephan's Dove
Phoeniculus castaneiceps,Forest Woodhoopoe
Phoeniculus bollei,White-headed Woodhoopoe
Aspatha gularis,Blue-throated Motmot
Zaratornis stresemanni,White-cheeked Cotinga
Oriolus mellianus,Silver Oriole
Limosa limosa,Black-tailed Godwit
Ocyphaps lophotes,Crested Pigeon
Macrosphenus kretschmeri,Kretschmer's Longbill
Uroglaux dimorpha,Papuan Hawk-owl
Tauraco schalowi,Schalow's Turaco
Coua cristata,Crested Coua
Apteryx owenii,Little Spotted Kiwi
Apteryx haastii,Great Spotted Kiwi
Xenoglaux loweryi,Long-whiskered Owlet
Tauraco hartlaubi,Hartlaub's Turaco
Bubulcus ibis,Cattle Egret
Eugerygone rubra,Garnet Robin
Coua verreauxi,Verreaux's Coua
Coccyzus erythropthalmus,Black-billed Cuckoo
Eopsaltria flaviventris,Yellow-bellied Robin
Pagodroma nivea,Snow Petrel
Cormobates leucophaea,White-throated Treecreeper
Malacorhynchus membranaceus,Pink-eared Duck
Thalassoica antarctica,Antarctic Petrel
Ammomanes grayi,Gray's Lark
Anorrhinus galeritus,Bushy-crested Hornbill
Pygoscelis papua,Gentoo Penguin
Pygoscelis antarcticus,Chinstrap Penguin
Aptenodytes patagonicus,King Penguin
Aptenodytes forsteri,Emperor Penguin
Oceanodroma markhami,Markham's Storm-petrel
Pitohui incertus,White-bellied Pitohui
Pitohui ferrugineus,Rusty Pitohui
Talegalla cuvieri,Red-billed Brush-turkey
Cyanopica cyanus,Azure-winged Magpie
Nicator gularis,Eastern Nicator
Xiphidiopicus percussus,Cuban Green Woodpecker
Charadrius semipalmatus,Semipalmated Plover
Patagona gigas,Giant Hummingbird
Talegalla fuscirostris,Black-billed Brush-turkey
Cypsiurus parvus,African Palm-swift
Cypsiurus balasiensis,Asian Palm-swift
Philomachus pugnax,Ruff
Melierax gabar,Gabar Goshawk
