ScientificNameV3,CommonNameV3,FamilyV3,ScientificName2023,CommonName2023,Family2023
Halocyptena microsoma,Least Storm-petrel,Hydrobatidae,Hydrobates microsoma,Least Storm-Petrel,Hydrobatidae
Oceanodroma tethys,Wedge-rumped Storm-petrel,Hydrobatidae,Hydrobates tethys,Wedge-rumped Storm-Petrel,Hydrobatidae
Oceanodroma castro,Madeiran Storm-petrel,Hydrobatidae,,,
,,,Hydrobates castro,Band-rumped Storm-Petrel,Hydrobatidae
,,,Hydrobates jabejabe,Cape Verde Storm-Petrel,Hydrobatidae
Oceanodroma monteiroi,Monteiro's Storm-petrel,Hydrobatidae,Hydrobates monteiroi,Monteiro's Storm-Petrel,Hydrobatidae
Oceanodroma leucorhoa,Leach's Storm-petrel,Hydrobatidae,,,
,,,Hydrobates leucorhous,Leach's Storm-Petrel,Hydrobatidae
,,,Hydrobates socorroensis,Townsend's Storm-Petrel,Hydrobatidae
,,,Hydrobates cheimomnestes,Ainley's Storm-Petrel,Hydrobatidae
Oceanodroma monorhis,Swinhoe's Storm-petrel,Hydrobatidae,Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobatidae
Oceanodroma macrodactyla,Guadalupe Storm-petrel,Hydrobatidae,Hydrobates macrodactylus,Guadalupe Storm-Petrel,Hydrobatidae
Oceanodroma tristrami,Tristram's Storm-petrel,Hydrobatidae,Hydrobates tristrami,Tristram's Storm-Petrel,Hydrobatidae
Oceanodroma markhami,Markham's Storm-petrel,Hydrobatidae,Hydrobates markhami,Markham's Storm-Petrel,Hydrobatidae
Oceanodroma matsudairae,Matsudaira's Storm-petrel,Hydrobatidae,Hydrobates matsudairae,Matsudaira's Storm-Petrel,Hydrobatidae
Oceanodroma melania,Black Storm-petrel,Hydrobatidae,Hydrobates melania,Black Storm-Petrel,Hydrobatidae
Oceanodroma homochroa,Ashy Storm-petrel,Hydrobatidae,Hydrobates homochroa,Ashy Storm-Petrel,Hydrobatidae
Oceanodroma hornbyi,Ringed Storm-petrel,Hydrobatidae,Hydrobates hornbyi,Ringed Storm-Petrel,Hydrobatidae
Oceanodroma furcata,Fork-tailed Storm-petrel,Hydrobatidae,Hydrobates furcatus,Fork-tailed Storm-Petrel,Hydrobatidae
Pelecanoides garnotii,Peruvian Diving-petrel,Pelecanoididae,Pelecanoides garnotii,Peruvian Diving-Petrel,Procellariidae
Pelecanoides magellani,Magellanic Diving-petrel,Pelecanoididae,Pelecanoides magellani,Magellanic Diving-Petrel,Procellariidae
Pelecanoides georgicus,South Georgia Diving-petrel,Pelecanoididae,Pelecanoides georgicus,South Georgia Diving-Petrel,Procellariidae
Pelecanoides urinatrix,Common Diving-petrel,Pelecanoididae,Pelecanoides urinatrix,Common Diving-Petrel,Procellariidae
Fregata minor,Greater Frigatebird,Fregatidae,Fregata minor,Great Frigatebird,Fregatidae
Phalacrocorax africanus,Reed Cormorant,Phalacrocoracidae,Microcarbo africanus,Long-tailed Cormorant,Phalacrocoracidae
Phalacrocorax coronatus,Crowned Cormorant,Phalacrocoracidae,Microcarbo coronatus,Crowned Cormorant,Phalacrocoracidae
Phalacrocorax pygmeus,Pygmy Cormorant,Phalacrocoracidae,Microcarbo pygmaeus,Pygmy Cormorant,Phalacrocoracidae
Phalacrocorax niger,Little Cormorant,Phalacrocoracidae,Microcarbo niger,Little Cormorant,Phalacrocoracidae
Phalacrocorax melanoleucos,Little Pied Cormorant,Phalacrocoracidae,Microcarbo melanoleucos,Little Pied Cormorant,Phalacrocoracidae
Phalacrocorax perspicillatus,Pallas's Cormorant,Phalacrocoracidae,Urile perspicillatus,Pallas's Cormorant,Phalacrocoracidae
Phalacrocorax penicillatus,Brandt's Cormorant,Phalacrocoracidae,Urile penicillatus,Brandt's Cormorant,Phalacrocoracidae
Phalacrocorax harrisi,Flightless Cormorant,Phalacrocoracidae,Nannopterum harrisi,Flightless Cormorant,Phalacrocoracidae
Phalacrocorax brasilianus,Neotropic Cormorant,Phalacrocoracidae,Nannopterum brasilianum,Neotropic Cormorant,Phalacrocoracidae
Phalacrocorax auritus,Double-crested Cormorant,Phalacrocoracidae,Nannopterum auritum,Double-crested Cormorant,Phalacrocoracidae
Phalacrocorax varius,Large Pied Cormorant,Phalacrocoracidae,Phalacrocorax varius,Pied Cormorant,Phalacrocoracidae
Phalacrocorax bougainvillii,Guanay Cormorant,Phalacrocoracidae,Leucocarbo bougainvillii,Guanay Cormorant,Phalacrocoracidae
Phalacrocorax atriceps,Imperial Shag,Phalacrocoracidae,,,
,,,Leucocarbo nivalis,Heard Island Shag,Phalacrocoracidae
,,,Leucocarbo melanogenis,Crozet Shag,Phalacrocoracidae
,,,Leucocarbo purpurascens,Macquarie Shag,Phalacrocoracidae
,,,Leucocarbo bransfieldensis,Antarctic Shag,Phalacrocoracidae
,,,Leucocarbo georgianus,South Georgia Shag,Phalacrocoracidae
,,,Leucocarbo atriceps,Imperial Cormorant,Phalacrocoracidae
,,,Leucocarbo verrucosus,Kerguelen Shag,Phalacrocoracidae
Phalacrocorax campbelli,Campbell Island Shag,Phalacrocoracidae,Leucocarbo campbelli,Campbell Islands Shag,Phalacrocoracidae
Phalacrocorax carunculatus,New Zealand King Shag,Phalacrocoracidae,Leucocarbo carunculatus,New Zealand King Shag,Phalacrocoracidae
Phalacrocorax chalconotus,Stewart Island Shag,Phalacrocoracidae,Leucocarbo chalconotus,Stewart Island Shag,Phalacrocoracidae
Phalacrocorax onslowi,Chatham Islands Shag,Phalacrocoracidae,Leucocarbo onslowi,Chatham Islands Shag,Phalacrocoracidae
Phalacrocorax colensoi,Auckland Islands Shag,Phalacrocoracidae,Leucocarbo colensoi,Auckland Islands Shag,Phalacrocoracidae
Phalacrocorax ranfurlyi,Bounty Islands Shag,Phalacrocoracidae,Leucocarbo ranfurlyi,Bounty Islands Shag,Phalacrocoracidae
Phalacrocorax magellanicus,Rock Shag,Phalacrocoracidae,Leucocarbo magellanicus,Magellanic Cormorant,Phalacrocoracidae
Phalacrocorax urile,Red-faced Cormorant,Phalacrocoracidae,Urile urile,Red-faced Cormorant,Phalacrocoracidae
Phalacrocorax pelagicus,Pelagic Cormorant,Phalacrocoracidae,Urile pelagicus,Pelagic Cormorant,Phalacrocoracidae
Phalacrocorax aristotelis,European Shag,Phalacrocoracidae,Gulosus aristotelis,European Shag,Phalacrocoracidae
Phalacrocorax gaimardi,Red-legged Cormorant,Phalacrocoracidae,Poikilocarbo gaimardi,Red-legged Cormorant,Phalacrocoracidae
Anhinga novaehollandiae,Australian Darter,Anhingidae,Anhinga novaehollandiae,Australasian Darter,Anhingidae
Egretta tricolor,Tricoloured Heron,Ardeidae,Egretta tricolor,Tricolored Heron,Ardeidae
Egretta gularis,Western Reef-egret,Ardeidae,Egretta gularis,Western Reef-Heron,Ardeidae
Egretta sacra,Pacific Reef-egret,Ardeidae,Egretta sacra,Pacific Reef-Heron,Ardeidae
Ardea cinerea,Grey Heron,Ardeidae,Ardea cinerea,Gray Heron,Ardeidae
Ardea pacifica,White-necked Heron,Ardeidae,Ardea pacifica,Pacific Heron,Ardeidae
Ardea humbloti,Madagascar Heron,Ardeidae,Ardea humbloti,Humblot's Heron,Ardeidae
Ardea picata,Pied Heron,Ardeidae,Egretta picata,Pied Heron,Ardeidae
Casmerodius albus,Great Egret,Ardeidae,Ardea alba,Great Egret,Ardeidae
Mesophoyx intermedia,Intermediate Egret,Ardeidae,,,
,,,Ardea intermedia,Medium Egret,Ardeidae
,,,Ardea brachyrhyncha,Yellow-billed Egret,Ardeidae
,,,Ardea plumifera,Plumed Egret,Ardeidae
Bubulcus ibis,Cattle Egret,Ardeidae,,,
,,,Bubulcus ibis,Western Cattle Egret,Ardeidae
,,,Bubulcus coromandus,Eastern Cattle Egret,Ardeidae
Ardeola idae,Madagascar Pond-heron,Ardeidae,Ardeola idae,Malagasy Pond-Heron,Ardeidae
Nyctanassa violacea,Yellow-crowned Night-heron,Ardeidae,Nyctanassa violacea,Yellow-crowned Night Heron,Ardeidae
Nycticorax nycticorax,Black-crowned Night-heron,Ardeidae,Nycticorax nycticorax,Black-crowned Night Heron,Ardeidae
Nycticorax caledonicus,Rufous Night-heron,Ardeidae,Nycticorax caledonicus,Nankeen Night Heron,Ardeidae
Nycticorax mauritianus,Mauritius Night-heron,Ardeidae,Nycticorax mauritianus,Mauritius Night Heron,Ardeidae
Nycticorax megacephalus,Rodrigues Night-heron,Ardeidae,Nycticorax megacephalus,Rodrigues Night Heron,Ardeidae
Nycticorax duboisi,Reunion Night-heron,Ardeidae,Nycticorax duboisi,Reunion Night Heron,Ardeidae
Gorsachius leuconotus,White-backed Night-heron,Ardeidae,Calherodius leuconotus,White-backed Night Heron,Ardeidae
Gorsachius magnificus,White-eared Night-heron,Ardeidae,Oroanassa magnifica,White-eared Night Heron,Ardeidae
Gorsachius goisagi,Japanese Night-heron,Ardeidae,Gorsachius goisagi,Japanese Night Heron,Ardeidae
Gorsachius melanolophus,Malaysian Night-heron,Ardeidae,Gorsachius melanolophus,Malayan Night Heron,Ardeidae
,,,Ixobrychus dubius,Black-backed Bittern,Ardeidae
Ixobrychus novaezelandiae,Black-backed Bittern,Ardeidae,,,
,,,Ixobrychus novaezelandiae,New Zealand Bittern,Ardeidae
,,,Theristicus branickii,Andean Ibis,Threskiornithidae
Theristicus melanopis,Black-faced Ibis,Threskiornithidae,,,
,,,Theristicus melanopis,Black-faced Ibis,Threskiornithidae
Bostrychia olivacea,African Olive Ibis,Threskiornithidae,,,
Bostrychia bocagei,Dwarf Olive Ibis,Threskiornithidae,,,
,,,Bostrychia bocagei,Sao Tome Ibis,Threskiornithidae
,,,Bostrychia olivacea,Olive Ibis,Threskiornithidae
Lophotibis cristata,Madagascar Crested Ibis,Threskiornithidae,Lophotibis cristata,Madagascar Ibis,Threskiornithidae
Threskiornis bernieri,Madagascar Sacred Ibis,Threskiornithidae,Threskiornis bernieri,Malagasy Sacred Ibis,Threskiornithidae
Threskiornis molucca,Australian Sacred Ibis,Threskiornithidae,Threskiornis molucca,Australian Ibis,Threskiornithidae
Thaumatibis gigantea,Giant Ibis,Threskiornithidae,Pseudibis gigantea,Giant Ibis,Threskiornithidae
Nipponia nippon,Asian Crested Ibis,Threskiornithidae,Nipponia nippon,Crested Ibis,Threskiornithidae
Ciconia episcopus,Woolly-necked Stork,Ciconiidae,,,
,,,Ciconia episcopus,Asian Woolly-necked Stork,Ciconiidae
,,,Ciconia microscelis,African Woolly-necked Stork,Ciconiidae
Leptoptilos crumeniferus,Marabou Stork,Ciconiidae,Leptoptilos crumenifer,Marabou Stork,Ciconiidae
Phoenicoparrus jamesi,Puna Flamingo,Phoenicopteridae,Phoenicoparrus jamesi,James's Flamingo,Phoenicopteridae
Oxyura jamaicensis,Ruddy Duck,Anatidae,,,
,,,Oxyura jamaicensis,Ruddy Duck,Anatidae
,,,Oxyura ferruginea,Andean Duck,Anatidae
Anser fabalis,Bean Goose,Anatidae,,,
,,,Anser fabalis,Taiga Bean-Goose,Anatidae
,,,Anser serrirostris,Tundra Bean-Goose,Anatidae
Anser anser,Greylag Goose,Anatidae,Anser anser,Graylag Goose,Anatidae
Chen caerulescens,Snow Goose,Anatidae,Anser caerulescens,Snow Goose,Anatidae
Chen rossii,Ross's Goose,Anatidae,Anser rossii,Ross's Goose,Anatidae
Chen canagica,Emperor Goose,Anatidae,Anser canagicus,Emperor Goose,Anatidae
Branta bernicla,Brent Goose,Anatidae,Branta bernicla,Brant,Anatidae
Chloephaga melanoptera,Andean Goose,Anatidae,Oressochen melanopterus,Andean Goose,Anatidae
Neochen jubata,Orinoco Goose,Anatidae,Oressochen jubatus,Orinoco Goose,Anatidae
Alopochen mauritianus,Mauritius Shelduck,Anatidae,Alopochen mauritiana,Mauritius Shelduck,Anatidae
Tadorna radjah,Radjah Shelduck,Anatidae,Radjah radjah,Radjah Shelduck,Anatidae
Tachyeres pteneres,Flightless Steamerduck,Anatidae,Tachyeres pteneres,Flightless Steamer-Duck,Anatidae
Tachyeres leucocephalus,White-headed Steamerduck,Anatidae,Tachyeres leucocephalus,White-headed Steamer-Duck,Anatidae
Tachyeres brachypterus,Falkland Steamerduck,Anatidae,Tachyeres brachypterus,Falkland Steamer-Duck,Anatidae
Tachyeres patachonicus,Flying Steamerduck,Anatidae,Tachyeres patachonicus,Flying Steamer-Duck,Anatidae
Cairina scutulata,White-winged Duck,Anatidae,Asarcornis scutulata,White-winged Duck,Anatidae
Sarkidiornis melanotos,Comb Duck,Anatidae,,,
,,,Sarkidiornis melanotos,Knob-billed Duck,Anatidae
,,,Sarkidiornis sylvicola,Comb Duck,Anatidae
Chenonetta jubata,Australian Wood Duck,Anatidae,Chenonetta jubata,Maned Duck,Anatidae
,,,Chenonetta finschi,Finsch's Duck,Anatidae
Anas penelope,Eurasian Wigeon,Anatidae,Mareca penelope,Eurasian Wigeon,Anatidae
Anas americana,American Wigeon,Anatidae,Mareca americana,American Wigeon,Anatidae
Anas sibilatrix,Chiloe Wigeon,Anatidae,Mareca sibilatrix,Chiloe Wigeon,Anatidae
Anas marecula,Amsterdam Duck,Anatidae,Mareca marecula,Amsterdam Duck,Anatidae
Anas falcata,Falcated Duck,Anatidae,Mareca falcata,Falcated Duck,Anatidae
Anas strepera,Gadwall,Anatidae,Mareca strepera,Gadwall,Anatidae
Anas formosa,Baikal Teal,Anatidae,Sibirionetta formosa,Baikal Teal,Anatidae
Anas crecca,Common Teal,Anatidae,Anas crecca,Green-winged Teal,Anatidae
Anas bernieri,Madagascar Teal,Anatidae,Anas bernieri,Bernier's Teal,Anatidae
,,,Anas gibberifrons,Sunda Teal,Anatidae
Anas gibberifrons,Sunda Teal,Anatidae,,,
,,,Anas albogularis,Andaman Teal,Anatidae
Anas gracilis,Grey Teal,Anatidae,Anas gracilis,Gray Teal,Anatidae
Anas platyrhynchos,Mallard,Anatidae,,,
,,,Anas platyrhynchos,Mallard,Anatidae
,,,Anas diazi,Mexican Duck,Anatidae
Anas poecilorhyncha,Spot-billed Duck,Anatidae,,,
,,,Anas poecilorhyncha,Indian Spot-billed Duck,Anatidae
,,,Anas zonorhyncha,Eastern Spot-billed Duck,Anatidae
Anas puna,Puna Teal,Anatidae,Spatula puna,Puna Teal,Anatidae
Anas versicolor,Silver Teal,Anatidae,Spatula versicolor,Silver Teal,Anatidae
Anas hottentota,Hottentot Teal,Anatidae,Spatula hottentota,Blue-billed Teal,Anatidae
Anas querquedula,Garganey,Anatidae,Spatula querquedula,Garganey,Anatidae
Anas discors,Blue-winged Teal,Anatidae,Spatula discors,Blue-winged Teal,Anatidae
Anas cyanoptera,Cinnamon Teal,Anatidae,Spatula cyanoptera,Cinnamon Teal,Anatidae
Anas platalea,Red Shoveler,Anatidae,Spatula platalea,Red Shoveler,Anatidae
Anas smithii,Cape Shoveler,Anatidae,Spatula smithii,Cape Shoveler,Anatidae
Anas rhynchotis,Australasian Shoveler,Anatidae,Spatula rhynchotis,Australasian Shoveler,Anatidae
Anas clypeata,Northern Shoveler,Anatidae,Spatula clypeata,Northern Shoveler,Anatidae
Marmaronetta angustirostris,Marbled Teal,Anatidae,Marmaronetta angustirostris,Marbled Duck,Anatidae
Melanitta nigra,Black Scoter,Anatidae,,,
,,,Melanitta nigra,Common Scoter,Anatidae
,,,Melanitta americana,Black Scoter,Anatidae
Melanitta fusca,White-winged Scoter,Anatidae,,,
,,,Melanitta fusca,Velvet Scoter,Anatidae
,,,Melanitta deglandi,White-winged Scoter,Anatidae
,,,Melanitta stejnegeri,Stejneger's Scoter,Anatidae
Pandion haliaetus,Osprey,Accipitridae,Pandion haliaetus,Osprey,Pandionidae
Aviceda cuculoides,African Baza,Accipitridae,Aviceda cuculoides,African Cuckoo-Hawk,Accipitridae
Aviceda madagascariensis,Madagascar Baza,Accipitridae,Aviceda madagascariensis,Madagascar Cuckoo-Hawk,Accipitridae
Leptodon cayanensis,Grey-headed Kite,Accipitridae,Leptodon cayanensis,Gray-headed Kite,Accipitridae
Pernis ptilorhyncus,Oriental Honey-buzzard,Accipitridae,Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitridae
Pernis celebensis,Barred Honey-buzzard,Accipitridae,,,
,,,Pernis celebensis,Sulawesi Honey-buzzard,Accipitridae
,,,Pernis steerei,Philippine Honey-buzzard,Accipitridae
Hamirostra melanosternon,Black-breasted Buzzard,Accipitridae,Hamirostra melanosternon,Black-breasted Kite,Accipitridae
Elanoides forficatus,American Swallow-tailed Kite,Accipitridae,Elanoides forficatus,Swallow-tailed Kite,Accipitridae
Chelictinia riocourii,African Swallow-tailed Kite,Accipitridae,Chelictinia riocourii,Scissor-tailed Kite,Accipitridae
Haliaeetus leucogaster,White-bellied Sea-eagle,Accipitridae,Icthyophaga leucogaster,White-bellied Sea-Eagle,Accipitridae
Haliaeetus sanfordi,Sanford's Sea-eagle,Accipitridae,Icthyophaga sanfordi,Sanford's Sea-Eagle,Accipitridae
Haliaeetus vocifer,African Fish-eagle,Accipitridae,Icthyophaga vocifer,African Fish-Eagle,Accipitridae
Haliaeetus vociferoides,Madagascar Fish-eagle,Accipitridae,Icthyophaga vociferoides,Madagascar Fish-Eagle,Accipitridae
Ichthyophaga humilis,Lesser Fish-eagle,Accipitridae,Icthyophaga humilis,Lesser Fish-Eagle,Accipitridae
Ichthyophaga ichthyaetus,Grey-headed Fish-eagle,Accipitridae,Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,Accipitridae
Gypaetus barbatus,Lammergeier,Accipitridae,Gypaetus barbatus,Bearded Vulture,Accipitridae
Gyps rueppellii,Rueppell's Vulture,Accipitridae,Gyps rueppelli,Rüppell's Griffon,Accipitridae
Gyps himalayensis,Himalayan Vulture,Accipitridae,Gyps himalayensis,Himalayan Griffon,Accipitridae
Gyps fulvus,Griffon Vulture,Accipitridae,Gyps fulvus,Eurasian Griffon,Accipitridae
Gyps coprotheres,Cape Vulture,Accipitridae,Gyps coprotheres,Cape Griffon,Accipitridae
Circaetus fasciolatus,Southern Banded Snake-eagle,Accipitridae,Circaetus fasciolatus,Fasciated Snake-Eagle,Accipitridae
Spilornis klossi,South Nicobar Serpent-eagle,Accipitridae,Spilornis klossi,Nicobar Serpent-Eagle,Accipitridae
Circus aeruginosus,Western Marsh-harrier,Accipitridae,Circus aeruginosus,Western Marsh Harrier,Accipitridae
Circus ranivorus,African Marsh-harrier,Accipitridae,Circus ranivorus,African Marsh Harrier,Accipitridae
Circus spilonotus,Eastern Marsh-harrier,Accipitridae,,,
,,,Circus spilonotus,Eastern Marsh Harrier,Accipitridae
,,,Circus spilothorax,Papuan Harrier,Accipitridae
Circus macrosceles,Madagascar Harrier,Accipitridae,Circus macrosceles,Malagasy Harrier,Accipitridae
Circus cyaneus,Northern Harrier,Accipitridae,,,
,,,Circus cyaneus,Hen Harrier,Accipitridae
,,,Circus hudsonius,Northern Harrier,Accipitridae
Melierax gabar,Gabar Goshawk,Accipitridae,Micronisus gabar,Gabar Goshawk,Accipitridae
Accipiter soloensis,Chinese Goshawk,Accipitridae,Accipiter soloensis,Chinese Sparrowhawk,Accipitridae
Accipiter novaehollandiae,Grey Goshawk,Accipitridae,,,
,,,Accipiter novaehollandiae,Gray Goshawk,Accipitridae
,,,Accipiter hiogaster,Variable Goshawk,Accipitridae
,,,Accipiter fasciatus,Brown Goshawk,Accipitridae
Accipiter fasciatus,Brown Goshawk,Accipitridae,,,
Accipiter haplochrous,White-bellied Goshawk,Accipitridae,Accipiter haplochrous,New Caledonian Goshawk,Accipitridae
Accipiter luteoschistaceus,Slaty-mantled Sparrowhawk,Accipitridae,Accipiter luteoschistaceus,Slaty-mantled Goshawk,Accipitridae
Accipiter poliocephalus,Grey-headed Goshawk,Accipitridae,Accipiter poliocephalus,Gray-headed Goshawk,Accipitridae
Accipiter superciliosus,Tiny Hawk,Accipitridae,Microspizias superciliosus,Tiny Hawk,Accipitridae
Accipiter collaris,Semicollared Hawk,Accipitridae,Microspizias collaris,Semicollared Hawk,Accipitridae
,,,Accipiter gularis,Japanese Sparrowhawk,Accipitridae
Accipiter gularis,Japanese Sparrowhawk,Accipitridae,,,
Accipiter virgatus,Besra,Accipitridae,,,
,,,Accipiter virgatus,Besra,Accipitridae
Accipiter cirrocephalus,Collared Sparrowhawk,Accipitridae,,,
,,,Accipiter cirrocephalus,Collared Sparrowhawk,Accipitridae
Accipiter ovampensis,Ovampo Sparrowhawk,Accipitridae,Accipiter ovampensis,Ovambo Sparrowhawk,Accipitridae
Accipiter rufiventris,Rufous-chested Sparrowhawk,Accipitridae,Accipiter rufiventris,Rufous-breasted Sparrowhawk,Accipitridae
Accipiter bicolor,Bicoloured Hawk,Accipitridae,,,
,,,Accipiter bicolor,Bicolored Hawk,Accipitridae
,,,Accipiter chilensis,Chilean Hawk,Accipitridae
Accipiter gentilis,Northern Goshawk,Accipitridae,,,
,,,Accipiter gentilis,Eurasian Goshawk,Accipitridae
,,,Accipiter atricapillus,American Goshawk,Accipitridae
Butastur indicus,Grey-faced Buzzard,Accipitridae,Butastur indicus,Gray-faced Buzzard,Accipitridae
Leucopternis plumbeus,Plumbeous Hawk,Accipitridae,Cryptoleucopteryx plumbea,Plumbeous Hawk,Accipitridae
Leucopternis schistaceus,Slate-coloured Hawk,Accipitridae,Buteogallus schistaceus,Slate-colored Hawk,Accipitridae
Leucopternis princeps,Barred Hawk,Accipitridae,Morphnarchus princeps,Barred Hawk,Accipitridae
Leucopternis lacernulatus,White-necked Hawk,Accipitridae,Buteogallus lacernulatus,White-necked Hawk,Accipitridae
Leucopternis albicollis,White Hawk,Accipitridae,Pseudastur albicollis,White Hawk,Accipitridae
