CommonName,ScientificName,Notes
Square-tailed Kite,Lophoictinia isura,
Pacific Baza,Aviceda subcristata,
Little Eagle,Hieraaetus morphnoides,
Wedge-tailed Eagle,Aquila audax,
Swamp Harrier,Circus approximans,
Brown Goshawk,Accipiter fasciatus,
Collared Sparrowhawk,Accipiter cirrocephalus,
Black Kite,Milvus migrans,
Whistling Kite,Haliastur sphenurus,
Brahminy Kite,Haliastur indus,
White-bellied Sea-Eagle,Icthyophaga leucogaster,
,,
STRIGIFORMES: Tytonidae,,
Australian Masked-Owl,Tyto novaehollandiae,
Barn Owl,Tyto alba,
,,
STRIGIFORMES: Strigidae,,
Southern Boobook,Ninox boobook,
,,
CORACIIFORMES: Alcedinidae,,
Azure Kingfisher,Ceyx azureus,
Little Kingfisher,Ceyx pusillus,
Blue-winged Kookaburra,Dacelo leachii,
Red-backed Kingfisher,Todiramphus pyrrhopygius,Endemic (country/region)
Forest Kingfisher,Todiramphus macleayii,
Torresian Kingfisher,Todiramphus sordidus,
Sacred Kingfisher,Todiramphus sanctus,
,,
CORACIIFORMES: Meropidae,,
Rainbow Bee-eater,Merops ornatus,
,,
CORACIIFORMES: Coraciidae,,
Dollarbird,Eurystomus orientalis,
,,
FALCONIFORMES: Falconidae,,
Nankeen Kestrel,Falco cenchroides,
Australian Hobby,Falco longipennis,
Brown Falcon,Falco berigora,
Peregrine Falcon,Falco peregrinus,
,,
PSITTACIFORMES: Cacatuidae,,
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,Endemic (country/region)
Galah,Eolophus roseicapilla,Endemic (country/region)
Little Corella,Cacatua sanguinea,
Sulphur-crested Cockatoo,Cacatua galerita,
,,
PSITTACIFORMES: Psittaculidae,,
Red-winged Parrot,Aprosmictus erythropterus,
Varied Lorikeet,Psitteuteles versicolor,Endemic (country/region)
Red-collared Lorikeet,Trichoglossus rubritorquis,Endemic (country/region)
,,
PASSERIFORMES: Pittidae,,
Rainbow Pitta,Pitta iris,Endemic (country/region)
,,
PASSERIFORMES: Ptilonorhynchidae,,
Great Bowerbird,Chlamydera nuchalis,Endemic (country/region)
,,
PASSERIFORMES: Climacteridae,,
Black-tailed Treecreeper,Climacteris melanurus,Endemic (country/region)
,,
PASSERIFORMES: Maluridae,,
Red-backed Fairywren,Malurus melanocephalus,Endemic (country/region)
,,
PASSERIFORMES: Meliphagidae,,
White-gaped Honeyeater,Stomiopera unicolor,Endemic (country/region)
Yellow-throated Miner,Manorina flavigula,
Singing Honeyeater,Gavicalis virescens,
Yellow-tinted Honeyeater,Ptilotula flavescens,
Bar-breasted Honeyeater,Ramsayornis fasciatus,Endemic (country/region)
Rufous-banded Honeyeater,Conopophila albogularis,
Rufous-throated Honeyeater,Conopophila rufogularis,
Dusky Myzomela,Myzomela obscura,
Red-headed Myzomela,Myzomela erythrocephala,
Banded Honeyeater,Cissomela pectoralis,Endemic (country/region)
Brown Honeyeater,Lichmera indistincta,
Blue-faced Honeyeater,Entomyzon cyanotis,
White-throated Honeyeater,Melithreptus albogularis,
Black-chinned Honeyeater,Melithreptus gularis,Endemic (country/region)
Little Friarbird,Philemon citreogularis,
Helmeted Friarbird,Philemon buceroides,
Silver-crowned Friarbird,Philemon argenticeps,Endemic (country/region)
,,
PASSERIFORMES: Pardalotidae,,
Red-browed Pardalote,Pardalotus rubricatus,Endemic (country/region)
Striated Pardalote,Pardalotus striatus,Endemic (country/region)
,,
PASSERIFORMES: Acanthizidae,,
Green-backed Gerygone,Gerygone chloronota,
Large-billed Gerygone,Gerygone magnirostris,
White-throated Gerygone,Gerygone olivacea,
Mangrove Gerygone,Gerygone levigaster,
,,
PASSERIFORMES: Pomatostomidae,,
Gray-crowned Babbler,Pomatostomus temporalis,
,,
PASSERIFORMES: Campephagidae,,
Black-faced Cuckooshrike,Coracina novaehollandiae,
White-bellied Cuckooshrike,Coracina papuensis,
White-winged Triller,Lalage tricolor,
Varied Triller,Lalage leucomela,
Common Cicadabird,Edolisoma tenuirostre,
,,
PASSERIFORMES: Neosittidae,,
Varied Sittella,Daphoenositta chrysoptera,
,,
PASSERIFORMES: Pachycephalidae,,
Sandstone Shrikethrush,Colluricincla woodwardi,Endemic (country/region)
Gray Shrikethrush,Colluricincla harmonica,
Black-tailed Whistler,Pachycephala melanura,
Gray Whistler,Pachycephala simplex,
Rufous Whistler,Pachycephala rufiventris,
White-breasted Whistler,Pachycephala lanioides,
,,
PASSERIFORMES: Oriolidae,,
Olive-backed Oriole,Oriolus sagittatus,
Green Oriole,Oriolus flavocinctus,
Australasian Figbird,Sphecotheres vieilloti,
,,
PASSERIFORMES: Artamidae,,
White-breasted Woodswallow,Artamus leucorynchus,
Masked Woodswallow,Artamus personatus,
Black-faced Woodswallow,Artamus cinereus,
Little Woodswallow,Artamus minor,Endemic (country/region)
Pied Butcherbird,Cracticus nigrogularis,Endemic (country/region)
Australian Magpie,Gymnorhina tibicen,
,,
PASSERIFORMES: Rhipiduridae,,
Northern Fantail,Rhipidura rufiventris,
Willie-wagtail,Rhipidura leucophrys,
Arafura Fantail,Rhipidura dryas,
Mangrove Fantail,Rhipidura phasiana,
,,
PASSERIFORMES: Dicruridae,,
Spangled Drongo,Dicrurus bracteatus,
,,
PASSERIFORMES: Monarchidae,,
Magpie-lark,Grallina cyanoleuca,
Leaden Flycatcher,Myiagra rubecula,
Broad-billed Flycatcher,Myiagra ruficollis,
Paperbark Flycatcher,Myiagra nana,
Shining Flycatcher,Myiagra alecto,
,,
PASSERIFORMES: Corvidae,,
Torresian Crow,Corvus orru,
,,
PASSERIFORMES: Petroicidae,,
Lemon-bellied Flyrobin,Microeca flavigaster,
Jacky-winter,Microeca fascinans,
Mangrove Robin,Melanodryas pulverulenta,
,,
PASSERIFORMES: Cisticolidae,,
Zitting Cisticola,Cisticola juncidis,
Golden-headed Cisticola,Cisticola exilis,
,,
PASSERIFORMES: Locustellidae,,
Brown Songlark,Cincloramphus cruralis,Endemic (country/region)
Rufous Songlark,Cincloramphus mathewsi,Endemic (country/region)
Tawny Grassbird,Cincloramphus timoriensis,
,,
PASSERIFORMES: Hirundinidae,,
Barn Swallow,Hirundo rustica,
Fairy Martin,Petrochelidon ariel,Endemic (country/region)
Tree Martin,Petrochelidon nigricans,
,,
PASSERIFORMES: Zosteropidae,,
Australian Yellow White-eye,Zosterops luteus,Endemic (country/region)
,,
PASSERIFORMES: Dicaeidae,,
Mistletoebird,Dicaeum hirundinaceum,
,,
PASSERIFORMES: Estrildidae,,
Crimson Finch,Neochmia phaeton,
Double-barred Finch,Stizoptera bichenovii,Endemic (country/region)
Zebra Finch,Taeniopygia guttata,
Long-tailed Finch,Poephila acuticauda,Endemic (country/region)
Chestnut-breasted Munia,Lonchura castaneothorax,
,,
PASSERIFORMES: Motacillidae,,
Eastern Yellow Wagtail,Motacilla tschutschensis,Rare/Accidental
Australian Pipit,Anthus australis,
