CommonName,ScientificName2023,Notes
Plain-breasted Ground Dove,Columbina minuta,
Ruddy Ground Dove,Columbina talpacoti,
Blue Ground Dove,Claravis pretiosa,
Maroon-chested Ground Dove,Paraclaravis mondetoura,
Ruddy Quail-Dove,Geotrygon montana,
White-tipped Dove,Leptotila verreauxi,
Gray-chested Dove,Leptotila cassinii,
Gray-headed Dove,Leptotila plumbeiceps,
White-faced Quail-Dove,Zentrygon albifacies,
White-winged Dove,Zenaida asiatica,
Mourning Dove,Zenaida macroura,
,,
CUCULIFORMES: Cuculidae,,
Groove-billed Ani,Crotophaga sulcirostris,
Striped Cuckoo,Tapera naevia,
Pheasant Cuckoo,Dromococcyx phasianellus,
Lesser Ground-Cuckoo,Morococcyx erythropygus,
Lesser Roadrunner,Geococcyx velox,
Squirrel Cuckoo,Piaya cayana,
Yellow-billed Cuckoo,Coccyzus americanus,
Mangrove Cuckoo,Coccyzus minor,
Black-billed Cuckoo,Coccyzus erythropthalmus,
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Lesser Nighthawk,Chordeiles acutipennis,
Common Nighthawk,Chordeiles minor,
Short-tailed Nighthawk,Lurocalis semitorquatus,
Common Pauraque,Nyctidromus albicollis,
Spot-tailed Nightjar,Hydropsalis maculicaudus,
Eared Poorwill,Nyctiphrynus mcleodii,Endemic (country/region)
Chuck-will's-widow,Antrostomus carolinensis,
Tawny-collared Nightjar,Antrostomus salvini,Rare/Accidental
Buff-collared Nightjar,Antrostomus ridgwayi,
Eastern Whip-poor-will,Antrostomus vociferus,
Mexican Whip-poor-will,Antrostomus arizonae,
,,
CAPRIMULGIFORMES: Nyctibiidae,,
Great Potoo,Nyctibius grandis,
Northern Potoo,Nyctibius jamaicensis,
,,
CAPRIMULGIFORMES: Apodidae,,
Black Swift,Cypseloides niger,
White-fronted Swift,Cypseloides storeri,Endemic (country/region)
Chestnut-collared Swift,Streptoprocne rutila,
White-collared Swift,Streptoprocne zonaris,
White-naped Swift,Streptoprocne semicollaris,Rare/Accidental
Chimney Swift,Chaetura pelagica,
Vaux's Swift,Chaetura vauxi,
White-throated Swift,Aeronautes saxatalis,
Lesser Swallow-tailed Swift,Panyptila cayennensis,
Great Swallow-tailed Swift,Panyptila sanctihieronymi,
,,
CAPRIMULGIFORMES: Trochilidae,,
White-necked Jacobin,Florisuga mellivora,
Long-billed Hermit,Phaethornis longirostris,
Stripe-throated Hermit,Phaethornis striigularis,
Mexican Violetear,Colibri thalassinus,
Purple-crowned Fairy,Heliothryx barroti,
Green-breasted Mango,Anthracothorax prevostii,
Black-crested Coquette,Lophornis helenae,
Rivoli's Hummingbird,Eugenes fulgens,
Long-billed Starthroat,Heliomaster longirostris,
Plain-capped Starthroat,Heliomaster constantii,
Green-throated Mountain-gem,Lampornis viridipallens,
Amethyst-throated Mountain-gem,Lampornis amethystinus,
Garnet-throated Hummingbird,Lamprolaima rhami,
Sparkling-tailed Hummingbird,Tilmatura dupontii,
Slender Sheartail,Doricha enicura,
Beautiful Hummingbird,Calothorax pulcher,Endemic (country/region)
Ruby-throated Hummingbird,Archilochus colubris,
Black-chinned Hummingbird,Archilochus alexandri,
Rufous Hummingbird,Selasphorus rufus,
Broad-tailed Hummingbird,Selasphorus platycercus,
Wine-throated Hummingbird,Selasphorus ellioti,
Broad-billed Hummingbird,Cynanthus latirostris,
Turquoise-crowned Hummingbird,Cynanthus doubledayi,Endemic (country/region)
Golden-crowned Emerald,Cynanthus auriceps,Endemic (country/region)
Canivet's Emerald,Cynanthus canivetii,
White-eared Hummingbird,Basilinna leucotis,
Wedge-tailed Sabrewing,Pampa curvipennis,
Rufous Sabrewing,Pampa rufa,
Emerald-chinned Hummingbird,Abeillia abeillei,
Violet Sabrewing,Campylopterus hemileucurus,
Stripe-tailed Hummingbird,Eupherusa eximia,
Scaly-breasted Hummingbird,Phaeochroa cuvierii,Rare/Accidental
Violet-crowned Hummingbird,Ramosomyia violiceps,
Green-fronted Hummingbird,Ramosomyia viridifrons,
Azure-crowned Hummingbird,Saucerottia cyanocephala,
Berylline Hummingbird,Saucerottia beryllina,
Blue-tailed Hummingbird,Saucerottia cyanura,
Cinnamon Hummingbird,Amazilia rutila,
Buff-bellied Hummingbird,Amazilia yucatanensis,
Rufous-tailed Hummingbird,Amazilia tzacatl,
White-bellied Emerald,Chlorestes candida,
Blue-throated Goldentail,Chlorestes eliciae,
,,
GRUIFORMES: Rallidae,,
Virginia Rail,Rallus limicola,
Spotted Rail,Pardirallus maculatus,
Uniform Crake,Amaurolimnas concolor,
Rufous-necked Wood-Rail,Aramides axillaris,
Russet-naped Wood-Rail,Aramides albiventris,
Sora,Porzana carolina,
Common Gallinule,Gallinula galeata,
American Coot,Fulica americana,
Purple Gallinule,Porphyrio martinica,
Yellow-breasted Crake,Hapalocrex flaviventer,
Ruddy Crake,Laterallus ruber,
Gray-breasted Crake,Laterallus exilis,Rare/Accidental
,,
GRUIFORMES: Heliornithidae,,
Sungrebe,Heliornis fulica,
,,
GRUIFORMES: Aramidae,,
Limpkin,Aramus guarauna,
,,
CHARADRIIFORMES: Burhinidae,,
Double-striped Thick-knee,Hesperoburhinus bistriatus,
,,
CHARADRIIFORMES: Recurvirostridae,,
Black-necked Stilt,Himantopus mexicanus,
American Avocet,Recurvirostra americana,
,,
CHARADRIIFORMES: Haematopodidae,,
American Oystercatcher,Haematopus palliatus,
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
American Golden-Plover,Pluvialis dominica,
Pacific Golden-Plover,Pluvialis fulva,Rare/Accidental
Killdeer,Charadrius vociferus,
Semipalmated Plover,Charadrius semipalmatus,
Southern Lapwing,Vanellus chilensis,Rare/Accidental
Wilson's Plover,Anarhynchus wilsonia,
Collared Plover,Anarhynchus collaris,
Snowy Plover,Anarhynchus nivosus,
,,
CHARADRIIFORMES: Jacanidae,,
Northern Jacana,Jacana spinosa,
,,
CHARADRIIFORMES: Scolopacidae,,
Upland Sandpiper,Bartramia longicauda,
Whimbrel,Numenius phaeopus,
Long-billed Curlew,Numenius americanus,
Hudsonian Godwit,Limosa haemastica,Rare/Accidental
Marbled Godwit,Limosa fedoa,
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,
Wilson's Snipe,Gallinago delicata,
Wilson's Phalarope,Phalaropus tricolor,
Red Phalarope,Phalaropus fulicarius,
Red-necked Phalarope,Phalaropus lobatus,
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,
Wandering Tattler,Tringa incana,
Lesser Yellowlegs,Tringa flavipes,
Willet,Tringa semipalmata,
Greater Yellowlegs,Tringa melanoleuca,
Ruddy Turnstone,Arenaria interpres,
Red Knot,Calidris canutus,
Surfbird,Calidris virgata,
Stilt Sandpiper,Calidris himantopus,
Buff-breasted Sandpiper,Calidris subruficollis,
Sanderling,Calidris alba,
Dunlin,Calidris alpina,Rare/Accidental
Baird's Sandpiper,Calidris bairdii,
White-rumped Sandpiper,Calidris fuscicollis,
Least Sandpiper,Calidris minutilla,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Semipalmated Sandpiper,Calidris pusilla,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Jaeger,Stercorarius longicaudus,
Parasitic Jaeger,Stercorarius parasiticus,
Pomarine Jaeger,Stercorarius pomarinus,
South Polar Skua,Stercorarius maccormicki,
,,
CHARADRIIFORMES: Laridae,,
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,
Laughing Gull,Leucophaeus atricilla,
Franklin's Gull,Leucophaeus pipixcan,
Heermann's Gull,Larus heermanni,Rare/Accidental
Ring-billed Gull,Larus delawarensis,
Herring Gull,Larus argentatus,
California Gull,Larus californicus,Rare/Accidental
Black Skimmer,Rynchops niger,
Brown Noddy,Anous stolidus,
Sooty Tern,Onychoprion fuscatus,
Least Tern,Sternula antillarum,
Gull-billed Tern,Gelochelidon nilotica,
Caspian Tern,Hydroprogne caspia,
Black Tern,Chlidonias niger,
Forster's Tern,Sterna forsteri,
Arctic Tern,Sterna paradisaea,
Common Tern,Sterna hirundo,
Sandwich Tern,Thalasseus sandvicensis,
Elegant Tern,Thalasseus elegans,
Royal Tern,Thalasseus maximus,
,,
EURYPYGIFORMES: Eurypygidae,,
Sunbittern,Eurypyga helias,Rare/Accidental
,,
PHAETHONTIFORMES: Phaethontidae,,
White-tailed Tropicbird,Phaethon lepturus,Rare/Accidental
Red-billed Tropicbird,Phaethon aethereus,
,,
PROCELLARIIFORMES: Hydrobatidae,,
Leach's Storm-Petrel,Hydrobates leucorhous,
Wedge-rumped Storm-Petrel,Hydrobates tethys,
Black Storm-Petrel,Hydrobates melania,
Least Storm-Petrel,Hydrobates microsoma,
,,
PROCELLARIIFORMES: Procellariidae,,
Juan Fernandez Petrel,Pterodroma externa,
Galapagos Petrel,Pterodroma phaeopygia,
Tahiti Petrel,Pseudobulweria rostrata,
Parkinson's Petrel,Procellaria parkinsoni,Rare/Accidental
Pink-footed Shearwater,Ardenna creatopus,
Wedge-tailed Shearwater,Ardenna pacifica,
Sooty Shearwater,Ardenna grisea,
Christmas Shearwater,Puffinus nativitatis,Rare/Accidental
Galapagos Shearwater,Puffinus subalaris,
Townsend's Shearwater,Puffinus auricularis,Endemic (country/region)
Audubon's Shearwater,Puffinus lherminieri,
,,
CICONIIFORMES: Ciconiidae,,
Jabiru,Jabiru mycteria,
Wood Stork,Mycteria americana,
,,
SULIFORMES: Fregatidae,,
Magnificent Frigatebird,Fregata magnificens,
,,
SULIFORMES: Sulidae,,
Red-footed Booby,Sula sula,
Brown Booby,Sula leucogaster,
Masked Booby,Sula dactylatra,
Nazca Booby,Sula granti,
Blue-footed Booby,Sula nebouxii,
,,
SULIFORMES: Anhingidae,,
Anhinga,Anhinga anhinga,
,,
SULIFORMES: Phalacrocoracidae,,
Double-crested Cormorant,Nannopterum auritum,Rare/Accidental
Neotropic Cormorant,Nannopterum brasilianum,
,,
PELECANIFORMES: Pelecanidae,,
American White Pelican,Pelecanus erythrorhynchos,
Brown Pelican,Pelecanus occidentalis,
,,
PELECANIFORMES: Ardeidae,,
Bare-throated Tiger-Heron,Tigrisoma mexicanum,
Boat-billed Heron,Cochlearius cochlearius,
Agami Heron,Agamia agami,
American Bittern,Botaurus lentiginosus,
Pinnated Bittern,Botaurus pinnatus,
Least Bittern,Ixobrychus exilis,
Yellow-crowned Night Heron,Nyctanassa violacea,
Black-crowned Night Heron,Nycticorax nycticorax,
Little Blue Heron,Egretta caerulea,
Tricolored Heron,Egretta tricolor,
Reddish Egret,Egretta rufescens,
Snowy Egret,Egretta thula,
Green Heron,Butorides virescens,
Western Cattle Egret,Bubulcus ibis,
Great Egret,Ardea alba,
Great Blue Heron,Ardea herodias,
,,
PELECANIFORMES: Threskiornithidae,,
White Ibis,Eudocimus albus,
Glossy Ibis,Plegadis falcinellus,
White-faced Ibis,Plegadis chihi,
Roseate Spoonbill,Platalea ajaja,
,,
CATHARTIFORMES: Cathartidae,,
King Vulture,Sarcoramphus papa,
Black Vulture,Coragyps atratus,
Turkey Vulture,Cathartes aura,
Lesser Yellow-headed Vulture,Cathartes burrovianus,
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
White-tailed Kite,Elanus leucurus,
Hook-billed Kite,Chondrohierax uncinatus,
Gray-headed Kite,Leptodon cayanensis,
Swallow-tailed Kite,Elanoides forficatus,
Crested Eagle,Morphnus guianensis,Rare/Accidental
Harpy Eagle,Harpia harpyja,
Black Hawk-Eagle,Spizaetus tyrannus,
Ornate Hawk-Eagle,Spizaetus ornatus,
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,
Black-collared Hawk,Busarellus nigricollis,
Snail Kite,Rostrhamus sociabilis,
Double-toothed Kite,Harpagus bidentatus,
Mississippi Kite,Ictinia mississippiensis,
Plumbeous Kite,Ictinia plumbea,
Northern Harrier,Circus hudsonius,
Sharp-shinned Hawk,Accipiter striatus,
Cooper's Hawk,Accipiter cooperii,
Bicolored Hawk,Accipiter bicolor,
Crane Hawk,Geranospiza caerulescens,
Common Black Hawk,Buteogallus anthracinus,
Great Black Hawk,Buteogallus urubitinga,
Solitary Eagle,Buteogallus solitarius,
Roadside Hawk,Rupornis magnirostris,
Harris's Hawk,Parabuteo unicinctus,
White-tailed Hawk,Geranoaetus albicaudatus,
White Hawk,Pseudastur albicollis,
Gray Hawk,Buteo plagiatus,
Red-shouldered Hawk,Buteo lineatus,
Broad-winged Hawk,Buteo platypterus,
Short-tailed Hawk,Buteo brachyurus,
Swainson's Hawk,Buteo swainsoni,
Zone-tailed Hawk,Buteo albonotatus,
Red-tailed Hawk,Buteo jamaicensis,
,,
STRIGIFORMES: Tytonidae,,
Barn Owl,Tyto alba,
,,
STRIGIFORMES: Strigidae,,
Flammulated Owl,Psiloscops flammeolus,
Whiskered Screech-Owl,Megascops trichopsis,
Middle American Screech-Owl,Megascops guatemalae,
Bearded Screech-Owl,Megascops barbarus,
Pacific Screech-Owl,Megascops cooperi,
Crested Owl,Lophostrix cristata,
Spectacled Owl,Pulsatrix perspicillata,
Great Horned Owl,Bubo virginianus,
Northern Pygmy-Owl,Glaucidium gnoma,
Central American Pygmy-Owl,Glaucidium griseiceps,
Ferruginous Pygmy-Owl,Glaucidium brasilianum,
Burrowing Owl,Athene cunicularia,
Mottled Owl,Strix virgata,
Black-and-white Owl,Strix nigrolineata,
Fulvous Owl,Strix fulvescens,
Striped Owl,Asio clamator,
Stygian Owl,Asio stygius,
Unspotted Saw-whet Owl,Aegolius ridgwayi,
,,
TROGONIFORMES: Trogonidae,,
Resplendent Quetzal,Pharomachrus mocinno,
Slaty-tailed Trogon,Trogon massena,
Black-headed Trogon,Trogon melanocephalus,
Citreoline Trogon,Trogon citreolus,Endemic (country/region)
Gartered Trogon,Trogon caligatus,
Mountain Trogon,Trogon mexicanus,
Collared Trogon,Trogon collaris,
,,
CORACIIFORMES: Momotidae,,
Tody Motmot,Hylomanes momotula,
Blue-throated Motmot,Aspatha gularis,
Russet-crowned Motmot,Momotus mexicanus,
Blue-capped Motmot,Momotus coeruliceps,Endemic (country/region)
Lesson's Motmot,Momotus lessonii,
Keel-billed Motmot,Electron carinatum,
Turquoise-browed Motmot,Eumomota superciliosa,
,,
CORACIIFORMES: Alcedinidae,,
Ringed Kingfisher,Megaceryle torquata,
Belted Kingfisher,Megaceryle alcyon,
Amazon Kingfisher,Chloroceryle amazona,
American Pygmy Kingfisher,Chloroceryle aenea,
Green Kingfisher,Chloroceryle americana,
,,
GALBULIFORMES: Bucconidae,,
White-necked Puffbird,Notharchus hyperrhynchus,
White-whiskered Puffbird,Malacoptila panamensis,
,,
GALBULIFORMES: Galbulidae,,
Rufous-tailed Jacamar,Galbula ruficauda,
,,
PICIFORMES: Ramphastidae,,
Northern Emerald-Toucanet,Aulacorhynchus prasinus,
Collared Aracari,Pteroglossus torquatus,
Keel-billed Toucan,Ramphastos sulfuratus,
,,
PICIFORMES: Picidae,,
Yellow-bellied Sapsucker,Sphyrapicus varius,
Acorn Woodpecker,Melanerpes formicivorus,
Black-cheeked Woodpecker,Melanerpes pucherani,
Golden-fronted Woodpecker,Melanerpes aurifrons,
Ladder-backed Woodpecker,Dryobates scalaris,
Hairy Woodpecker,Dryobates villosus,
Smoky-brown Woodpecker,Dryobates fumigatus,
Pale-billed Woodpecker,Campephilus guatemalensis,
Lineated Woodpecker,Dryocopus lineatus,
Chestnut-colored Woodpecker,Celeus castaneus,
Golden-olive Woodpecker,Colaptes rubiginosus,
Gray-crowned Woodpecker,Colaptes auricularis,
Northern Flicker,Colaptes auratus,
,,
FALCONIFORMES: Falconidae,,
Laughing Falcon,Herpetotheres cachinnans,
Collared Forest-Falcon,Micrastur semitorquatus,
Barred Forest-Falcon,Micrastur ruficollis,
Crested Caracara,Caracara plancus,
Red-throated Caracara,Ibycter americanus,
American Kestrel,Falco sparverius,
Merlin,Falco columbarius,
Aplomado Falcon,Falco femoralis,
Bat Falcon,Falco rufigularis,
Orange-breasted Falcon,Falco deiroleucus,
Peregrine Falcon,Falco peregrinus,
,,
PSITTACIFORMES: Psittacidae,,
Barred Parakeet,Bolborhynchus lineola,
Monk Parakeet,Myiopsitta monachus,Introduced species
Orange-chinned Parakeet,Brotogeris jugularis,
Brown-hooded Parrot,Pyrilia haematotis,
White-crowned Parrot,Pionus senilis,
Lilac-crowned Parrot,Amazona finschi,Endemic (country/region)
Red-lored Parrot,Amazona autumnalis,
Yellow-naped Parrot,Amazona auropalliata,
Yellow-headed Parrot,Amazona oratrix,
White-fronted Parrot,Amazona albifrons,
Mealy Parrot,Amazona farinosa,
Olive-throated Parakeet,Eupsittula nana,
Orange-fronted Parakeet,Eupsittula canicularis,
Military Macaw,Ara militaris,Rare/Accidental
Scarlet Macaw,Ara macao,
Green Parakeet,Psittacara holochlorus,
Pacific Parakeet,Psittacara strenuus,
,,
PASSERIFORMES: Thamnophilidae,,
Great Antshrike,Taraba major,
Barred Antshrike,Thamnophilus doliatus,
Russet Antshrike,Thamnistes anabatinus,
Plain Antvireo,Dysithamnus mentalis,
Slaty Antwren,Myrmotherula schisticolor,
Dot-winged Antwren,Microrhopias quixensis,
Dusky Antbird,Cercomacroides tyrannina,
Bare-crowned Antbird,Gymnocichla nudiceps,
,,
PASSERIFORMES: Grallariidae,,
Scaled Antpitta,Grallaria guatimalensis,
,,
PASSERIFORMES: Formicariidae,,
Mayan Antthrush,Formicarius moniliger,
Black-faced Antthrush,Formicarius analis,
,,
PASSERIFORMES: Furnariidae,,
Middle American Leaftosser,Sclerurus mexicanus,
Scaly-throated Leaftosser,Sclerurus guatemalensis,
Olivaceous Woodcreeper,Sittasomus griseicapillus,
Ruddy Woodcreeper,Dendrocincla homochroa,
Tawny-winged Woodcreeper,Dendrocincla anabatina,
Wedge-billed Woodcreeper,Glyphorynchus spirurus,
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,
Black-banded Woodcreeper,Dendrocolaptes picumnus,
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,
Spotted Woodcreeper,Xiphorhynchus erythropygius,
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,
White-striped Woodcreeper,Lepidocolaptes leucogaster,
Spot-crowned Woodcreeper,Lepidocolaptes affinis,
Plain Xenops,Xenops minutus,
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,
Ruddy Foliage-gleaner,Clibanornis rubiginosus,
Fawn-throated Foliage-gleaner,Automolus cervinigularis,
Rufous-breasted Spinetail,Synallaxis erythrothorax,
,,
PASSERIFORMES: Pipridae,,
Long-tailed Manakin,Chiroxiphia linearis,
White-collared Manakin,Manacus candei,
Red-capped Manakin,Ceratopipra mentalis,
,,
PASSERIFORMES: Cotingidae,,
Lovely Cotinga,Cotinga amabilis,
Rufous Piha,Lipaugus unirufus,
,,
PASSERIFORMES: Tityridae,,
Black-crowned Tityra,Tityra inquisitor,
Masked Tityra,Tityra semifasciata,
Northern Schiffornis,Schiffornis veraepacis,
Speckled Mourner,Laniocera rufescens,
Cinnamon Becard,Pachyramphus cinnamomeus,
White-winged Becard,Pachyramphus polychopterus,Rare/Accidental
Gray-collared Becard,Pachyramphus major,
Rose-throated Becard,Pachyramphus aglaiae,
,,
PASSERIFORMES: Oxyruncidae,,
Tropical Royal Flycatcher,Onychorhynchus coronatus,
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,
Sulphur-rumped Flycatcher,Myiobius sulphureipygius,
,,
PASSERIFORMES: Tyrannidae,,
Stub-tailed Spadebill,Platyrinchus cancrominus,
Ochre-bellied Flycatcher,Mionectes oleagineus,
Sepia-capped Flycatcher,Leptopogon amaurocephalus,
Northern Bentbill,Oncostoma cinereigulare,
Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,
Common Tody-Flycatcher,Todirostrum cinereum,
Eye-ringed Flatbill,Rhynchocyclus brevirostris,
Yellow-olive Flatbill,Tolmomyias sulphurescens,
Yellow-bellied Tyrannulet,Ornithion semiflavum,
Northern Beardless-Tyrannulet,Camptostoma imberbe,
Greenish Elaenia,Myiopagis viridicata,
Yellow-bellied Elaenia,Elaenia flavogaster,
Mountain Elaenia,Elaenia frantzii,
Guatemalan Tyrannulet,Zimmerius vilissimus,
Belted Flycatcher,Xenotriccus callizonus,Endemic (country/region)
Tufted Flycatcher,Mitrephanes phaeocercus,
Olive-sided Flycatcher,Contopus cooperi,
Greater Pewee,Contopus pertinax,
Western Wood-Pewee,Contopus sordidulus,
Northern Tropical Pewee,Contopus bogotensis,
Eastern Wood-Pewee,Contopus virens,
Yellow-bellied Flycatcher,Empidonax flaviventris,
Acadian Flycatcher,Empidonax virescens,
Alder Flycatcher,Empidonax alnorum,
Willow Flycatcher,Empidonax traillii,
White-throated Flycatcher,Empidonax albigularis,
Least Flycatcher,Empidonax minimus,
Hammond's Flycatcher,Empidonax hammondii,
Dusky Flycatcher,Empidonax oberholseri,
Pine Flycatcher,Empidonax affinis,
Yellowish Flycatcher,Empidonax flavescens,
Buff-breasted Flycatcher,Empidonax fulvifrons,
Black Phoebe,Sayornis nigricans,
Eastern Phoebe,Sayornis phoebe,
Say's Phoebe,Sayornis saya,Rare/Accidental
Vermilion Flycatcher,Pyrocephalus rubinus,
Flammulated Flycatcher,Ramphotrigon flammulatum,Endemic (country/region)
Bright-rumped Attila,Attila spadiceus,
Rufous Mourner,Rhytipterna holerythra,
Dusky-capped Flycatcher,Myiarchus tuberculifer,
Ash-throated Flycatcher,Myiarchus cinerascens,
Nutting's Flycatcher,Myiarchus nuttingi,
Great Crested Flycatcher,Myiarchus crinitus,
Brown-crested Flycatcher,Myiarchus tyrannulus,
Great Kiskadee,Pitangus sulphuratus,
Boat-billed Flycatcher,Megarynchus pitangua,
Social Flycatcher,Myiozetetes similis,
Streaked Flycatcher,Myiodynastes maculatus,
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,
Piratic Flycatcher,Legatus leucophaius,
Tropical Kingbird,Tyrannus melancholicus,
Couch's Kingbird,Tyrannus couchii,
Cassin's Kingbird,Tyrannus vociferans,
Thick-billed Kingbird,Tyrannus crassirostris,
Western Kingbird,Tyrannus verticalis,
Eastern Kingbird,Tyrannus tyrannus,
Scissor-tailed Flycatcher,Tyrannus forficatus,
Fork-tailed Flycatcher,Tyrannus savana,
,,
PASSERIFORMES: Vireonidae,,
Rufous-browed Peppershrike,Cyclarhis gujanensis,
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,
Green Shrike-Vireo,Vireolanius pulchellus,
Tawny-crowned Greenlet,Tunchiornis ochraceiceps,
Lesser Greenlet,Pachysylvia decurtata,
Golden Vireo,Vireo hypochryseus,Endemic (country/region)
Black-capped Vireo,Vireo atricapilla,
White-eyed Vireo,Vireo griseus,
Mangrove Vireo,Vireo pallens,
Bell's Vireo,Vireo bellii,
Hutton's Vireo,Vireo huttoni,
Yellow-throated Vireo,Vireo flavifrons,
Blue-headed Vireo,Vireo solitarius,
Plumbeous Vireo,Vireo plumbeus,
Philadelphia Vireo,Vireo philadelphicus,
Warbling Vireo,Vireo gilvus,
Brown-capped Vireo,Vireo leucophrys,
Red-eyed Vireo,Vireo olivaceus,
Yellow-green Vireo,Vireo flavoviridis,
,,
PASSERIFORMES: Laniidae,,
Loggerhead Shrike,Lanius ludovicianus,Rare/Accidental
,,
PASSERIFORMES: Corvidae,,
White-throated Jay,Cyanolyca mirabilis,Endemic (country/region)
Black-throated Jay,Cyanolyca pumilo,
Azure-hooded Jay,Cyanolyca cucullata,
White-throated Magpie-Jay,Calocitta formosa,
Brown Jay,Psilorhinus morio,
Green Jay,Cyanocorax yncas,
Yucatan Jay,Cyanocorax yucatanicus,
Steller's Jay,Cyanocitta stelleri,
Unicolored Jay,Aphelocoma unicolor,
Common Raven,Corvus corax,
,,
PASSERIFORMES: Hirundinidae,,
Bank Swallow,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Mangrove Swallow,Tachycineta albilinea,
Violet-green Swallow,Tachycineta thalassina,
Purple Martin,Progne subis,
Gray-breasted Martin,Progne chalybea,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,
Black-capped Swallow,Atticora pileata,
Blue-and-white Swallow,Pygochelidon cyanoleuca,Rare/Accidental
Barn Swallow,Hirundo rustica,
Cliff Swallow,Petrochelidon pyrrhonota,
Cave Swallow,Petrochelidon fulva,
,,
PASSERIFORMES: Aegithalidae,,
Bushtit,Psaltriparus minimus,
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Corthylio calendula,Rare/Accidental
Golden-crowned Kinglet,Regulus satrapa,
,,
PASSERIFORMES: Certhiidae,,
Brown Creeper,Certhia americana,
,,
PASSERIFORMES: Polioptilidae,,
Long-billed Gnatwren,Ramphocaenus melanurus,
White-browed Gnatcatcher,Polioptila bilineata,
Blue-gray Gnatcatcher,Polioptila caerulea,
White-lored Gnatcatcher,Polioptila albiloris,
,,
PASSERIFORMES: Troglodytidae,,
