"","Language","CanonicalName","CommonName","IndexFG","n","ScientificName2023","Genus2023","Family2023","Order2023","ScientificName1974","Genus1974","Family1974","Order1974","ScientificName2021","ScientificNameV3","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","IsoPer","zIsoPer","tSNE1per","tSNE2per","VarPer","IsoPhy","zIsoPhy","Iso23","zIso23","Iso74","zIso74","cBlack","cWhite","cYellow","cBlue","cRed","cGreen","cElaboration","cDiversity","IsoCol","zIsoCol","zcElaboration","zcDiversity","VarPhy"
"11","Anindilyakwa","Thalasseus bergii","Great Crested Tern","Ani.6",2,"Thalasseus bergii","Thalasseus","Laridae","Charadriiformes","Sterna bergii","Sterna","Laridae","Charadriiformes","Thalasseus bergii","Sterna bergii",68.6,44.5,7.1,12.7,30,357.8,249,107.5,69.9,172.4,328,0.92,0.06,1.22808351909733,-3.29718009931955,0.685793703344583,13.76,-1.11,1,-0.82,1,-0.8,0.039743377,0.450022163,0.012919551,0,0,0,30.62800283,29.33333333,0.14,-0.66,0.25,-0.8,16.6317715583689
"12","Anindilyakwa","Sterna hirundo","Common Tern","Ani.7",5,"Sterna hirundo","Sterna","Laridae","Charadriiformes","Sterna hirundo","Sterna","Laridae","Charadriiformes","Sterna hirundo","Sterna hirundo",44.5,24.2,3.8,7,19.5,253.3,170.6,82.6,67.3,129.8,129.2,0.52,-0.62,1.3360169017264,-0.290353296021836,0.828617116760622,23.67,-0.79,1,-0.82,1,-0.8,0.037131051,0.833240104,0,0,0.004490693,0,34.77555837,23.25,0.21,-0.51,0.92,-1.17,42.7947493662143
"13","Anindilyakwa","Thalasseus bengalensis","Lesser Crested Tern","Ani.7",5,"Thalasseus bengalensis","Thalasseus","Laridae","Charadriiformes","Sterna bengalensis","Sterna","Laridae","Charadriiformes","Thalasseus bengalensis","Sterna bengalensis",58.5,39.4,5.8,9.8,24.5,293.2,206,90.2,69.4,134.4,209,0.85,-0.06,1.26542807665137,-1.62798585155076,0.828617116760622,15.95,-1.04,1,-0.82,1,-0.8,0.032736061,0.750505333,0.003226287,0,0.000829211,0,32.61297313,35.5,0.17,-0.6,0.57,-0.42,42.7947493662143
"14","Anindilyakwa","Sterna dougallii","Roseate Tern","Ani.7",5,"Sterna dougallii","Sterna","Laridae","Charadriiformes","Sterna dougallii","Sterna","Laridae","Charadriiformes","Sterna dougallii","Sterna dougallii",45.3,28.9,3.6,7,19.7,223.8,156,69.8,69.1,165.8,112,0.61,-0.47,1.43907807178816,-0.251942987105817,0.828617116760622,23.67,-0.79,1,-0.82,1,-0.8,0.042185326,0.893911014,0,0,0.000269203,0,41.0136343,20.5,0.07,-0.79,1.93,-1.34,42.7947493662143
"15","Anindilyakwa","Sterna sumatrana","Black-naped Tern","Ani.7",5,"Sterna sumatrana","Sterna","Laridae","Charadriiformes","Sterna sumatrana","Sterna","Laridae","Charadriiformes","Sterna sumatrana","Sterna sumatrana",39.1,25,3.5,6,18.5,215.5,142,73.5,65.9,120.5,106,0.52,-0.62,1.26587283460045,0.423882592385167,0.828617116760622,23.21,-0.8,1,-0.82,1,-0.8,0.038924254,0.878410305,3.37e-05,7.87e-05,0,0,38.39367886,21,0.07,-0.79,1.51,-1.31,42.7947493662143
"16","Anindilyakwa","Onychoprion anaethetus","Bridled Tern","Ani.9",3,"Onychoprion anaethetus","Onychoprion","Laridae","Charadriiformes","Sterna anaethetus","Sterna","Laridae","Charadriiformes","Onychoprion anaethetus","Sterna anaethetus",45.5,28.4,5.4,7.9,20.6,273.6,182,89,67.2,182.8,119.4,0.69,-0.34,1.25091603320704,-1.02748047353248,0.941389123896156,34.28,-0.45,2,0.48,1,-0.8,0.186056011,0.530860455,0,0,0,0,34.53779978,15,0.21,-0.5,0.88,-1.68,63.8331155819266
"17","Anindilyakwa","Anous stolidus","Brown Noddy","Ani.9",3,"Anous stolidus","Anous","Laridae","Charadriiformes","Anous stolidus","Anous","Laridae","Charadriiformes","Anous stolidus","Anous stolidus",45.6,25.2,4.7,7.6,25.8,265.4,160.8,94.5,63,145.2,177.8,0.69,-0.34,1.03454598558248,-0.918404985365281,0.941389123896156,22.51,-0.83,2,0.48,2,0.56,0.221289,0.039874688,0,0,0,0,20.16798818,16.66666667,0.11,-0.7,-1.45,-1.58,63.8331155819266
"18","Anindilyakwa","Chlidonias leucopterus","White-winged Tern","Ani.9",3,"Chlidonias leucopterus","Chlidonias","Laridae","Charadriiformes","Chlidonias leucoptera","Chlidonias","Laridae","Charadriiformes","Chlidonias leucopterus","Chlidonias leucopterus",30,16.7,3.8,5.7,18.7,208.2,126.9,79.9,61.4,75.4,54.2,1.13,0.43,1.00918611690626,1.30473709280835,0.941389123896156,34.44,-0.44,2,0.48,2,0.56,0.419196098,0.175107782,0,0,0.007446763,0,30.55071582,33,0.4,-0.13,0.23,-0.58,63.8331155819266
"19","Anindilyakwa","Pelecanus conspicillatus","Australian Pelican","Ani.11",1,"Pelecanus conspicillatus","Pelecanus","Pelecanidae","Pelecaniformes","Pelecanus conspicillatus","Pelecanus","Pelecanidae","Pelecaniformes","Pelecanus conspicillatus","Pelecanus conspicillatus",414.2,389.8,46.9,48.2,114.5,601.5,282,319.6,47,151.2,5505,2.14,2.16,0.139801168772111,-7.30852566924792,0,101.5,1.71,3,1.77,3,1.92,0.428310224,0.287349535,0.00114277,0.002418863,0.000323739,0,33.04844994,48,0.26,-0.4,0.64,0.34,0
"20","Anindilyakwa","Anhinga novaehollandiae","Australasian Darter","Ani.12",1,"Anhinga novaehollandiae","Anhinga","Anhingidae","Suliformes","Anhinga novaehollandiae","Anhinga","Anhingidae","Pelecaniformes","Anhinga novaehollandiae","Anhinga novaehollandiae",87.1,75,9.4,12.6,51.3,353,153.3,199.7,43.5,219,1480.1,1.24,0.61,0.223686695603321,-4.8862131120602,0,78.04,0.96,3,1.77,3,1.92,0.658085872,0.072856408,0.000707032,0,0,0,35.15146818,37,0.26,-0.4,0.98,-0.33,0
"21","Anindilyakwa","Microcarbo melanoleucos","Little Pied Cormorant","Ani.13",4,"Microcarbo melanoleucos","Microcarbo","Phalacrocoracidae","Suliformes","Phalacrocorax melanoleucos","Phalacrocorax","Phalacrocoracidae","Pelecaniformes","Microcarbo melanoleucos","Phalacrocorax melanoleucos",37.4,27.5,7.6,11.4,37.6,218.8,80.5,138.2,36.8,153,727.4,0.84,-0.07,-0.41344040445254,-2.04356297185511,0.99182738040255,31.37,-0.54,2,0.48,1,-0.8,0.542948303,0.176421446,0.002372735,1.13e-05,0,1.13e-05,33.41511002,36.5,0.44,-0.05,0.7,-0.36,41.8072720670332
"22","Anindilyakwa","Phalacrocorax sulcirostris","Little Black Cormorant","Ani.13",4,"Phalacrocorax sulcirostris","Phalacrocorax","Phalacrocoracidae","Suliformes","Phalacrocorax sulcirostris","Phalacrocorax","Phalacrocoracidae","Pelecaniformes","Phalacrocorax sulcirostris","Phalacrocorax sulcirostris",51.9,39.4,8.6,11.5,45.3,248.8,95,153.8,38.1,128.8,995,0.84,-0.07,-0.0558781655231489,-2.90929336264873,0.99182738040255,30.14,-0.58,1,-0.82,1,-0.8,0.627570007,0.031592283,0.000211143,0,0,0.000475072,30.91102797,31,0.26,-0.4,0.29,-0.7,41.8072720670332
"23","Anindilyakwa","Phalacrocorax varius","Pied Cormorant","Ani.13",4,"Phalacrocorax varius","Phalacrocorax","Phalacrocoracidae","Suliformes","Phalacrocorax varius","Phalacrocorax","Phalacrocoracidae","Pelecaniformes","Phalacrocorax varius","Phalacrocorax varius",75.1,56.5,12.7,17.5,63.8,295.4,110.8,181.8,37.8,136.2,1940.7,0.45,-0.75,0.280367398988903,-4.52923601354348,0.99182738040255,30.14,-0.58,1,-0.82,1,-0.8,0.354827336,0.380467466,0.004263489,0.000218681,0.001434752,0.001048613,33.96728789,52.5,0.19,-0.54,0.79,0.62,41.8072720670332
"24","Anindilyakwa","Numenius madagascariensis","Far Eastern Curlew","Ani.16",3,"Numenius madagascariensis","Numenius","Scolopacidae","Charadriiformes","Numenius madagascariensis","Numenius","Scolopacidae","Charadriiformes","Numenius madagascariensis","Numenius madagascariensis",184.2,149.2,9.5,10.5,93.2,305.2,166.2,137.2,54.7,114.2,792,1.5,1.07,0.618791150138445,-5.62307980395495,1.38838952907039,13.96,-1.1,1,-0.82,1,-0.8,0.062234555,0.297778669,0.104374952,0,0,0,24.53895032,34.5,0.41,-0.1,-0.74,-0.48,64.3296596687952
"25","Anindilyakwa","Numenius phaeopus","Whimbrel","Ani.16",3,"Numenius phaeopus","Numenius","Scolopacidae","Charadriiformes","Numenius phaeopus","Numenius","Scolopacidae","Charadriiformes","Numenius phaeopus","Numenius phaeopus",92.1,67.1,6.6,7.7,59.9,233,123.4,107,53.5,99.8,364.6,0.76,-0.22,0.787376889682636,-2.67285462936368,1.38838952907039,86.04,1.21,1,-0.82,1,-0.8,0.185926492,0.30584239,0.029266788,1.66e-05,0,4.15e-05,27.20040417,32.25,0.45,-0.01,-0.31,-0.62,64.3296596687952
"26","Anindilyakwa","Numenius minutus","Little Curlew","Ani.16",3,"Numenius minutus","Numenius","Scolopacidae","Charadriiformes","Numenius minutus","Numenius","Scolopacidae","Charadriiformes","Numenius minutus","Numenius minutus",46.4,33.2,4.2,4.7,47.6,175,99.5,77.8,56.1,75.6,173,0.73,-0.27,0.937530073801781,0.339292129175852,1.38838952907039,13.96,-1.1,1,-0.82,1,-0.8,0.044425922,0.373181664,0.060775934,0.0001136,0,1.57e-05,25.6644025,38,0.45,-0.03,-0.56,-0.27,64.3296596687952
"27","Anindilyakwa","Plegadis falcinellus","Glossy Ibis","Ani.17",1,"Plegadis falcinellus","Plegadis","Threskiornithidae","Pelecaniformes","Plegadis falcinellus","Plegadis","Threskiornithidae","Ciconiiformes","Plegadis falcinellus","Plegadis falcinellus",117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,0.84,-0.08,0.634088103076552,-4.62218262645477,0,57.55,0.3,2,0.48,2,0.56,0.472232859,0.017910905,0,0,0,0.000182728,27.61325362,24,0.31,-0.32,-0.24,-1.13,0
"28","Anindilyakwa","Anarhynchus leschenaultii","Greater Sand-Plover","Ani.18",19,"Anarhynchus leschenaultii","Anarhynchus","Charadriidae","Charadriiformes","Charadrius leschenaultii","Charadrius","Charadriidae","Charadriiformes","Charadrius leschenaultii","Charadrius leschenaultii",26.5,16.4,4.2,5.4,36.5,136.4,72,63.5,53.1,49.8,74.8,0.75,-0.23,0.743757432016271,2.02596940120584,1.45543723346627,29.74,-0.59,1,-0.82,1,-0.8,0.0461438815,0.353959792,0.0371495405,0,0.0003549595,0,30.187827935,44.75,0.32,-0.29,0.17,0.14,102.353577294903
"29","Anindilyakwa","Anarhynchus veredus","Oriental Plover","Ani.18",19,"Anarhynchus veredus","Anarhynchus","Charadriidae","Charadriiformes","Charadrius veredus","Charadrius","Charadriidae","Charadriiformes","Charadrius veredus","Charadrius veredus",23.9,16.1,3.7,4.3,44,158.6,92.5,64.5,58.9,57.2,95,0.75,-0.23,1.00969158261984,1.79476192384199,1.45543723346627,67.53,0.62,1,-0.82,1,-0.8,0.0438743095,0.239115199,0.1277789575,0,0.0012045495,0,27.24800731,45,0.58,0.24,-0.3,0.16,102.353577294903
"30","Anindilyakwa","Arenaria interpres","Ruddy Turnstone","Ani.18",19,"Arenaria interpres","Arenaria","Scolopacidae","Charadriiformes","Arenaria interpres","Arenaria","Charadriidae","Charadriiformes","Arenaria interpres","Arenaria interpres",25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61,136,0.76,-0.22,0.761768937138185,1.79344943800867,1.45543723346627,56.37,0.26,2,0.48,2,0.56,0.2545304435,0.3518605405,0.025234161,2.65e-05,0.0043702815,3.805e-05,36.853154395,60,0.4,-0.13,1.26,1.08,102.353577294903
"31","Anindilyakwa","Tringa brevipes","Grey-tailed Tattler","Ani.18",19,"Tringa brevipes","Tringa","Scolopacidae","Charadriiformes","Heteroscelus brevipes","Heteroscelus","Scolopacidae","Charadriiformes","Tringa brevipes","Heteroscelus brevipes",41.8,29.8,3.5,5,32.9,157.8,85.5,70.5,54.8,68.2,127,0.51,-0.66,0.908181793455013,1.08040462229552,1.45543723346627,31.02,-0.55,1,-0.82,2,0.56,0.016795505,0.44553103,0.038154668,0,0,0,27.81239933,39,0.37,-0.19,-0.21,-0.21,102.353577294903
"32","Anindilyakwa","Actitis hypoleucos","Common Sandpiper","Ani.18",19,"Actitis hypoleucos","Actitis","Scolopacidae","Charadriiformes","Actitis hypoleucos","Actitis","Scolopacidae","Charadriiformes","Actitis hypoleucos","Actitis hypoleucos",30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,0.47,-0.71,0.663490449175946,2.94985447526254,1.45543723346627,37.42,-0.35,2,0.48,2,0.56,0.036661657,0.500401915,0.026771048,0,0,0,29.7095839,29,0.27,-0.4,0.1,-0.82,102.353577294903
"33","Anindilyakwa","Tringa nebularia","Common Greenshank","Ani.18",19,"Tringa nebularia","Tringa","Scolopacidae","Charadriiformes","Tringa nebularia","Tringa","Scolopacidae","Charadriiformes","Tringa nebularia","Tringa nebularia",63.6,42.9,4.1,6,58,185.4,96.9,88.8,52.1,74.8,187,0.79,-0.17,0.854473348157886,-0.525234599305308,1.45543723346627,31.02,-0.55,1,-0.82,1,-0.8,0.119186369,0.534077034,0,0,0,0,32.17337158,20,0.1,-0.73,0.5,-1.37,102.353577294903
"34","Anindilyakwa","Tringa stagnatilis","Marsh Sandpiper","Ani.18",19,"Tringa stagnatilis","Tringa","Scolopacidae","Charadriiformes","Tringa stagnatilis","Tringa","Scolopacidae","Charadriiformes","Tringa stagnatilis","Tringa stagnatilis",42.5,32.1,3,3.6,49.9,133.4,68.9,64.1,51.7,56.2,77.5,0.91,0.04,1.02750249148222,1.7513536957043,1.45543723346627,35.63,-0.4,1,-0.82,1,-0.8,0.065684914,0.612323411,0.02702447,0,0,0,33.44134077,30,0.54,0.17,0.7,-0.76,102.353577294903
"35","Anindilyakwa","Xenus cinereus","Terek Sandpiper","Ani.18",19,"Xenus cinereus","Xenus","Scolopacidae","Charadriiformes","Tringa cinerea","Tringa","Scolopacidae","Charadriiformes","Xenus cinereus","Xenus cinereus",46.8,39,4,4.5,28.2,127.4,70,58,54.6,55,78.8,0.57,-0.54,0.938801671447377,1.62947680282496,1.45543723346627,52.82,0.15,2,0.48,1,-0.8,0.027038976,0.465126589,0.017251393,0,5.18e-05,0,27.41721766,38,0.14,-0.66,-0.28,-0.27,102.353577294903
"36","Anindilyakwa","Gallinago hardwickii","Latham's Snipe","Ani.18",19,"Gallinago hardwickii","Gallinago","Scolopacidae","Charadriiformes","Capella hardwickii","Capella","Scolopacidae","Charadriiformes","Gallinago hardwickii","Gallinago hardwickii",73.1,63.3,5,7.7,34.9,151,72.5,77.2,48.4,60.8,151.3,1.18,0.52,0.775483584455982,-0.142089534369237,1.45543723346627,46.2,-0.07,2,0.48,2,0.56,0.059566029,0.533971069,0.131777881,9.33e-05,0,2.33e-05,35.60965784,52,0.62,0.32,1.06,0.59,102.353577294903
"37","Anindilyakwa","Limosa lapponica","Bar-tailed Godwit","Ani.18",19,"Limosa lapponica","Limosa","Scolopacidae","Charadriiformes","Limosa lapponica","Limosa","Scolopacidae","Charadriiformes","Limosa lapponica","Limosa lapponica",92.5,75.1,5.4,8.1,53.2,210.1,117.8,90.3,56.6,74,291.7,0.76,-0.22,1.06666517483663,-2.0888050732338,1.45543723346627,67.63,0.62,2,0.48,2,0.56,0.099923274,0.123273657,0.063222506,0,0.075805627,7.68e-05,28.47331206,57,1.44,2,-0.1,0.9,102.353577294903
"38","Anindilyakwa","Calidris acuminata","Sharp-tailed Sandpiper","Ani.18",19,"Calidris acuminata","Calidris","Scolopacidae","Charadriiformes","Calidris acuminata","Calidris","Scolopacidae","Charadriiformes","Calidris acuminata","Calidris acuminata",27.4,20.5,2.8,3.9,28.7,128.8,70.4,58.6,54.5,53.4,66.1,0.53,-0.61,0.970485941510961,2.47699452309295,1.45543723346627,29.88,-0.59,1,-0.82,1,-0.8,0.151258368,0.302290766,0.12007457,8.47e-05,0.000367201,0.000282462,30.24089515,65,0.58,0.24,0.18,1.39,102.353577294903
"39","Anindilyakwa","Calidris alba","Sanderling","Ani.18",19,"Calidris alba","Calidris","Scolopacidae","Charadriiformes","Calidris alba","Calidris","Scolopacidae","Charadriiformes","Calidris alba","Calidris alba",30,21.2,3.4,4.2,23.1,119.6,62.7,57,52.3,50.2,51.7,0.47,-0.71,0.827020751273905,2.63063111768118,1.45543723346627,25.46,-0.73,1,-0.82,1,-0.8,0.061228992,0.527062792,0.082390276,0.00061273,0.0001586,0,33.51553276,48,0.52,0.11,0.71,0.34,102.353577294903
"40","Anindilyakwa","Calidris canutus","Red Knot","Ani.18",19,"Calidris canutus","Calidris","Scolopacidae","Charadriiformes","Calidris canutus","Calidris","Scolopacidae","Charadriiformes","Calidris canutus","Calidris canutus",37.5,26.6,4.1,5.7,29.9,164.4,95.2,69.1,57.9,60.4,141.9,0.51,-0.66,0.939160410977526,1.05602373067707,1.45543723346627,67.63,0.62,1,-0.82,1,-0.8,0.056826389,0.133381133,0.053662025,4.99e-05,0.163764906,7.53e-05,31.93022527,65.5,0.85,0.8,0.46,1.42,102.353577294903
"41","Anindilyakwa","Calidris ferruginea","Curlew Sandpiper","Ani.18",19,"Calidris ferruginea","Calidris","Scolopacidae","Charadriiformes","Calidris testacea","Calidris","Scolopacidae","Charadriiformes","Calidris ferruginea","Calidris ferruginea",38.5,31.6,3.2,4.3,29.1,129,70.5,58,54.9,48.6,58.1,0.57,-0.54,1.05619053634426,2.09755766672514,1.45543723346627,54.6,0.2,1,-0.82,1,-0.8,0.1438885805,0.158218008,0.0197908475,0.0003788205,0.1025156445,0.0002222035,30.31671918,65.5,1.44,2,0.2,1.42,102.353577294903
"42","Anindilyakwa","Calidris ruficollis","Red-necked Stint","Ani.18",19,"Calidris ruficollis","Calidris","Scolopacidae","Charadriiformes","Calidris ruficollis","Calidris","Scolopacidae","Charadriiformes","Calidris ruficollis","Calidris ruficollis",19,13.7,2.4,3.3,18.8,99.5,54.2,45.2,54.5,43.5,26.8,0.79,-0.16,-0.722022449886167,4.56963545838358,1.45543723346627,25.46,-0.73,1,-0.82,1,-0.8,0.089980955,0.378719286,0.106996784,6.24e-05,6.24e-05,3.12e-05,33.30158741,50,0.41,-0.1,0.68,0.47,102.353577294903
"43","Anindilyakwa","Stiltia isabella","Australian Pratincole","Ani.18",19,"Stiltia isabella","Stiltia","Glareolidae","Charadriiformes","Stiltia isabella","Stiltia","Glareolidae","Charadriiformes","Stiltia isabella","Stiltia isabella",19.5,9.7,4.8,5.3,47.8,206,128.6,78.2,62.2,55,65.5,1.08,0.34,1.05524545781742,1.51284660338125,1.45543723346627,34.28,-0.45,3,1.77,3,1.92,0.074223392,0.126876215,0.081176393,2.341e-05,0.001685311,0,21.76506067,45.5,0.24,-0.46,-1.19,0.19,102.353577294903
"44","Anindilyakwa","Ephippiorhynchus asiaticus","Black-necked Stork","Ani.19",1,"Ephippiorhynchus asiaticus","Ephippiorhynchus","Ciconiidae","Ciconiiformes","Xenorhynchus asiaticus","Xenorhynchus","Ciconiidae","Ciconiiformes","Ephippiorhynchus asiaticus","Ephippiorhynchus asiaticus",296.8,248.2,31.2,47.8,324.2,575,231.2,343.8,40.2,298.8,4100,2.14,2.16,0.137642525924957,-7.29201232325205,0,88.65,1.3,4,3.07,3,1.92,0.395270471,0.297018607,0,0.00563093,0.044025857,0.000559322,34.63625179,38,0.95,0.99,0.9,-0.27,0
"45","Anindilyakwa","Antigone rubicunda","Brolga","Ani.20",2,"Antigone rubicunda","Antigone","Gruidae","Gruiformes","Grus rubicunda","Grus","Gruidae","Gruiformes","Antigone rubicunda","Grus rubicunda",162.2,87.7,13.8,22.8,280.2,572.5,233,339.5,40.7,223.8,6222.8,0.35,-0.92,0.142385782306325,-6.83532840155729,0.183796333675059,12.79,-1.14,1,-0.82,1,-0.8,0.055813853,0.478948728,0.001011666,0,0.004520212,0,29.16580778,44,0.33,-0.26,0.01,0.1,12.7882135994931
"46","Anindilyakwa","Antigone antigone","Sarus Crane","Ani.20",2,"Antigone antigone","Antigone","Gruidae","Gruiformes","Grus antigone","Grus","Gruidae","Gruiformes","Antigone antigone","Grus antigone",176.2,88.2,12.9,22,301,597.5,224.5,373,37.6,238.2,5916.2,0.35,-0.92,0.135581201046574,-6.89238959806667,0.183796333675059,12.79,-1.14,1,-0.82,1,-0.8,0.042729062,0.478357326,0.000585986,2.27e-05,0.018404863,2.26e-05,29.55421011,45.33333333,0.56,0.2,0.07,0.18,12.7882135994931
"47","Anindilyakwa","Gallirallus castaneoventris","Chestnut Rail","Ani.21",1,"Gallirallus castaneoventris","Gallirallus","Rallidae","Gruiformes","Eulabeornis castaneoventris","Eulabeornis","Rallidae","Gruiformes","Gallirallus castaneoventris","Eulabeornis castaneoventris",58.8,32.7,6.1,12.2,67.5,215,54.5,163.7,25,113,684.5,1.36,0.83,-0.35480189854325,-2.52992479235116,0,46.96,-0.04,2,0.48,2,0.56,0.070627532,0.027493012,0.028749085,6.95e-05,0.000165658,0.001377705,18.88998896,60,0.35,-0.23,-1.66,1.08,0
